"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31st week, 2012",,,,,,"Data collected as of August 8, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1120,0.23,808,,1311,0.42,2869,0.92,10046,3.21,1856,0.59,3729,1.19,382,0.12,2074,0.66,97,0.03,10913,3.48,1396,0.45,12,0.02,427,0.63,15,0.03,29,0.06,440,0.94,20,0.04
Hokkaido,-,-,26,,65,0.45,211,1.48,199,1.39,140,0.98,96,0.67,14,0.1,67,0.47,5,0.03,341,2.38,22,0.15,-,-,14,0.48,-,-,-,-,9,0.39,-,-
Aomori,2,0.03,20,,9,0.22,26,0.63,44,1.07,22,0.54,265,6.46,4,0.1,28,0.68,1,0.02,86,2.1,19,0.46,-,-,5,0.45,-,-,-,-,15,2.5,-,-
Iwate,-,-,17,,21,0.53,40,1,110,2.75,37,0.93,111,2.78,45,1.13,20,0.5,1,0.03,107,2.68,47,1.18,-,-,12,0.86,-,-,-,-,32,1.68,1,0.05
Miyagi,1,0.01,34,,22,0.38,36,0.62,273,4.71,54,0.93,402,6.93,20,0.34,33,0.57,1,0.02,252,4.34,80,1.38,-,-,10,0.83,1,0.08,-,-,24,2,-,-
Akita,-,-,12,,9,0.26,14,0.4,122,3.49,8,0.23,60,1.71,1,0.03,14,0.4,1,0.03,59,1.69,5,0.14,-,-,3,0.43,-,-,-,-,6,0.75,-,-
Yamagata,-,-,7,,13,0.43,39,1.3,106,3.53,22,0.73,51,1.7,3,0.1,20,0.67,-,-,191,6.37,27,0.9,-,-,1,0.13,1,0.1,1,0.1,7,0.7,1,0.1
Fukushima,1,0.01,19,,18,0.38,55,1.15,47,0.98,36,0.75,83,1.73,9,0.19,21,0.44,3,0.06,130,2.71,15,0.31,-,-,1,0.08,-,-,1,0.14,10,1.43,6,0.86
Ibaraki,2,0.02,4,,20,0.27,60,0.8,137,1.83,34,0.45,47,0.63,2,0.03,38,0.51,-,-,79,1.05,14,0.19,-,-,24,1.41,4,0.31,1,0.08,14,1.08,-,-
Tochigi,-,-,11,,16,0.33,32,0.67,78,1.63,14,0.29,31,0.65,4,0.08,29,0.6,-,-,58,1.21,20,0.42,-,-,11,0.92,-,-,1,0.14,30,4.29,1,0.14
Gunma,-,-,3,,25,0.42,51,0.85,201,3.35,25,0.42,42,0.7,5,0.08,35,0.58,1,0.02,216,3.6,42,0.7,-,-,14,1,-,-,2,0.25,39,4.88,-,-
Saitama,1,0,32,,67,0.44,166,1.08,534,3.47,111,0.72,183,1.19,9,0.06,123,0.8,1,0.01,742,4.82,84,0.55,4,0.1,21,0.5,-,-,-,-,17,1.89,-,-
Chiba,4,0.02,23,,43,0.33,165,1.25,367,2.78,93,0.7,78,0.59,16,0.12,81,0.61,4,0.03,598,4.53,53,0.4,1,0.03,20,0.61,1,0.11,-,-,12,1.33,2,0.22
Tokyo,5,0.01,69,,152,0.59,287,1.11,982,3.79,128,0.49,306,1.18,21,0.08,197,0.76,5,0.02,1407,5.43,59,0.23,3,0.08,27,0.71,3,0.12,3,0.12,6,0.24,-,-
Kanagawa,7,0.02,44,,121,0.61,135,0.69,549,2.79,94,0.48,224,1.14,37,0.19,132,0.67,2,0.01,993,5.04,65,0.33,-,-,51,1.13,-,-,3,0.38,5,0.63,-,-
