"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32nd week, 2012",,,,,,"Data collected as of August 15, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,995,0.22,913,,1069,0.37,2243,0.77,8395,2.87,1598,0.55,2947,1.01,258,0.09,1705,0.58,82,0.03,6890,2.35,1207,0.41,9,0.01,341,0.56,15,0.03,27,0.06,449,0.98,17,0.04
Hokkaido,-,-,45,,46,0.32,168,1.18,166,1.17,96,0.68,77,0.54,6,0.04,50,0.35,4,0.03,268,1.89,15,0.11,-,-,7,0.24,-,-,-,-,9,0.39,-,-
Aomori,1,0.02,21,,4,0.1,42,1.02,41,1,17,0.41,299,7.29,1,0.02,13,0.32,2,0.05,116,2.83,17,0.41,-,-,5,0.45,-,-,-,-,2,0.33,-,-
Iwate,1,0.02,14,,24,0.62,24,0.62,63,1.62,11,0.28,105,2.69,25,0.64,14,0.36,1,0.03,86,2.21,50,1.28,1,0.07,6,0.43,-,-,-,-,22,1.16,-,-
Miyagi,-,-,28,,25,0.43,40,0.69,262,4.52,37,0.64,242,4.17,11,0.19,27,0.47,-,-,153,2.64,72,1.24,-,-,1,0.08,-,-,-,-,20,1.67,-,-
Akita,1,0.02,24,,5,0.15,13,0.39,81,2.45,7,0.21,40,1.21,-,-,10,0.3,-,-,54,1.64,8,0.24,-,-,-,-,-,-,-,-,-,-,-,-
Yamagata,-,-,6,,5,0.21,27,1.13,82,3.42,18,0.75,53,2.21,5,0.21,22,0.92,-,-,135,5.63,35,1.46,-,-,-,-,-,-,-,-,2,0.2,-,-
Fukushima,1,0.01,20,,7,0.15,30,0.63,65,1.35,28,0.58,87,1.81,11,0.23,33,0.69,-,-,80,1.67,18,0.38,-,-,9,0.75,-,-,1,0.14,10,1.43,1,0.14
Ibaraki,5,0.04,3,,13,0.18,50,0.69,86,1.19,18,0.25,19,0.26,6,0.08,19,0.26,1,0.01,74,1.03,6,0.08,-,-,28,1.65,6,0.46,1,0.08,15,1.15,-,-
Tochigi,-,-,7,,16,0.33,35,0.73,48,1,20,0.42,39,0.81,3,0.06,26,0.54,-,-,45,0.94,18,0.38,-,-,9,0.75,-,-,-,-,34,4.86,5,0.71
Gunma,2,0.02,2,,28,0.51,40,0.73,191,3.47,39,0.71,37,0.67,3,0.05,40,0.73,4,0.07,107,1.95,35,0.64,-,-,16,1.14,-,-,-,-,40,5,-,-
Saitama,2,0.01,29,,83,0.61,153,1.13,461,3.41,87,0.64,161,1.19,13,0.1,111,0.82,4,0.03,509,3.77,35,0.26,3,0.09,24,0.69,-,-,-,-,21,2.33,1,0.11
Chiba,3,0.02,28,,46,0.41,116,1.05,297,2.68,78,0.7,64,0.58,15,0.14,70,0.63,2,0.02,340,3.06,28,0.25,1,0.03,10,0.34,-,-,1,0.11,6,0.67,-,-
Tokyo,4,0.01,115,,106,0.45,194,0.83,793,3.37,109,0.46,233,0.99,13,0.06,160,0.68,3,0.01,795,3.38,61,0.26,1,0.03,22,0.73,3,0.12,4,0.16,17,0.68,1,0.04
Kanagawa,21,0.08,33,,88,0.5,100,0.57,443,2.53,120,0.69,183,1.05,20,0.11,112,0.64,3,0.02,560,3.2,77,0.44,-,-,29,0.97,-,-,-,-,4,0.44,-,-
Niigata,5,0.05,1,,7,0.12,36,0.6,80,1.33,43,0.72,557,9.28,6,0.1,45,0.75,5,0.08,391,6.52,14,0.23,-,-,1,0.1,-,-,-,-,8,0.67,6,0.5
Toyama,-,-,3,,13,0.45,37,1.28,103,3.55,6,0.21,25,0.86,5,0.17,15,0.52,1,0.03,188,6.48,5,0.17,-,-,1,0.14,-,-,-,-,5,1,-,-
Ishikawa,-,-,5,,9,0.31,28,0.97,100,3.45,15,0.52,36,1.24,-,-,14,0.48,-,-,90,3.1,3,0.1,-,-,4,0.57,-,-,-,-,7,1.4,-,-
Fukui,1,0.03,13,,12,0.55,28,1.27,104,4.73,17,0.77,121,5.5,1,0.05,13,0.59,-,-,55,2.5,5,0.23,-,-,1,0.33,1,0.17,-,-,-,-,-,-
Yamanashi,-,-,-,,5,0.21,24,1,60,2.5,5,0.21,3,0.13,-,-,6,0.25,-,-,33,1.38,5,0.21,-,-,3,0.33,-,-,-,-,10,1,-,-
Nagano,-,-,1,,16,0.31,46,0.88,167,3.21,31,0.6,131,2.52,7,0.13,21,0.4,-,-,267,5.13,7,0.13,-,-,2,0.2,-,-,-,-,22,2,-,-
Gifu,-,-,1,,13,0.27,15,0.31,107,2.23,15,0.31,11,0.23,10,0.21,20,0.42,-,-,44,0.92,52,1.08,-,-,1,0.1,-,-,1,0.2,11,2.2,-,-
Shizuoka,3,0.02,17,,17,0.19,59,0.67,284,3.23,41,0.47,44,0.5,4,0.05,49,0.56,3,0.03,182,2.07,48,0.55,-,-,12,0.57,1,0.11,5,0.56,19,2.11,-,-
Aichi,17,0.09,2,,44,0.26,90,0.53,396,2.33,79,0.46,32,0.19,11,0.06,85,0.5,6,0.04,220,1.29,108,0.64,-,-,6,0.19,-,-,3,0.23,38,2.92,-,-
Mie,2,0.03,3,,17,0.38,25,0.56,166,3.69,18,0.4,3,0.07,-,-,39,0.87,2,0.04,91,2.02,36,0.8,-,-,6,0.5,1,0.11,-,-,4,0.44,-,-
Shiga,…,…,…,,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
Kyoto,-,-,13,,14,0.19,47,0.64,198,2.71,36,0.49,16,0.22,5,0.07,18,0.25,-,-,76,1.04,18,0.25,-,-,7,0.41,-,-,-,-,1,0.17,-,-
