"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33rd week, 2012",,,,,,"Data collected as of August 22, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1155,0.25,978,,888,0.3,1696,0.57,6656,2.22,1354,0.45,1936,0.65,187,0.06,1366,0.46,80,0.03,3568,1.19,1080,0.36,5,0.01,393,0.59,9,0.02,22,0.05,529,1.14,31,0.07
Hokkaido,-,-,35,,64,0.45,166,1.16,177,1.24,79,0.55,91,0.64,9,0.06,46,0.32,5,0.03,237,1.66,18,0.13,-,-,13,0.45,-,-,1,0.04,13,0.57,-,-
Aomori,2,0.03,27,,6,0.15,25,0.61,39,0.95,16,0.39,238,5.8,2,0.05,16,0.39,1,0.02,75,1.83,10,0.24,1,0.09,1,0.09,-,-,-,-,11,1.83,-,-
Iwate,-,-,14,,7,0.18,24,0.6,68,1.7,21,0.53,58,1.45,22,0.55,18,0.45,2,0.05,51,1.28,60,1.5,-,-,5,0.36,1,0.05,1,0.05,27,1.42,-,-
Miyagi,1,0.01,13,,4,0.07,34,0.59,136,2.34,20,0.34,149,2.57,3,0.05,23,0.4,-,-,85,1.47,50,0.86,-,-,2,0.17,1,0.08,-,-,28,2.33,1,0.08
Akita,-,-,40,,13,0.37,14,0.4,85,2.43,6,0.17,30,0.86,1,0.03,15,0.43,1,0.03,77,2.2,8,0.23,-,-,3,0.43,-,-,-,-,3,0.38,-,-
Yamagata,-,-,6,,4,0.15,9,0.35,51,1.96,1,0.04,52,2,2,0.08,10,0.38,-,-,55,2.12,16,0.62,-,-,-,-,-,-,1,0.1,7,0.7,-,-
Fukushima,7,0.09,27,,10,0.21,32,0.67,68,1.42,26,0.54,90,1.88,1,0.02,20,0.42,2,0.04,34,0.71,9,0.19,-,-,11,0.92,-,-,-,-,22,3.14,7,1
Ibaraki,9,0.08,3,,14,0.19,43,0.57,91,1.21,25,0.33,29,0.39,1,0.01,21,0.28,1,0.01,41,0.55,9,0.12,-,-,26,1.53,2,0.15,-,-,13,1,-,-
Tochigi,-,-,9,,15,0.31,16,0.33,37,0.77,12,0.25,26,0.54,3,0.06,15,0.31,2,0.04,16,0.33,13,0.27,-,-,21,1.75,-,-,-,-,32,4.57,1,0.14
Gunma,-,-,-,,18,0.36,27,0.54,69,1.38,17,0.34,17,0.34,1,0.02,19,0.38,3,0.06,47,0.94,32,0.64,-,-,15,1.07,-,-,-,-,47,5.88,1,0.13
Saitama,4,0.02,28,,52,0.43,70,0.58,195,1.61,43,0.36,53,0.44,8,0.07,42,0.35,5,0.04,154,1.27,33,0.27,-,-,14,0.37,-,-,1,0.11,27,3,2,0.22
