"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"35th week, 2012",,,,,,"Data collected as of September 5, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1225,0.25,1998,,917,0.29,2301,0.73,9683,3.09,1198,0.38,2527,0.81,251,0.08,2348,0.75,94,0.03,3550,1.13,1183,0.38,10,0.01,465,0.68,13,0.03,25,0.05,510,1.09,12,0.03
Hokkaido,-,-,39,,28,0.2,221,1.55,199,1.39,38,0.27,197,1.38,3,0.02,74,0.52,4,0.03,319,2.23,24,0.17,1,0.03,20,0.69,-,-,-,-,6,0.26,-,-
Aomori,-,-,25,,1,0.02,17,0.41,59,1.44,14,0.34,174,4.24,2,0.05,23,0.56,1,0.02,129,3.15,10,0.24,-,-,8,0.73,-,-,-,-,16,2.67,-,-
Iwate,-,-,19,,7,0.18,21,0.53,90,2.25,8,0.2,151,3.78,21,0.53,23,0.58,1,0.03,52,1.3,37,0.93,-,-,9,0.64,-,-,2,0.11,26,1.37,-,-
Miyagi,-,-,32,,6,0.1,52,0.9,211,3.64,18,0.31,212,3.66,8,0.14,49,0.84,1,0.02,106,1.83,52,0.9,-,-,5,0.42,1,0.08,-,-,17,1.42,-,-
Akita,1,0.02,26,,7,0.2,18,0.51,96,2.74,7,0.2,102,2.91,2,0.06,12,0.34,-,-,79,2.26,4,0.11,-,-,1,0.14,-,-,-,-,8,1,-,-
Yamagata,1,0.02,25,,8,0.27,40,1.33,104,3.47,13,0.43,131,4.37,1,0.03,23,0.77,-,-,98,3.27,19,0.63,-,-,-,-,-,-,-,-,6,0.6,-,-
Fukushima,6,0.08,51,,9,0.19,28,0.58,62,1.29,30,0.63,117,2.44,1,0.02,39,0.81,-,-,23,0.48,8,0.17,-,-,10,0.83,1,0.14,-,-,17,2.43,-,-
Ibaraki,5,0.04,19,,12,0.16,59,0.79,151,2.01,16,0.21,60,0.8,5,0.07,43,0.57,1,0.01,32,0.43,9,0.12,-,-,16,0.94,1,0.08,-,-,10,0.77,-,-
Tochigi,-,-,19,,2,0.04,33,0.69,44,0.92,30,0.63,21,0.44,1,0.02,49,1.02,2,0.04,22,0.46,18,0.38,-,-,16,1.33,-,-,-,-,39,5.57,3,0.43
Gunma,-,-,3,,29,0.48,49,0.82,233,3.88,16,0.27,29,0.48,3,0.05,42,0.7,8,0.13,59,0.98,25,0.42,-,-,14,1,-,-,-,-,34,4.25,-,-
Saitama,1,0,74,,51,0.33,120,0.78,528,3.43,58,0.38,115,0.75,9,0.06,142,0.92,-,-,155,1.01,37,0.24,-,-,22,0.52,-,-,-,-,35,3.89,-,-
Chiba,13,0.06,53,,20,0.15,113,0.87,314,2.42,45,0.35,48,0.37,14,0.11,98,0.75,4,0.03,96,0.74,37,0.28,-,-,28,0.85,-,-,2,0.22,18,2,-,-
Tokyo,9,0.02,251,,118,0.46,201,0.78,936,3.63,67,0.26,154,0.6,19,0.07,236,0.91,12,0.05,317,1.23,66,0.26,1,0.03,31,0.79,-,-,3,0.13,13,0.54,-,-
Kanagawa,13,0.04,38,,58,0.3,93,0.47,470,2.4,70,0.36,179,0.91,18,0.09,171,0.87,5,0.03,229,1.17,40,0.2,1,0.02,41,0.89,-,-,1,0.11,2,0.22,-,-
Niigata,-,-,5,,8,0.13,42,0.7,87,1.45,27,0.45,192,3.2,4,0.07,48,0.8,2,0.03,264,4.4,20,0.33,1,0.1,2,0.2,-,-,-,-,11,0.85,5,0.38
Toyama,-,-,13,,12,0.41,27,0.93,118,4.07,12,0.41,26,0.9,1,0.03,13,0.45,1,0.03,66,2.28,6,0.21,-,-,1,0.14,-,-,-,-,6,1.2,-,-
Ishikawa,2,0.04,18,,6,0.21,32,1.1,76,2.62,7,0.24,38,1.31,2,0.07,11,0.38,-,-,30,1.03,5,0.17,-,-,1,0.14,-,-,-,-,6,1.2,-,-
Fukui,-,-,7,,8,0.36,27,1.23,112,5.09,14,0.64,44,2,-,-,15,0.68,1,0.05,33,1.5,2,0.09,-,-,1,0.33,-,-,-,-,4,0.67,-,-
Yamanashi,-,-,-,,3,0.13,17,0.71,57,2.38,7,0.29,14,0.58,-,-,9,0.38,1,0.04,16,0.67,4,0.17,-,-,5,0.56,-,-,-,-,11,1.1,-,-
Nagano,21,0.24,1,,6,0.11,59,1.07,190,3.45,13,0.24,56,1.02,3,0.05,32,0.58,-,-,132,2.4,14,0.25,1,0.09,4,0.36,2,0.18,-,-,18,1.64,-,-
