"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41st week, 2012",,,,,,"Data collected as of October 17, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,292,0.06,3647,,464,0.15,2736,0.87,9349,2.97,1675,0.53,2182,0.69,133,0.04,1701,0.54,57,0.02,707,0.22,1032,0.33,4,0.01,367,0.54,8,0.02,10,0.02,506,1.08,22,0.05
Hokkaido,3,0.01,88,,19,0.13,227,1.59,161,1.13,73,0.51,270,1.89,1,0.01,66,0.46,3,0.02,43,0.3,4,0.03,-,-,14,0.48,-,-,-,-,11,0.48,-,-
Aomori,-,-,40,,1,0.02,49,1.2,38,0.93,25,0.61,40,0.98,1,0.02,22,0.54,-,-,17,0.41,6,0.15,-,-,4,0.36,-,-,-,-,18,3,-,-
Iwate,-,-,65,,3,0.08,30,0.75,57,1.43,24,0.6,116,2.9,9,0.23,11,0.28,-,-,16,0.4,44,1.1,-,-,17,1.21,-,-,-,-,32,1.68,-,-
Miyagi,-,-,26,,10,0.17,53,0.91,193,3.33,46,0.79,155,2.67,5,0.09,24,0.41,-,-,27,0.47,39,0.67,-,-,-,-,-,-,-,-,28,2.33,2,0.17
Akita,3,0.05,47,,9,0.26,14,0.4,69,1.97,17,0.49,108,3.09,-,-,17,0.49,-,-,29,0.83,7,0.2,-,-,2,0.29,-,-,-,-,13,1.63,-,-
Yamagata,-,-,67,,5,0.17,46,1.59,80,2.76,34,1.17,109,3.76,-,-,19,0.66,1,0.03,32,1.1,33,1.14,-,-,4,0.5,-,-,1,0.1,12,1.2,-,-
Fukushima,-,-,94,,1,0.02,31,0.65,67,1.4,38,0.79,114,2.38,7,0.15,17,0.35,-,-,16,0.33,10,0.21,-,-,3,0.25,-,-,-,-,14,2,-,-
Ibaraki,9,0.08,77,,2,0.03,45,0.6,216,2.88,20,0.27,46,0.61,2,0.03,25,0.33,-,-,5,0.07,6,0.08,1,0.06,16,0.94,1,0.08,-,-,8,0.62,-,-
Tochigi,-,-,55,,4,0.08,17,0.35,60,1.25,17,0.35,103,2.15,3,0.06,23,0.48,-,-,-,-,10,0.21,-,-,7,0.58,-,-,-,-,35,5,-,-
Gunma,-,-,87,,7,0.12,35,0.58,174,2.9,40,0.67,27,0.45,2,0.03,21,0.35,3,0.05,9,0.15,25,0.42,-,-,11,0.79,1,0.13,-,-,40,5,-,-
Saitama,7,0.03,157,,25,0.16,149,0.94,488,3.07,82,0.52,131,0.82,7,0.04,103,0.65,2,0.01,28,0.18,55,0.35,-,-,28,0.67,-,-,1,0.11,35,3.89,1,0.11
