"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42nd week, 2012",,,,,,"Data collected as of October 24, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,253,0.05,3757,,551,0.18,3550,1.13,11755,3.74,1577,0.5,1998,0.64,117,0.04,1844,0.59,66,0.02,458,0.15,1259,0.4,11,0.02,356,0.52,3,0.01,13,0.03,600,1.28,14,0.03
Hokkaido,-,-,99,,29,0.2,294,2.06,169,1.18,61,0.43,200,1.4,4,0.03,53,0.37,3,0.02,20,0.14,4,0.03,-,-,14,0.48,-,-,-,-,32,1.39,-,-
Aomori,-,-,60,,-,-,54,1.32,40,0.98,18,0.44,26,0.63,-,-,13,0.32,-,-,5,0.12,9,0.22,-,-,6,0.55,-,-,-,-,27,4.5,-,-
Iwate,-,-,64,,3,0.08,24,0.6,86,2.15,38,0.95,133,3.33,8,0.2,14,0.35,1,0.03,9,0.23,64,1.6,-,-,14,1,-,-,-,-,61,3.21,-,-
Miyagi,-,-,28,,5,0.09,98,1.69,242,4.17,58,1,123,2.12,1,0.02,37,0.64,-,-,15,0.26,61,1.05,-,-,3,0.25,-,-,-,-,29,2.42,-,-
Akita,1,0.02,86,,6,0.17,12,0.34,57,1.63,2,0.06,125,3.57,-,-,13,0.37,-,-,17,0.49,7,0.2,-,-,4,0.57,-,-,-,-,16,2,-,-
Yamagata,-,-,85,,8,0.27,64,2.13,71,2.37,38,1.27,92,3.07,2,0.07,20,0.67,-,-,13,0.43,44,1.47,-,-,1,0.13,-,-,-,-,8,0.8,-,-
Fukushima,3,0.04,82,,1,0.02,56,1.17,84,1.75,30,0.63,109,2.27,6,0.13,30,0.63,1,0.02,16,0.33,10,0.21,-,-,3,0.25,-,-,-,-,17,2.43,2,0.29
Ibaraki,4,0.03,74,,2,0.03,98,1.31,255,3.4,25,0.33,73,0.97,3,0.04,21,0.28,1,0.01,7,0.09,12,0.16,-,-,16,0.94,-,-,1,0.08,11,0.85,-,-
