"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43th week, 2012",,,,,,"Data collected as of October 31, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,316,0.06,3541,,625,0.2,3828,1.22,14601,4.64,2280,0.72,1988,0.63,136,0.04,1904,0.61,82,0.03,408,0.13,1006,0.32,8,0.01,352,0.51,15,0.03,15,0.03,598,1.28,24,0.05
Hokkaido,3,0.01,153,,57,0.4,314,2.2,198,1.38,126,0.88,176,1.23,2,0.01,53,0.37,6,0.04,10,0.07,9,0.06,-,-,8,0.28,-,-,-,-,33,1.43,-,-
Aomori,-,-,77,,1,0.02,52,1.27,55,1.34,34,0.83,31,0.76,-,-,15,0.37,1,0.02,3,0.07,7,0.17,-,-,3,0.27,-,-,-,-,14,2.33,-,-
Iwate,-,-,49,,6,0.15,28,0.7,95,2.38,31,0.78,138,3.45,3,0.08,16,0.4,-,-,3,0.08,48,1.2,-,-,14,1,-,-,-,-,44,2.32,-,-
Miyagi,-,-,19,,4,0.07,69,1.19,323,5.57,86,1.48,93,1.6,3,0.05,43,0.74,-,-,15,0.26,50,0.86,-,-,-,-,-,-,-,-,49,4.08,-,-
Akita,1,0.02,58,,7,0.2,9,0.26,80,2.29,14,0.4,99,2.83,1,0.03,10,0.29,-,-,8,0.23,9,0.26,-,-,4,0.57,-,-,-,-,16,2,-,-
Yamagata,-,-,86,,16,0.55,41,1.41,67,2.31,59,2.03,108,3.72,1,0.03,26,0.9,-,-,11,0.38,33,1.14,-,-,2,0.25,1,0.1,-,-,11,1.1,-,-
Fukushima,6,0.08,82,,4,0.08,50,1.04,83,1.73,45,0.94,98,2.04,6,0.13,30,0.63,1,0.02,5,0.1,15,0.31,-,-,3,0.25,-,-,-,-,20,2.86,1,0.14
Ibaraki,-,-,47,,5,0.07,73,0.97,283,3.77,36,0.48,82,1.09,4,0.05,31,0.41,2,0.03,1,0.01,6,0.08,-,-,26,1.53,-,-,2,0.15,13,1,-,-
Tochigi,-,-,70,,2,0.04,29,0.6,77,1.6,34,0.71,89,1.85,1,0.02,33,0.69,2,0.04,-,-,15,0.31,1,0.08,6,0.5,-,-,1,0.14,25,3.57,2,0.29
Gunma,6,0.06,101,,5,0.08,50,0.83,184,3.07,30,0.5,22,0.37,1,0.02,28,0.47,3,0.05,9,0.15,19,0.32,-,-,11,0.79,-,-,-,-,36,4.5,-,-
Saitama,6,0.02,149,,30,0.19,241,1.53,641,4.06,118,0.75,135,0.85,5,0.03,105,0.66,3,0.02,9,0.06,27,0.17,1,0.02,18,0.44,1,0.11,-,-,34,3.78,4,0.44
Chiba,14,0.07,105,,20,0.15,232,1.74,406,3.05,84,0.63,72,0.54,9,0.07,85,0.64,2,0.02,18,0.14,46,0.35,-,-,21,0.6,1,0.11,-,-,24,2.67,6,0.67
Tokyo,16,0.04,254,,82,0.32,341,1.31,1244,4.78,178,0.68,103,0.4,12,0.05,164,0.63,9,0.03,58,0.22,59,0.23,1,0.03,14,0.37,3,0.12,2,0.08,36,1.44,1,0.04
