"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"46th week, 2012",,,,,,"Data collected as of November 21, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,686,0.14,3386,,955,0.3,5240,1.66,35862,11.39,4045,1.28,1719,0.55,127,0.04,1849,0.59,85,0.03,237,0.08,1051,0.33,10,0.01,396,0.58,3,0.01,15,0.03,615,1.32,27,0.06
Hokkaido,4,0.02,274,,78,0.55,359,2.53,576,4.06,213,1.5,111,0.78,4,0.03,63,0.44,10,0.07,11,0.08,14,0.1,-,-,15,0.52,-,-,-,-,31,1.35,1,0.04
Aomori,-,-,58,,4,0.1,48,1.17,173,4.22,64,1.56,22,0.54,-,-,20,0.49,-,-,2,0.05,8,0.2,-,-,10,0.91,-,-,-,-,13,2.17,-,-
Iwate,3,0.05,82,,4,0.1,52,1.3,377,9.43,37,0.93,70,1.75,5,0.13,18,0.45,2,0.05,3,0.08,52,1.3,-,-,5,0.36,-,-,-,-,58,3.05,-,-
Miyagi,2,0.02,24,,10,0.17,77,1.33,674,11.62,126,2.17,46,0.79,3,0.05,43,0.74,-,-,4,0.07,64,1.1,-,-,2,0.17,-,-,2,0.17,37,3.08,-,-
Akita,18,0.33,28,,4,0.11,29,0.83,166,4.74,52,1.49,84,2.4,1,0.03,13,0.37,-,-,2,0.06,29,0.83,-,-,2,0.29,-,-,-,-,18,2.25,-,-
Yamagata,7,0.15,54,,27,0.9,85,2.83,150,5,97,3.23,66,2.2,-,-,21,0.7,1,0.03,4,0.13,37,1.23,-,-,3,0.38,-,-,-,-,5,0.5,-,-
Fukushima,20,0.25,79,,6,0.13,69,1.44,260,5.42,52,1.08,103,2.15,4,0.08,24,0.5,-,-,5,0.1,13,0.27,-,-,6,0.5,-,-,1,0.14,32,4.57,3,0.43
Ibaraki,7,0.06,44,,6,0.08,106,1.41,456,6.08,61,0.81,112,1.49,1,0.01,28,0.37,3,0.04,-,-,6,0.08,-,-,15,0.88,-,-,-,-,6,0.46,-,-
Tochigi,16,0.21,80,,7,0.15,56,1.17,168,3.5,44,0.92,82,1.71,-,-,33,0.69,1,0.02,-,-,11,0.23,-,-,8,0.67,-,-,-,-,29,4.14,9,1.29
Gunma,19,0.19,86,,10,0.17,58,0.97,364,6.07,67,1.12,16,0.27,2,0.03,23,0.38,2,0.03,8,0.13,36,0.6,-,-,21,1.62,-,-,-,-,34,4.25,-,-
Saitama,70,0.29,136,,36,0.23,276,1.76,1580,10.06,211,1.34,133,0.85,6,0.04,129,0.82,3,0.02,6,0.04,51,0.32,-,-,16,0.38,-,-,-,-,32,3.56,3,0.33
Chiba,48,0.23,62,,19,0.14,263,1.98,1193,8.97,136,1.02,127,0.95,8,0.06,76,0.57,9,0.07,17,0.13,48,0.36,1,0.03,19,0.54,-,-,1,0.11,15,1.67,2,0.22
Tokyo,72,0.17,135,,106,0.41,579,2.22,3508,13.44,239,0.92,118,0.45,9,0.03,155,0.59,10,0.04,17,0.07,67,0.26,1,0.03,13,0.34,-,-,2,0.09,29,1.26,1,0.04
Kanagawa,40,0.12,74,,68,0.33,285,1.4,2088,10.29,191,0.94,136,0.67,14,0.07,116,0.57,1,0,17,0.08,67,0.33,2,0.05,51,1.19,-,-,-,-,10,1.25,-,-
Niigata,5,0.05,277,,18,0.3,156,2.6,308,5.13,158,2.63,27,0.45,1,0.02,34,0.57,4,0.07,14,0.23,16,0.27,2,0.2,6,0.6,-,-,-,-,13,1,3,0.23
Toyama,1,0.02,29,,8,0.28,75,2.59,344,11.86,65,2.24,11,0.38,2,0.07,15,0.52,1,0.03,3,0.1,3,0.1,-,-,1,0.14,-,-,-,-,9,1.8,-,-
Ishikawa,-,-,30,,12,0.41,82,2.83,511,17.62,24,0.83,27,0.93,1,0.03,16,0.55,-,-,1,0.03,4,0.14,-,-,-,-,-,-,-,-,6,1.2,-,-
Fukui,12,0.38,62,,6,0.27,47,2.14,401,18.23,28,1.27,22,1,1,0.05,10,0.45,-,-,-,-,11,0.5,-,-,3,1,1,0.17,-,-,1,0.17,-,-
Yamanashi,1,0.03,7,,3,0.13,41,1.71,111,4.63,44,1.83,12,0.5,-,-,9,0.38,-,-,1,0.04,5,0.21,-,-,1,0.11,-,-,-,-,9,0.9,-,-
Nagano,3,0.03,36,,2,0.04,104,1.89,550,10,137,2.49,9,0.16,1,0.02,28,0.51,1,0.02,3,0.05,1,0.02,-,-,13,1.18,-,-,-,-,27,2.45,-,-
Gifu,28,0.32,81,,14,0.26,83,1.57,354,6.68,33,0.62,2,0.04,6,0.11,29,0.55,-,-,3,0.06,28,0.53,-,-,2,0.18,-,-,-,-,14,2.8,-,-
Shizuoka,23,0.17,115,,18,0.2,134,1.51,1029,11.56,86,0.97,7,0.08,-,-,57,0.64,-,-,2,0.02,19,0.21,-,-,8,0.36,-,-,-,-,15,1.5,1,0.1
Aichi,20,0.1,158,,40,0.22,261,1.44,1828,10.1,134,0.74,2,0.01,10,0.06,95,0.52,12,0.07,4,0.02,63,0.35,-,-,14,0.41,-,-,-,-,29,2.07,-,-
Mie,4,0.06,30,,26,0.58,44,0.98,385,8.56,35,0.78,8,0.18,4,0.09,23,0.51,-,-,-,-,28,0.62,-,-,5,0.42,-,-,1,0.11,5,0.56,1,0.11
Shiga,9,0.17,58,,6,0.19,44,1.38,365,11.41,31,0.97,1,0.03,-,-,17,0.53,-,-,1,0.03,1,0.03,-,-,4,0.5,-,-,-,-,6,0.86,-,-
Kyoto,2,0.02,58,,8,0.11,91,1.26,881,12.24,83,1.15,5,0.07,-,-,36,0.5,-,-,5,0.07,6,0.08,-,-,8,0.47,-,-,-,-,-,-,-,-
Osaka,15,0.05,232,,49,0.25,386,1.94,3823,19.21,227,1.14,26,0.13,12,0.06,96,0.48,5,0.03,4,0.02,32,0.16,1,0.02,8,0.15,2,0.12,2,0.12,15,0.88,2,0.12
Hyogo,7,0.04,136,,24,0.19,133,1.03,2368,18.36,160,1.24,3,0.02,2,0.02,64,0.5,-,-,3,0.02,19,0.15,-,-,30,0.86,-,-,1,0.09,15,1.36,1,0.09
Nara,-,-,18,,4,0.11,27,0.77,448,12.8,25,0.71,10,0.29,1,0.03,13,0.37,-,-,-,-,2,0.06,-,-,4,0.44,-,-,-,-,3,0.5,-,-
Wakayama,-,-,22,,6,0.19,26,0.84,363,11.71,39,1.26,2,0.06,-,-,22,0.71,-,-,-,-,1,0.03,-,-,1,0.25,-,-,-,-,12,1.09,-,-
Tottori,2,0.07,26,,4,0.21,55,2.89,71,3.74,22,1.16,3,0.16,-,-,14,0.74,-,-,2,0.11,3,0.16,-,-,1,0.33,-,-,-,-,8,1.6,-,-
Shimane,4,0.11,43,,10,0.43,23,1,164,7.13,43,1.87,-,-,-,-,17,0.74,-,-,5,0.22,7,0.3,-,-,-,-,-,-,1,0.13,5,0.63,-,-
Okayama,4,0.05,44,,3,0.06,66,1.22,680,12.59,65,1.2,14,0.26,-,-,32,0.59,1,0.02,-,-,9,0.17,-,-,3,0.25,-,-,1,0.2,9,1.8,-,-
Hiroshima,17,0.15,100,,22,0.31,86,1.19,657,9.13,121,1.68,2,0.03,3,0.04,46,0.64,4,0.06,2,0.03,17,0.24,-,-,7,0.37,-,-,-,-,5,0.24,-,-
Yamaguchi,2,0.03,95,,7,0.15,209,4.35,529,11.02,72,1.5,4,0.08,1,0.02,41,0.85,-,-,12,0.25,9,0.19,-,-,4,0.44,-,-,-,-,2,0.22,-,-
