"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"49th week, 2012",,,,,,"Data collected as of December 12, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,2832,0.57,4020,,1330,0.42,6485,2.06,61897,19.62,5629,1.78,1368,0.43,152,0.05,1556,0.49,60,0.02,139,0.04,1092,0.35,10,0.01,440,0.64,8,0.02,10,0.02,498,1.06,26,0.06
Hokkaido,61,0.27,409,,130,0.91,503,3.52,1287,9,234,1.64,56,0.39,2,0.01,43,0.3,3,0.02,1,0.01,13,0.09,-,-,13,0.45,-,-,-,-,36,1.57,-,-
Aomori,7,0.11,36,,5,0.12,71,1.73,449,10.95,60,1.46,8,0.2,-,-,13,0.32,1,0.02,2,0.05,21,0.51,-,-,2,0.18,-,-,1,0.17,27,4.5,-,-
Iwate,58,0.91,48,,-,-,54,1.35,463,11.58,94,2.35,26,0.65,13,0.33,17,0.43,-,-,6,0.15,45,1.13,-,-,8,0.57,-,-,1,0.05,54,2.84,-,-
Miyagi,28,0.3,74,,10,0.17,114,1.97,1012,17.45,213,3.67,42,0.72,2,0.03,28,0.48,-,-,1,0.02,51,0.88,-,-,1,0.08,-,-,-,-,43,3.58,-,-
Akita,17,0.31,37,,18,0.51,44,1.26,416,11.89,27,0.77,58,1.66,3,0.09,10,0.29,-,-,1,0.03,27,0.77,-,-,4,0.57,1,0.13,-,-,22,2.75,-,-
Yamagata,2,0.04,28,,23,0.77,97,3.23,708,23.6,70,2.33,32,1.07,1,0.03,15,0.5,-,-,-,-,72,2.4,-,-,3,0.38,-,-,1,0.1,12,1.2,1,0.1
Fukushima,33,0.41,117,,10,0.21,89,1.85,635,13.23,98,2.04,76,1.58,1,0.02,21,0.44,1,0.02,-,-,22,0.46,-,-,10,0.83,-,-,-,-,14,2,-,-
Ibaraki,15,0.13,34,,15,0.2,94,1.25,1200,16,103,1.37,161,2.15,5,0.07,20,0.27,3,0.04,-,-,5,0.07,1,0.06,23,1.35,-,-,-,-,6,0.46,-,-
Tochigi,72,0.96,94,,11,0.23,77,1.64,578,12.3,72,1.53,73,1.55,-,-,24,0.51,1,0.02,1,0.02,12,0.26,-,-,13,1.08,-,-,-,-,9,1.29,5,0.71
Gunma,261,2.66,71,,18,0.3,65,1.08,1042,17.37,58,0.97,13,0.22,1,0.02,31,0.52,1,0.02,3,0.05,36,0.6,-,-,12,0.86,1,0.13,-,-,22,2.75,-,-
Saitama,255,1.04,98,,47,0.3,359,2.27,4393,27.8,278,1.76,71,0.45,4,0.03,95,0.6,3,0.02,1,0.01,66,0.42,3,0.07,13,0.32,-,-,1,0.11,22,2.44,2,0.22
