"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51st week, 2012",,,,,,"Data collected as of December 26, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,10977,2.23,4217,,1492,0.48,6898,2.2,53356,17,6791,2.16,1124,0.36,161,0.05,1482,0.47,62,0.02,159,0.05,1146,0.37,10,0.01,429,0.63,10,0.02,14,0.03,437,0.94,17,0.04
Hokkaido,347,1.53,391,,143,1,573,4.01,1004,7.02,357,2.5,47,0.33,-,-,44,0.31,6,0.04,1,0.01,15,0.1,-,-,8,0.28,-,-,-,-,23,1,-,-
Aomori,13,0.2,26,,5,0.12,77,1.88,415,10.12,89,2.17,10,0.24,1,0.02,15,0.37,1,0.02,-,-,24,0.59,-,-,7,0.64,-,-,-,-,17,2.83,-,-
Iwate,201,3.14,31,,3,0.08,77,1.93,391,9.78,78,1.95,23,0.58,12,0.3,16,0.4,2,0.05,2,0.05,57,1.43,-,-,4,0.29,-,-,-,-,28,1.47,-,-
Miyagi,105,1.13,32,,11,0.19,137,2.36,834,14.38,220,3.79,35,0.6,2,0.03,33,0.57,-,-,-,-,91,1.57,1,0.08,4,0.33,2,0.17,-,-,35,2.92,-,-
Akita,47,0.85,28,,33,0.94,56,1.6,516,14.74,60,1.71,25,0.71,4,0.11,16,0.46,-,-,1,0.03,26,0.74,-,-,-,-,-,-,-,-,11,1.38,-,-
Yamagata,25,0.52,42,,35,1.17,116,3.87,675,22.5,104,3.47,29,0.97,-,-,12,0.4,-,-,2,0.07,47,1.57,-,-,2,0.25,-,-,2,0.2,15,1.5,1,0.1
Fukushima,113,1.41,97,,13,0.27,114,2.38,624,13,128,2.67,50,1.04,4,0.08,23,0.48,1,0.02,-,-,25,0.52,-,-,14,1.17,-,-,-,-,13,1.86,-,-
Ibaraki,245,2.04,44,,40,0.53,99,1.32,1460,19.47,120,1.6,111,1.48,7,0.09,19,0.25,3,0.04,2,0.03,8,0.11,-,-,20,1.18,-,-,-,-,7,0.54,-,-
Tochigi,406,5.41,67,,12,0.26,128,2.72,883,18.79,74,1.57,44,0.94,-,-,16,0.34,-,-,-,-,15,0.32,2,0.17,10,0.83,-,-,-,-,13,1.86,-,-
Gunma,1281,13.07,45,,8,0.13,82,1.37,1215,20.25,92,1.53,15,0.25,1,0.02,30,0.5,1,0.02,5,0.08,36,0.6,-,-,9,0.64,-,-,-,-,18,2.25,-,-
Saitama,1413,5.81,166,,67,0.43,387,2.48,3616,23.18,389,2.49,40,0.26,6,0.04,88,0.56,3,0.02,-,-,50,0.32,-,-,16,0.38,-,-,-,-,29,3.22,2,0.22
Chiba,786,3.91,83,,30,0.24,401,3.16,2609,20.54,291,2.29,72,0.57,12,0.09,71,0.56,12,0.09,32,0.25,50,0.39,-,-,17,0.57,2,0.22,-,-,8,0.89,1,0.11
Tokyo,961,2.32,181,,147,0.56,720,2.76,5956,22.82,403,1.54,84,0.32,16,0.06,137,0.52,-,-,6,0.02,40,0.15,-,-,31,0.82,3,0.13,2,0.08,22,0.92,-,-
Kanagawa,490,1.54,144,,137,0.68,429,2.13,4102,20.41,436,2.17,97,0.48,12,0.06,110,0.55,6,0.03,6,0.03,62,0.31,-,-,41,1,-,-,4,0.5,6,0.75,-,-
Niigata,252,2.65,94,,38,0.63,235,3.92,1103,18.38,199,3.32,53,0.88,12,0.2,31,0.52,2,0.03,15,0.25,10,0.17,1,0.1,15,1.5,-,-,-,-,10,0.77,7,0.54
Toyama,52,1.08,15,,17,0.59,125,4.31,482,16.62,101,3.48,24,0.83,4,0.14,14,0.48,-,-,2,0.07,5,0.17,-,-,-,-,-,-,-,-,12,2.4,-,-
Ishikawa,9,0.19,20,,12,0.41,121,4.17,412,14.21,20,0.69,29,1,-,-,14,0.48,-,-,1,0.03,8,0.28,-,-,1,0.14,-,-,-,-,14,2.8,-,-
Fukui,13,0.41,24,,6,0.27,88,4,444,20.18,48,2.18,5,0.23,-,-,13,0.59,-,-,-,-,14,0.64,-,-,2,0.67,-,-,-,-,-,-,-,-
Yamanashi,180,4.5,11,,7,0.29,46,1.92,500,20.83,14,0.58,4,0.17,1,0.04,6,0.25,-,-,-,-,2,0.08,-,-,5,0.56,-,-,-,-,2,0.2,1,0.1
Nagano,171,1.94,185,,2,0.04,112,2.04,958,17.42,134,2.44,4,0.07,3,0.05,27,0.49,1,0.02,1,0.02,1,0.02,-,-,9,0.82,1,0.09,-,-,11,1,-,-
Gifu,138,1.59,89,,22,0.42,70,1.32,608,11.47,85,1.6,1,0.02,7,0.13,20,0.38,3,0.06,3,0.06,32,0.6,-,-,6,0.55,-,-,-,-,7,1.4,-,-
Shizuoka,246,1.78,140,,32,0.36,147,1.67,1416,16.09,146,1.66,4,0.05,3,0.03,36,0.41,2,0.02,1,0.01,15,0.17,-,-,8,0.36,1,0.1,2,0.2,4,0.4,-,-
Aichi,310,1.59,299,,61,0.34,247,1.36,3085,17.04,276,1.52,7,0.04,6,0.03,63,0.35,1,0.01,3,0.02,69,0.38,-,-,16,0.47,-,-,-,-,17,1.21,-,-
Mie,43,0.6,73,,13,0.29,74,1.64,1025,22.78,63,1.4,3,0.07,2,0.04,36,0.8,-,-,-,-,32,0.71,-,-,1,0.08,-,-,-,-,3,0.33,-,-
Shiga,45,0.85,84,,5,0.16,61,1.91,439,13.72,41,1.28,-,-,-,-,10,0.31,-,-,6,0.19,-,-,-,-,-,-,-,-,-,-,2,0.29,-,-
Kyoto,47,0.39,39,,8,0.11,147,1.99,834,11.27,102,1.38,3,0.04,1,0.01,27,0.36,-,-,4,0.05,5,0.07,-,-,6,0.33,-,-,-,-,-,-,-,-
Osaka,228,0.74,395,,95,0.48,411,2.07,2309,11.6,313,1.57,25,0.13,8,0.04,90,0.45,4,0.02,7,0.04,30,0.15,-,-,17,0.33,-,-,-,-,12,0.71,1,0.06
Hyogo,153,0.78,334,,52,0.4,155,1.2,1427,11.06,239,1.85,11,0.09,5,0.04,56,0.43,1,0.01,3,0.02,10,0.08,1,0.03,18,0.55,-,-,-,-,4,0.4,-,-
Nara,32,0.58,34,,6,0.17,31,0.89,372,10.63,48,1.37,5,0.14,-,-,9,0.26,1,0.03,-,-,7,0.2,-,-,2,0.22,-,-,-,-,3,0.5,-,-
Wakayama,69,1.38,61,,9,0.29,25,0.81,254,8.19,58,1.87,1,0.03,-,-,6,0.19,-,-,-,-,7,0.23,1,0.25,-,-,-,-,-,-,10,0.91,-,-
