"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1st week, 2013",,,,,,"Data collected as of January 10, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,18652,3.91,1725,,531,0.18,1587,0.53,13133,4.36,5047,1.67,379,0.13,63,0.02,574,0.19,10,0,36,0.01,580,0.19,7,0.01,233,0.36,8,0.02,8,0.02,243,0.52,5,0.01
Hokkaido,1106,4.87,94,,43,0.3,90,0.63,203,1.42,231,1.62,8,0.06,-,-,18,0.13,-,-,-,-,5,0.03,-,-,7,0.24,-,-,-,-,6,0.26,-,-
Aomori,96,1.5,15,,13,0.32,11,0.27,167,4.07,76,1.85,-,-,-,-,6,0.15,-,-,-,-,12,0.29,-,-,1,0.09,-,-,-,-,9,1.5,-,-
Iwate,487,7.61,24,,2,0.05,27,0.68,134,3.35,65,1.63,8,0.2,7,0.18,8,0.2,-,-,-,-,25,0.63,-,-,9,0.64,-,-,-,-,24,1.26,-,-
Miyagi,172,1.85,13,,17,0.29,21,0.36,257,4.43,156,2.69,19,0.33,3,0.05,8,0.14,-,-,-,-,40,0.69,-,-,-,-,-,-,-,-,19,1.58,-,-
Akita,234,4.25,11,,12,0.34,18,0.51,125,3.57,34,0.97,4,0.11,2,0.06,4,0.11,-,-,-,-,11,0.31,-,-,1,0.14,-,-,-,-,7,0.88,-,-
Yamagata,51,1.16,8,,9,0.35,13,0.5,82,3.15,52,2,4,0.15,-,-,6,0.23,-,-,-,-,15,0.58,-,-,1,0.13,1,0.1,-,-,2,0.2,-,-
Fukushima,780,9.75,53,,3,0.06,26,0.54,131,2.73,114,2.38,9,0.19,1,0.02,3,0.06,-,-,1,0.02,26,0.54,-,-,15,1.25,-,-,-,-,10,1.43,-,-
Ibaraki,1182,9.85,38,,12,0.16,31,0.41,396,5.28,75,1,30,0.4,2,0.03,16,0.21,-,-,-,-,4,0.05,-,-,15,0.88,-,-,1,0.08,3,0.23,-,-
