"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2nd week, 2013",,,,,,"Data collected as of January 16, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,59194,12.07,2171,,1141,0.36,4786,1.53,26463,8.44,6030,1.92,512,0.16,218,0.07,1560,0.5,37,0.01,77,0.02,1068,0.34,20,0.03,469,0.69,5,0.01,10,0.02,382,0.83,22,0.05
Hokkaido,2684,11.93,141,,78,0.55,268,1.89,456,3.21,248,1.75,17,0.12,-,-,45,0.32,1,0.01,1,0.01,15,0.11,-,-,6,0.21,-,-,-,-,25,1.09,-,-
Aomori,436,6.81,14,,5,0.12,38,0.93,235,5.73,58,1.41,2,0.05,-,-,7,0.17,-,-,1,0.02,15,0.37,1,0.09,6,0.55,-,-,-,-,11,1.83,-,-
Iwate,675,10.55,14,,3,0.08,56,1.4,219,5.48,51,1.28,6,0.15,19,0.48,13,0.33,-,-,-,-,42,1.05,1,0.07,6,0.43,-,-,1,0.05,27,1.42,-,-
Miyagi,828,8.9,14,,10,0.17,93,1.6,509,8.78,151,2.6,19,0.33,6,0.1,41,0.71,-,-,1,0.02,57,0.98,-,-,-,-,-,-,-,-,29,2.42,2,0.17
Akita,365,6.64,9,,14,0.4,30,0.86,266,7.6,56,1.6,8,0.23,-,-,9,0.26,-,-,-,-,30,0.86,-,-,3,0.43,-,-,-,-,16,2,-,-
Yamagata,432,9,13,,15,0.5,95,3.17,285,9.5,69,2.3,9,0.3,-,-,18,0.6,-,-,-,-,47,1.57,-,-,2,0.25,-,-,-,-,11,1.1,-,-
Fukushima,1659,20.74,63,,10,0.21,71,1.48,323,6.73,99,2.06,7,0.15,2,0.04,19,0.4,1,0.02,2,0.04,26,0.54,-,-,13,1.08,-,-,-,-,34,4.86,1,0.14
Ibaraki,3105,25.88,30,,28,0.37,94,1.25,571,7.61,76,1.01,28,0.37,11,0.15,21,0.28,-,-,-,-,11,0.15,-,-,12,0.71,-,-,-,-,7,0.54,-,-
Tochigi,1635,21.8,24,,11,0.23,44,0.94,299,6.36,50,1.06,10,0.21,3,0.06,22,0.47,-,-,-,-,15,0.32,-,-,15,1.25,-,-,-,-,7,1,4,0.57
Gunma,2716,27.71,23,,8,0.13,58,0.97,570,9.5,70,1.17,1,0.02,2,0.03,19,0.32,-,-,-,-,25,0.42,-,-,14,1,-,-,-,-,9,1.13,-,-
Saitama,4845,20.44,81,,59,0.38,179,1.16,1556,10.1,242,1.57,11,0.07,9,0.06,74,0.48,1,0.01,1,0.01,45,0.29,1,0.03,17,0.44,-,-,1,0.11,9,1,-,-
Chiba,4549,22.52,47,,30,0.24,299,2.35,1053,8.29,236,1.86,24,0.19,6,0.05,59,0.46,1,0.01,1,0.01,35,0.28,1,0.03,31,1.03,-,-,1,0.11,14,1.56,4,0.44
Tokyo,5866,14.27,86,,104,0.4,464,1.78,2423,9.28,406,1.56,40,0.15,42,0.16,127,0.49,4,0.02,7,0.03,57,0.22,1,0.03,29,0.76,-,-,-,-,10,0.45,2,0.09
Kanagawa,4250,13.12,64,,41,0.2,236,1.17,1662,8.27,357,1.78,19,0.09,15,0.07,113,0.56,3,0.01,1,0,45,0.22,1,0.02,56,1.37,-,-,-,-,2,0.29,-,-
Niigata,1056,11.12,25,,22,0.37,176,2.93,372,6.2,149,2.48,12,0.2,8,0.13,32,0.53,1,0.02,2,0.03,9,0.15,-,-,12,1.2,-,-,-,-,5,0.38,5,0.38
Toyama,287,5.98,4,,15,0.52,103,3.55,241,8.31,52,1.79,12,0.41,15,0.52,15,0.52,-,-,4,0.14,9,0.31,-,-,1,0.14,-,-,-,-,9,1.8,-,-
Ishikawa,278,5.79,7,,8,0.28,130,4.48,188,6.48,40,1.38,8,0.28,1,0.03,19,0.66,-,-,-,-,2,0.07,-,-,1,0.14,-,-,-,-,7,1.4,-,-
Fukui,157,4.91,8,,9,0.41,73,3.32,200,9.09,67,3.05,-,-,-,-,6,0.27,-,-,1,0.05,28,1.27,-,-,3,1,-,-,-,-,1,0.17,-,-
Yamanashi,537,13.43,12,,4,0.17,23,0.96,218,9.08,24,1,6,0.25,1,0.04,4,0.17,-,-,-,-,-,-,-,-,1,0.11,-,-,-,-,2,0.2,-,-
Nagano,1189,13.67,66,,2,0.04,104,1.93,559,10.35,96,1.78,4,0.07,6,0.11,19,0.35,-,-,-,-,3,0.06,2,0.18,1,0.09,1,0.09,-,-,13,1.18,-,-
Gifu,687,7.9,36,,24,0.45,41,0.77,263,4.96,88,1.66,-,-,4,0.08,20,0.38,2,0.04,1,0.02,32,0.6,-,-,9,0.82,-,-,-,-,12,2.4,-,-
Shizuoka,1650,11.87,77,,24,0.27,108,1.21,846,9.51,149,1.67,6,0.07,-,-,46,0.52,-,-,2,0.02,23,0.26,-,-,4,0.18,-,-,-,-,11,1.1,1,0.1
Aichi,2758,14.14,168,,61,0.34,165,0.91,1590,8.78,247,1.36,7,0.04,10,0.06,100,0.55,2,0.01,5,0.03,82,0.45,-,-,7,0.21,-,-,1,0.07,22,1.57,-,-
Mie,444,6.17,35,,21,0.47,61,1.36,418,9.29,58,1.29,4,0.09,3,0.07,41,0.91,-,-,-,-,24,0.53,-,-,5,0.42,-,-,1,0.11,5,0.56,-,-
Shiga,370,6.98,32,,8,0.25,44,1.38,220,6.88,57,1.78,7,0.22,-,-,8,0.25,1,0.03,-,-,16,0.5,-,-,2,0.25,-,-,-,-,3,0.43,1,0.14
Kyoto,689,5.94,34,,7,0.1,92,1.28,494,6.86,158,2.19,-,-,1,0.01,16,0.22,1,0.01,4,0.06,8,0.11,-,-,11,0.61,-,-,-,-,-,-,-,-
Osaka,1494,4.88,262,,84,0.43,340,1.73,1330,6.75,297,1.51,18,0.09,9,0.05,82,0.42,3,0.02,10,0.05,36,0.18,1,0.02,15,0.29,2,0.12,-,-,10,0.59,1,0.06
Hyogo,1255,6.31,174,,40,0.31,129,1,1044,8.09,244,1.89,5,0.04,2,0.02,70,0.54,3,0.02,1,0.01,12,0.09,1,0.03,37,1.06,-,-,-,-,6,0.55,-,-
Nara,251,4.56,18,,10,0.29,31,0.89,240,6.86,32,0.91,-,-,-,-,5,0.14,-,-,-,-,2,0.06,-,-,8,0.89,-,-,-,-,-,-,-,-
Wakayama,288,5.76,34,,5,0.16,28,0.9,173,5.58,64,2.06,-,-,-,-,21,0.68,-,-,1,0.03,3,0.1,3,0.75,1,0.25,-,-,-,-,6,0.55,-,-
Tottori,280,9.66,15,,1,0.05,63,3.32,212,11.16,29,1.53,2,0.11,-,-,8,0.42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0.4,-,-
Shimane,176,4.63,17,,7,0.3,17,0.74,235,10.22,44,1.91,-,-,-,-,11,0.48,1,0.04,2,0.09,2,0.09,-,-,-,-,-,-,-,-,5,0.63,-,-
Okayama,488,5.81,36,,7,0.13,31,0.57,566,10.48,91,1.69,10,0.19,4,0.07,19,0.35,1,0.02,-,-,13,0.24,-,-,1,0.08,-,-,-,-,1,0.2,-,-
Hiroshima,806,7.01,63,,35,0.49,104,1.44,951,13.21,132,1.83,12,0.17,6,0.08,36,0.5,3,0.04,2,0.03,13,0.18,-,-,24,1.26,-,-,-,-,1,0.05,-,-
Yamaguchi,598,8.67,60,,13,0.27,134,2.79,476,9.92,164,3.42,8,0.17,5,0.1,38,0.79,-,-,1,0.02,13,0.27,-,-,5,0.56,-,-,-,-,3,0.33,-,-
Tokushima,185,4.87,80,,6,0.26,34,1.48,249,10.83,41,1.78,-,-,-,-,17,0.74,-,-,-,-,5,0.22,-,-,-,-,-,-,-,-,1,0.2,-,-
Kagawa,150,3.06,32,,13,0.43,17,0.57,337,11.23,51,1.7,5,0.17,4,0.13,11,0.37,-,-,2,0.07,4,0.13,-,-,1,0.33,1,0.2,-,-,5,1,1,0.2
Ehime,479,7.85,41,,6,0.16,98,2.65,418,11.3,138,3.73,4,0.11,7,0.19,31,0.84,-,-,2,0.05,14,0.38,1,0.13,10,1.25,-,-,-,-,2,0.33,-,-
Kochi,350,7.29,27,,-,-,20,0.67,377,12.57,91,3.03,-,-,4,0.13,11,0.37,1,0.03,-,-,1,0.03,-,-,-,-,-,-,-,-,5,0.63,-,-
Fukuoka,3308,16.71,60,,107,0.89,236,1.97,907,7.56,404,3.37,72,0.6,-,-,95,0.79,1,0.01,7,0.06,110,0.92,-,-,23,0.88,-,-,-,-,-,-,-,-
Saga,759,19.97,7,,16,0.73,34,1.55,128,5.82,47,2.14,2,0.09,-,-,22,1,1,0.05,-,-,3,0.14,-,-,1,0.25,-,-,-,-,5,0.83,-,-
