"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3rd week, 2013",,,,,,"Data collected as of January 23, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,111475,22.58,1663,,711,0.23,4762,1.51,22171,7.04,3539,1.12,603,0.19,152,0.05,1455,0.46,31,0.01,61,0.02,730,0.23,14,0.02,312,0.46,6,0.01,15,0.03,288,0.62,13,0.03
Hokkaido,4480,19.74,96,,44,0.31,247,1.74,287,2.02,123,0.87,16,0.11,2,0.01,44,0.31,-,-,1,0.01,15,0.11,-,-,10,0.34,-,-,-,-,11,0.48,1,0.04
Aomori,1156,18.06,8,,1,0.02,35,0.85,183,4.46,33,0.8,3,0.07,-,-,15,0.37,-,-,1,0.02,15,0.37,-,-,1,0.09,-,-,-,-,14,2.33,-,-
Iwate,1208,18.88,11,,6,0.15,45,1.13,194,4.85,25,0.63,6,0.15,23,0.58,9,0.23,1,0.03,1,0.03,35,0.88,-,-,7,0.5,1,0.05,1,0.05,18,0.95,-,-
Miyagi,1749,18.81,30,,10,0.17,72,1.24,394,6.79,104,1.79,15,0.26,4,0.07,33,0.57,-,-,6,0.1,39,0.67,-,-,5,0.42,1,0.08,1,0.08,24,2,2,0.17
Akita,675,12.27,6,,11,0.31,38,1.09,282,8.06,26,0.74,9,0.26,-,-,17,0.49,-,-,-,-,18,0.51,-,-,2,0.29,-,-,-,-,9,1.13,-,-
Yamagata,1032,21.5,6,,14,0.47,105,3.5,199,6.63,32,1.07,5,0.17,-,-,19,0.63,-,-,-,-,23,0.77,-,-,1,0.13,1,0.1,-,-,8,0.8,-,-
Fukushima,2936,38.63,39,,4,0.09,73,1.62,271,6.02,60,1.33,9,0.2,2,0.04,25,0.56,2,0.04,1,0.02,9,0.2,-,-,10,0.83,-,-,-,-,17,2.43,-,-
Ibaraki,4341,36.18,22,,11,0.15,93,1.24,520,6.93,50,0.67,22,0.29,2,0.03,17,0.23,-,-,-,-,4,0.05,-,-,21,1.24,-,-,-,-,8,0.62,-,-
Tochigi,2406,32.08,16,,3,0.06,46,0.98,207,4.4,40,0.85,6,0.13,5,0.11,20,0.43,2,0.04,-,-,6,0.13,-,-,4,0.33,-,-,-,-,4,0.57,4,0.57
Gunma,3495,35.66,10,,2,0.03,54,0.9,406,6.77,45,0.75,4,0.07,1,0.02,19,0.32,-,-,-,-,22,0.37,-,-,9,0.64,-,-,1,0.13,10,1.25,-,-
Saitama,7807,32.13,61,,24,0.15,214,1.37,1161,7.44,160,1.03,26,0.17,5,0.03,79,0.51,1,0.01,3,0.02,31,0.2,2,0.05,15,0.36,-,-,1,0.11,7,0.78,1,0.11
Chiba,7142,34.17,38,,29,0.22,271,2.07,760,5.8,146,1.11,20,0.15,10,0.08,57,0.44,1,0.01,1,0.01,31,0.24,-,-,13,0.38,-,-,-,-,3,0.33,-,-
Tokyo,9989,24.01,57,,61,0.23,436,1.66,1917,7.32,209,0.8,30,0.11,23,0.09,125,0.48,2,0.01,4,0.02,39,0.15,-,-,16,0.42,1,0.04,4,0.16,16,0.64,-,-
Kanagawa,7806,23.3,45,,28,0.14,264,1.28,1166,5.63,179,0.86,27,0.13,7,0.03,103,0.5,7,0.03,4,0.02,48,0.23,2,0.05,31,0.72,-,-,-,-,1,0.14,-,-
Niigata,2642,27.81,11,,16,0.27,190,3.17,317,5.28,68,1.13,30,0.5,3,0.05,36,0.6,-,-,2,0.03,8,0.13,1,0.1,7,0.7,-,-,-,-,10,0.77,2,0.15
Toyama,662,13.79,12,,9,0.31,127,4.38,209,7.21,28,0.97,2,0.07,7,0.24,9,0.31,-,-,2,0.07,8,0.28,-,-,-,-,-,-,-,-,4,0.8,-,-
Ishikawa,793,16.52,6,,6,0.21,134,4.62,176,6.07,24,0.83,8,0.28,-,-,10,0.34,2,0.07,-,-,4,0.14,-,-,-,-,-,-,-,-,1,0.2,-,-
Fukui,413,12.91,13,,6,0.27,44,2,172,7.82,33,1.5,5,0.23,-,-,16,0.73,-,-,2,0.09,16,0.73,-,-,1,0.33,-,-,1,0.17,1,0.17,-,-
Yamanashi,795,19.88,13,,2,0.08,17,0.71,160,6.67,20,0.83,4,0.17,-,-,9,0.38,-,-,-,-,-,-,-,-,4,0.44,-,-,-,-,2,0.2,-,-
Nagano,2022,23.24,33,,4,0.07,85,1.57,390,7.22,70,1.3,2,0.04,9,0.17,19,0.35,-,-,-,-,2,0.04,-,-,4,0.36,-,-,-,-,9,0.82,-,-
Gifu,1865,21.44,30,,15,0.28,40,0.75,247,4.66,43,0.81,2,0.04,7,0.13,25,0.47,1,0.02,-,-,11,0.21,-,-,1,0.09,-,-,-,-,3,0.6,-,-
Shizuoka,2797,20.12,68,,16,0.18,119,1.34,707,7.94,91,1.02,9,0.1,2,0.02,39,0.44,1,0.01,1,0.01,20,0.22,-,-,6,0.27,-,-,-,-,7,0.7,-,-
Aichi,5449,28.09,110,,30,0.17,162,0.9,1280,7.07,144,0.8,3,0.02,7,0.04,72,0.4,1,0.01,1,0.01,64,0.35,-,-,3,0.09,-,-,-,-,11,0.79,-,-
Mie,981,13.63,35,,13,0.29,61,1.36,340,7.56,44,0.98,15,0.33,1,0.02,34,0.76,-,-,1,0.02,16,0.36,-,-,1,0.08,-,-,1,0.11,3,0.33,-,-
Shiga,945,17.83,17,,5,0.16,46,1.44,176,5.5,38,1.19,1,0.03,-,-,11,0.34,-,-,2,0.06,5,0.16,-,-,-,-,-,-,-,-,5,0.71,-,-
Kyoto,1708,13.89,15,,10,0.13,101,1.35,443,5.91,82,1.09,1,0.01,3,0.04,21,0.28,-,-,3,0.04,8,0.11,-,-,5,0.28,-,-,-,-,-,-,-,-
Osaka,3630,11.82,192,,33,0.17,347,1.75,1285,6.49,224,1.13,22,0.11,2,0.01,90,0.45,2,0.01,1,0.01,29,0.15,-,-,15,0.29,-,-,-,-,8,0.47,-,-
Hyogo,2907,14.61,102,,51,0.4,108,0.84,953,7.39,175,1.36,1,0.01,1,0.01,46,0.36,-,-,-,-,14,0.11,-,-,11,0.31,1,0.09,-,-,5,0.45,-,-
Nara,682,12.4,17,,7,0.2,20,0.57,193,5.51,25,0.71,-,-,1,0.03,9,0.26,1,0.03,-,-,4,0.11,-,-,2,0.22,-,-,-,-,1,0.17,-,-
Wakayama,560,11.2,19,,5,0.16,23,0.74,152,4.9,36,1.16,-,-,-,-,18,0.58,-,-,-,-,6,0.19,1,0.25,-,-,-,-,-,-,7,0.64,-,-
Tottori,576,19.86,27,,-,-,61,3.21,165,8.68,26,1.37,2,0.11,1,0.05,9,0.47,-,-,-,-,2,0.11,-,-,1,0.33,-,-,-,-,1,0.2,-,-
Shimane,518,13.63,22,,3,0.13,22,0.96,229,9.96,24,1.04,2,0.09,1,0.04,10,0.43,-,-,-,-,1,0.04,-,-,1,0.33,-,-,-,-,3,0.38,-,-
Okayama,1291,15.37,25,,6,0.11,49,0.91,455,8.43,61,1.13,3,0.06,-,-,21,0.39,-,-,-,-,13,0.24,-,-,2,0.17,-,-,-,-,4,0.8,1,0.2
Hiroshima,2128,18.5,58,,18,0.25,95,1.32,720,10,67,0.93,10,0.14,6,0.08,19,0.26,1,0.01,-,-,9,0.13,2,0.11,12,0.63,-,-,-,-,3,0.14,-,-
Yamaguchi,1268,18.38,60,,8,0.17,110,2.29,407,8.48,95,1.98,7,0.15,3,0.06,34,0.71,-,-,-,-,8,0.17,-,-,-,-,-,-,-,-,3,0.33,-,-
Tokushima,457,12.03,52,,8,0.35,34,1.48,222,9.65,21,0.91,1,0.04,-,-,13,0.57,-,-,-,-,5,0.22,-,-,2,0.5,-,-,-,-,-,-,-,-
Kagawa,627,12.8,22,,3,0.1,21,0.7,338,11.27,34,1.13,3,0.1,-,-,14,0.47,-,-,-,-,3,0.1,-,-,1,0.33,-,-,-,-,-,-,-,-
Ehime,1523,24.97,30,,-,-,95,2.57,417,11.27,52,1.41,10,0.27,1,0.03,27,0.73,1,0.03,2,0.05,4,0.11,-,-,7,0.88,-,-,-,-,4,0.67,-,-
Kochi,608,12.67,40,,-,-,16,0.53,341,11.37,34,1.13,2,0.07,2,0.07,10,0.33,1,0.03,-,-,4,0.13,-,-,-,-,-,-,-,-,8,1,-,-
Fukuoka,6518,32.92,47,,55,0.46,194,1.62,903,7.53,242,2.02,136,1.13,-,-,81,0.68,-,-,8,0.07,54,0.45,-,-,10,0.38,1,0.07,1,0.07,5,0.33,-,-
Saga,1195,31.45,4,,6,0.27,51,2.32,100,4.55,39,1.77,4,0.18,-,-,17,0.77,1,0.05,-,-,3,0.14,-,-,1,0.25,-,-,1,0.17,6,1,-,-
Nagasaki,2415,34.5,23,,10,0.23,52,1.18,431,9.8,70,1.59,5,0.11,2,0.05,28,0.64,-,-,10,0.23,23,0.52,5,0.63,3,0.38,-,-,1,0.08,3,0.25,-,-
Kumamoto,1266,15.83,34,,26,0.52,116,2.32,652,13.04,79,1.58,45,0.9,1,0.02,42,0.84,-,-,2,0.04,8,0.16,-,-,24,2.67,-,-,-,-,5,0.33,2,0.13
Oita,1557,26.84,20,,17,0.47,57,1.58,390,10.83,48,1.33,16,0.44,1,0.03,22,0.61,-,-,-,-,16,0.44,1,0.2,3,0.6,-,-,-,-,9,0.82,-,-
Miyazaki,1579,26.76,27,,41,1.14,71,1.97,528,14.67,69,1.92,2,0.06,4,0.11,26,0.72,-,-,-,-,8,0.22,-,-,17,2.83,-,-,1,0.14,1,0.14,-,-
Kagoshima,1717,18.46,24,,32,0.58,82,1.49,623,11.33,120,2.18,28,0.51,3,0.05,29,0.53,-,-,2,0.04,9,0.16,-,-,10,1.43,-,-,-,-,2,0.17,-,-
Okinawa,1159,19.98,10,,2,0.06,19,0.56,103,3.03,81,2.38,24,0.71,-,-,7,0.21,3,0.09,-,-,10,0.29,-,-,13,1.3,-,-,1,0.14,4,0.57,-,-
