"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4th week, 2013",,,,,,"Data collected as of January 30, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,180085,36.44,1782,,917,0.29,6106,1.94,24735,7.85,4228,1.34,569,0.18,203,0.06,1418,0.45,30,0.01,60,0.02,617,0.2,17,0.02,338,0.49,4,0.01,10,0.02,292,0.63,18,0.04
Hokkaido,8400,37,74,,51,0.36,449,3.14,408,2.85,153,1.07,17,0.12,2,0.01,57,0.4,4,0.03,-,-,13,0.09,-,-,16,0.55,-,-,-,-,13,0.57,-,-
Aomori,1983,30.98,20,,2,0.05,44,1.07,225,5.49,65,1.59,3,0.07,2,0.05,19,0.46,-,-,-,-,8,0.2,-,-,1,0.09,-,-,-,-,9,1.5,-,-
Iwate,2024,31.63,3,,6,0.15,72,1.8,211,5.28,35,0.88,4,0.1,34,0.85,13,0.33,-,-,-,-,25,0.63,-,-,7,0.5,-,-,-,-,22,1.16,-,-
Miyagi,2850,30.65,25,,21,0.36,79,1.36,401,6.91,76,1.31,15,0.26,17,0.29,39,0.67,-,-,-,-,21,0.36,-,-,1,0.08,-,-,-,-,33,2.75,1,0.08
Akita,1230,22.36,8,,9,0.26,42,1.2,296,8.46,38,1.09,8,0.23,1,0.03,7,0.2,-,-,-,-,9,0.26,-,-,1,0.14,-,-,-,-,7,0.88,-,-
Yamagata,1620,33.75,4,,21,0.7,116,3.87,207,6.9,43,1.43,2,0.07,1,0.03,15,0.5,-,-,-,-,27,0.9,-,-,1,0.13,-,-,-,-,4,0.4,-,-
Fukushima,3451,45.41,42,,4,0.09,92,2.04,237,5.27,64,1.42,9,0.2,-,-,16,0.36,-,-,-,-,18,0.4,-,-,8,0.67,-,-,-,-,7,1,1,0.14
Ibaraki,4950,41.25,21,,23,0.31,97,1.29,614,8.19,74,0.99,19,0.25,5,0.07,22,0.29,-,-,1,0.01,5,0.07,-,-,22,1.29,-,-,-,-,7,0.54,-,-
Tochigi,2830,37.73,10,,3,0.06,50,1.06,236,5.02,45,0.96,11,0.23,-,-,21,0.45,1,0.02,-,-,7,0.15,-,-,6,0.5,-,-,-,-,7,1,1,0.14
Gunma,3836,39.14,1,,8,0.13,67,1.12,426,7.1,49,0.82,6,0.1,3,0.05,23,0.38,-,-,-,-,9,0.15,-,-,12,0.86,-,-,-,-,8,1,-,-
Saitama,12185,49.53,51,,41,0.26,323,2.04,1372,8.68,170,1.08,24,0.15,8,0.05,59,0.37,1,0.01,2,0.01,18,0.11,6,0.14,9,0.21,-,-,-,-,13,1.44,3,0.33
Chiba,11230,53.22,38,,50,0.38,424,3.24,1008,7.69,170,1.3,17,0.13,7,0.05,41,0.31,4,0.03,1,0.01,21,0.16,1,0.03,26,0.76,-,-,1,0.11,4,0.44,3,0.33
Tokyo,17259,41.29,98,,78,0.3,570,2.16,2148,8.14,226,0.86,22,0.08,27,0.1,126,0.48,1,0,1,0,34,0.13,1,0.03,14,0.38,2,0.08,4,0.17,12,0.5,-,-
Kanagawa,13883,41.69,58,,30,0.15,331,1.61,1384,6.75,217,1.06,26,0.13,14,0.07,100,0.49,3,0.01,-,-,32,0.16,-,-,31,0.7,-,-,-,-,5,0.5,-,-
Niigata,5112,53.81,12,,23,0.38,233,3.88,359,5.98,105,1.75,30,0.5,9,0.15,27,0.45,-,-,1,0.02,9,0.15,-,-,5,0.5,-,-,-,-,4,0.31,3,0.23
Toyama,1417,29.52,12,,19,0.66,160,5.52,277,9.55,32,1.1,9,0.31,9,0.31,5,0.17,-,-,3,0.1,3,0.1,-,-,-,-,-,-,-,-,6,1.2,-,-
Ishikawa,1536,32,7,,15,0.52,153,5.28,202,6.97,36,1.24,13,0.45,2,0.07,11,0.38,-,-,1,0.03,3,0.1,-,-,1,0.14,-,-,-,-,4,0.8,-,-
Fukui,623,19.47,11,,5,0.23,81,3.68,243,11.05,83,3.77,2,0.09,-,-,15,0.68,-,-,-,-,14,0.64,-,-,-,-,-,-,-,-,1,0.17,-,-
Yamanashi,1470,36.75,7,,3,0.13,20,0.83,192,8,19,0.79,1,0.04,-,-,7,0.29,-,-,-,-,1,0.04,-,-,7,0.78,-,-,-,-,-,-,1,0.1
Nagano,3229,37.11,58,,3,0.06,81,1.5,433,8.02,59,1.09,8,0.15,7,0.13,21,0.39,-,-,-,-,3,0.06,-,-,6,0.55,-,-,-,-,6,0.55,-,-
Gifu,2541,29.21,38,,18,0.34,50,0.94,289,5.45,47,0.89,-,-,1,0.02,19,0.36,-,-,-,-,15,0.28,-,-,3,0.27,-,-,-,-,9,1.8,-,-
Shizuoka,4879,35.1,75,,15,0.17,118,1.33,810,9.1,101,1.13,9,0.1,1,0.01,44,0.49,2,0.02,2,0.02,19,0.21,-,-,11,0.5,-,-,-,-,13,1.3,1,0.1
Aichi,9097,46.65,86,,45,0.25,184,1.02,1543,8.52,191,1.06,9,0.05,4,0.02,83,0.46,2,0.01,-,-,55,0.3,1,0.03,17,0.5,1,0.07,-,-,9,0.64,-,-
Mie,1799,24.99,41,,11,0.24,72,1.6,398,8.84,59,1.31,6,0.13,1,0.02,23,0.51,-,-,-,-,19,0.42,-,-,2,0.17,-,-,-,-,7,0.78,-,-
Shiga,1326,25.02,33,,5,0.16,35,1.09,203,6.34,44,1.38,7,0.22,-,-,18,0.56,1,0.03,-,-,4,0.13,-,-,3,0.38,-,-,-,-,2,0.29,-,-
Kyoto,2850,23.55,13,,6,0.08,121,1.66,508,6.96,108,1.48,-,-,-,-,15,0.21,-,-,2,0.03,7,0.1,-,-,5,0.29,-,-,-,-,-,-,-,-
Osaka,7060,22.85,205,,44,0.22,429,2.15,1400,7,225,1.13,31,0.16,8,0.04,75,0.38,1,0.01,3,0.02,24,0.12,-,-,16,0.31,-,-,-,-,9,0.53,1,0.06
Hyogo,5844,29.37,89,,61,0.47,158,1.22,1087,8.43,174,1.35,1,0.01,6,0.05,46,0.36,2,0.02,2,0.02,14,0.11,1,0.03,11,0.31,-,-,-,-,8,0.73,2,0.18
Nara,1264,22.98,17,,4,0.11,25,0.71,184,5.26,29,0.83,1,0.03,1,0.03,8,0.23,-,-,-,-,3,0.09,-,-,-,-,-,-,-,-,-,-,-,-
Wakayama,1024,20.48,33,,3,0.1,35,1.13,158,5.1,20,0.65,1,0.03,-,-,17,0.55,1,0.03,-,-,5,0.16,-,-,1,0.25,-,-,-,-,8,0.73,-,-
Tottori,1003,34.59,10,,-,-,80,4.21,170,8.95,27,1.42,12,0.63,2,0.11,10,0.53,-,-,-,-,3,0.16,-,-,-,-,-,-,1,0.2,2,0.4,-,-
Shimane,858,22.58,23,,-,-,32,1.39,246,10.7,42,1.83,3,0.13,-,-,13,0.57,-,-,1,0.04,3,0.13,-,-,-,-,-,-,1,0.13,1,0.13,-,-
