"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8th week, 2013",,,,,,"Data collected as of February 27, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,68661,13.9,1198,,782,0.25,6931,2.2,27747,8.81,4041,1.28,589,0.19,161,0.05,1415,0.45,38,0.01,62,0.02,752,0.24,18,0.03,289,0.42,7,0.02,13,0.03,229,0.49,11,0.02
Hokkaido,2248,9.9,65,,42,0.29,498,3.48,382,2.67,101,0.71,12,0.08,1,0.01,40,0.28,8,0.06,-,-,30,0.21,-,-,3,0.1,-,-,-,-,3,0.13,-,-
Aomori,642,10.03,5,,5,0.12,57,1.39,210,5.12,27,0.66,2,0.05,1,0.02,11,0.27,-,-,-,-,11,0.27,-,-,2,0.18,-,-,-,-,4,0.67,-,-
Iwate,938,14.66,2,,2,0.05,58,1.45,267,6.68,24,0.6,4,0.1,13,0.33,9,0.23,-,-,-,-,33,0.83,-,-,8,0.57,-,-,-,-,15,0.79,-,-
Miyagi,1008,10.84,9,,16,0.28,130,2.24,398,6.86,83,1.43,7,0.12,5,0.09,35,0.6,5,0.09,3,0.05,26,0.45,-,-,1,0.08,1,0.08,-,-,17,1.42,-,-
Akita,948,17.24,7,,8,0.23,47,1.34,210,6,22,0.63,1,0.03,-,-,10,0.29,-,-,2,0.06,27,0.77,-,-,3,0.43,-,-,-,-,8,1,-,-
Yamagata,484,10.08,5,,10,0.33,133,4.43,269,8.97,38,1.27,2,0.07,-,-,19,0.63,1,0.03,-,-,31,1.03,-,-,-,-,-,-,2,0.2,8,0.8,1,0.1
Fukushima,842,11.08,21,,7,0.16,113,2.51,345,7.67,40,0.89,6,0.13,3,0.07,19,0.42,-,-,1,0.02,24,0.53,1,0.08,4,0.33,-,-,-,-,5,0.71,-,-
Ibaraki,1158,9.65,7,,7,0.09,157,2.09,713,9.51,61,0.81,21,0.28,1,0.01,18,0.24,1,0.01,-,-,7,0.09,1,0.06,12,0.71,-,-,-,-,5,0.38,-,-
