"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11th week, 2013",,,,,,"Data collected as of March 21, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,40091,8.13,1023,,991,0.32,7183,2.28,32009,10.18,3392,1.08,629,0.2,165,0.05,1584,0.5,24,0.01,70,0.02,770,0.24,17,0.03,290,0.43,10,0.02,10,0.02,248,0.53,11,0.02
Hokkaido,777,3.42,57,,71,0.5,604,4.22,565,3.95,141,0.99,2,0.01,2,0.01,45,0.31,-,-,-,-,18,0.13,-,-,4,0.14,-,-,-,-,2,0.09,1,0.04
Aomori,372,5.81,4,,3,0.07,55,1.34,241,5.88,24,0.59,4,0.1,-,-,12,0.29,-,-,-,-,7,0.17,-,-,9,0.82,-,-,-,-,4,0.67,-,-
Iwate,444,6.94,2,,14,0.35,74,1.85,276,6.9,36,0.9,2,0.05,5,0.13,21,0.53,-,-,-,-,29,0.73,-,-,8,0.62,1,0.05,-,-,14,0.74,-,-
Miyagi,375,4.03,11,,23,0.4,172,2.97,507,8.74,73,1.26,13,0.22,7,0.12,34,0.59,-,-,-,-,18,0.31,-,-,1,0.08,-,-,1,0.08,24,2,1,0.08
Akita,556,10.11,7,,7,0.2,59,1.69,207,5.91,16,0.46,-,-,-,-,10,0.29,-,-,-,-,40,1.14,-,-,1,0.14,-,-,-,-,7,0.88,-,-
Yamagata,251,5.23,6,,16,0.53,160,5.33,338,11.27,31,1.03,1,0.03,3,0.1,22,0.73,-,-,-,-,27,0.9,-,-,-,-,1,0.1,1,0.1,6,0.6,1,0.1
Fukushima,349,4.59,33,,10,0.22,131,2.91,333,7.4,38,0.84,3,0.07,2,0.04,23,0.51,1,0.02,2,0.04,17,0.38,1,0.08,8,0.67,-,-,-,-,5,0.71,-,-
Ibaraki,357,2.98,9,,17,0.23,163,2.17,711,9.48,79,1.05,9,0.12,3,0.04,25,0.33,1,0.01,-,-,4,0.05,1,0.06,11,0.65,-,-,-,-,4,0.31,-,-
Tochigi,250,3.33,7,,1,0.02,101,2.15,429,9.13,54,1.15,8,0.17,3,0.06,18,0.38,-,-,1,0.02,16,0.34,-,-,3,0.25,-,-,-,-,8,1.14,2,0.29
Gunma,446,4.55,10,,8,0.13,101,1.68,772,12.87,48,0.8,7,0.12,4,0.07,33,0.55,-,-,-,-,12,0.2,-,-,9,0.64,-,-,-,-,6,0.75,-,-
Saitama,842,3.44,14,,39,0.25,451,2.87,2208,14.06,152,0.97,15,0.1,7,0.04,88,0.56,1,0.01,1,0.01,22,0.14,1,0.03,9,0.23,-,-,-,-,14,1.56,1,0.11
Chiba,740,3.54,19,,33,0.25,475,3.63,1431,10.92,137,1.05,9,0.07,4,0.03,51,0.39,1,0.01,3,0.02,39,0.3,4,0.12,19,0.58,1,0.11,1,0.11,4,0.44,-,-
Tokyo,1061,2.55,45,,63,0.24,710,2.7,3391,12.89,185,0.7,21,0.08,25,0.1,143,0.54,-,-,4,0.02,39,0.15,-,-,17,0.45,2,0.09,3,0.14,16,0.73,-,-
Kanagawa,1192,3.71,31,,43,0.22,468,2.36,1917,9.68,192,0.97,14,0.07,15,0.08,132,0.67,4,0.02,2,0.01,46,0.23,1,0.02,22,0.52,-,-,-,-,2,0.25,-,-
Niigata,529,5.57,6,,15,0.25,280,4.67,529,8.82,45,0.75,57,0.95,8,0.13,37,0.62,-,-,1,0.02,8,0.13,-,-,10,1,-,-,-,-,4,0.31,1,0.08
Toyama,494,10.29,12,,16,0.55,153,5.28,286,9.86,31,1.07,15,0.52,9,0.31,12,0.41,-,-,3,0.1,3,0.1,-,-,-,-,-,-,-,-,5,1,-,-
Ishikawa,758,15.79,3,,8,0.28,219,7.55,263,9.07,13,0.45,21,0.72,-,-,12,0.41,-,-,-,-,3,0.1,-,-,-,-,-,-,-,-,6,1.2,-,-
Fukui,520,16.25,2,,12,0.55,87,3.95,332,15.09,45,2.05,-,-,-,-,11,0.5,-,-,-,-,34,1.55,-,-,1,0.33,1,0.17,-,-,-,-,-,-
Yamanashi,347,8.68,-,,11,0.46,38,1.58,217,9.04,13,0.54,-,-,1,0.04,14,0.58,-,-,-,-,1,0.04,-,-,1,0.11,-,-,-,-,2,0.2,1,0.1
Nagano,1026,11.79,11,,2,0.04,155,2.87,646,11.96,44,0.81,4,0.07,-,-,25,0.46,1,0.02,-,-,2,0.04,1,0.09,6,0.55,-,-,-,-,5,0.45,-,-
