"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14th week, 2013",,,,,,"Data collected as of Aplir 10, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,13814,2.8,580,,844,0.27,4557,1.45,21878,6.95,3599,1.14,590,0.19,194,0.06,1700,0.54,29,0.01,108,0.03,785,0.25,13,0.02,342,0.5,10,0.02,18,0.04,195,0.42,14,0.03
Hokkaido,327,1.44,32,,39,0.27,275,1.94,435,3.06,128,0.9,7,0.05,2,0.01,55,0.39,-,-,1,0.01,11,0.08,-,-,6,0.21,-,-,-,-,4,0.18,-,-
Aomori,152,2.38,6,,4,0.1,44,1.07,200,4.88,24,0.59,1,0.02,1,0.02,25,0.61,-,-,1,0.02,9,0.22,-,-,8,0.73,-,-,1,0.17,6,1,-,-
Iwate,219,3.42,3,,5,0.13,55,1.38,166,4.15,39,0.98,-,-,5,0.13,28,0.7,-,-,1,0.03,25,0.63,-,-,2,0.14,1,0.05,-,-,11,0.58,-,-
Miyagi,159,1.71,10,,17,0.29,86,1.48,369,6.36,67,1.16,5,0.09,14,0.24,43,0.74,-,-,-,-,17,0.29,-,-,5,0.42,-,-,1,0.08,9,0.75,-,-
Akita,372,6.76,3,,8,0.23,44,1.26,185,5.29,17,0.49,-,-,3,0.09,14,0.4,-,-,-,-,36,1.03,-,-,-,-,-,-,-,-,1,0.13,-,-
Yamagata,86,1.79,-,,21,0.7,66,2.2,247,8.23,29,0.97,14,0.47,2,0.07,15,0.5,-,-,-,-,16,0.53,-,-,1,0.13,-,-,-,-,2,0.2,-,-
Fukushima,174,2.29,9,,11,0.24,75,1.67,279,6.2,36,0.8,2,0.04,1,0.02,26,0.58,1,0.02,-,-,29,0.64,-,-,7,0.58,-,-,-,-,3,0.43,2,0.29
Ibaraki,60,0.5,15,,12,0.16,82,1.08,460,6.05,96,1.26,6,0.08,3,0.04,23,0.3,-,-,-,-,3,0.04,1,0.06,14,0.82,-,-,-,-,6,0.46,-,-
