"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16th week, 2013",,,,,,"Data collected as of April 24, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,14199,2.89,549,,1106,0.35,6616,2.1,25524,8.1,3184,1.01,947,0.3,273,0.09,1929,0.61,27,0.01,143,0.05,792,0.25,8,0.01,400,0.59,11,0.02,10,0.02,241,0.52,20,0.04
Hokkaido,677,2.98,34,,80,0.56,510,3.57,703,4.92,131,0.92,10,0.07,3,0.02,56,0.39,1,0.01,1,0.01,11,0.08,-,-,5,0.17,-,-,-,-,2,0.09,1,0.04
Aomori,126,1.97,6,,5,0.12,63,1.54,233,5.68,15,0.37,1,0.02,1,0.02,17,0.41,-,-,1,0.02,5,0.12,-,-,7,0.64,-,-,-,-,5,0.83,-,-
Iwate,205,3.25,3,,7,0.18,82,2.05,292,7.3,30,0.75,-,-,15,0.38,19,0.48,-,-,-,-,40,1,-,-,4,0.29,-,-,1,0.05,16,0.84,-,-
Miyagi,189,2.03,6,,15,0.26,141,2.43,484,8.34,47,0.81,1,0.02,14,0.24,34,0.59,-,-,1,0.02,18,0.31,-,-,3,0.25,-,-,1,0.08,19,1.58,-,-
Akita,236,4.29,3,,7,0.2,40,1.14,306,8.74,19,0.54,-,-,3,0.09,12,0.34,-,-,-,-,42,1.2,-,-,5,0.71,-,-,-,-,2,0.25,-,-
Yamagata,238,4.96,3,,23,0.77,103,3.43,328,10.93,26,0.87,8,0.27,5,0.17,18,0.6,-,-,-,-,19,0.63,-,-,1,0.13,-,-,-,-,7,0.7,-,-
Fukushima,150,1.97,7,,10,0.22,117,2.6,305,6.78,60,1.33,2,0.04,6,0.13,27,0.6,2,0.04,-,-,18,0.4,-,-,13,1.08,-,-,-,-,14,2,2,0.29
Ibaraki,72,0.6,6,,20,0.27,145,1.93,532,7.09,89,1.19,6,0.08,1,0.01,29,0.39,-,-,-,-,11,0.15,-,-,28,1.65,4,0.31,-,-,-,-,-,-
Tochigi,44,0.58,1,,4,0.08,81,1.69,280,5.83,38,0.79,5,0.1,1,0.02,36,0.75,1,0.02,-,-,13,0.27,-,-,9,0.75,-,-,-,-,3,0.43,3,0.43
Gunma,118,1.2,-,,8,0.13,102,1.7,593,9.88,34,0.57,3,0.05,2,0.03,21,0.35,-,-,1,0.02,22,0.37,-,-,9,0.64,-,-,-,-,7,0.88,-,-
Saitama,240,0.98,23,,56,0.35,457,2.86,1328,8.3,142,0.89,34,0.21,19,0.12,134,0.84,-,-,6,0.04,44,0.28,-,-,22,0.52,-,-,1,0.1,10,1,1,0.1
Chiba,218,1.06,10,,55,0.42,377,2.86,1024,7.76,124,0.94,5,0.04,8,0.06,75,0.57,-,-,6,0.05,30,0.23,1,0.03,22,0.65,-,-,1,0.11,2,0.22,1,0.11
Tokyo,391,0.95,36,,92,0.35,781,3,2173,8.36,176,0.68,33,0.13,47,0.18,192,0.74,-,-,7,0.03,38,0.15,-,-,20,0.51,2,0.08,1,0.04,14,0.58,-,-
Kanagawa,366,1.13,14,,54,0.26,417,2.02,1437,6.98,171,0.83,9,0.04,19,0.09,139,0.67,1,0,5,0.02,67,0.33,-,-,54,1.32,-,-,1,0.11,2,0.22,-,-
Niigata,240,2.53,10,,13,0.22,240,4,820,13.67,49,0.82,43,0.72,28,0.47,46,0.77,1,0.02,1,0.02,4,0.07,1,0.1,8,0.8,-,-,-,-,2,0.15,1,0.08
