"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"19th week, 2013",,,,,,"Data collected as of May 15, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,9410,1.91,388,,1490,0.47,5934,1.88,25357,8.04,4877,1.55,1196,0.38,266,0.08,1915,0.61,26,0.01,216,0.07,816,0.26,31,0.05,442,0.65,3,0.01,16,0.03,211,0.45,26,0.06
Hokkaido,511,2.25,37,,92,0.64,358,2.5,859,6.01,186,1.3,6,0.04,1,0.01,50,0.35,1,0.01,2,0.01,19,0.13,1,0.03,9,0.31,-,-,-,-,5,0.22,-,-
Aomori,208,3.25,3,,11,0.27,38,0.93,141,3.44,20,0.49,7,0.17,2,0.05,23,0.56,-,-,-,-,8,0.2,-,-,2,0.18,-,-,-,-,9,1.5,-,-
Iwate,80,1.25,-,,12,0.3,87,2.18,275,6.88,78,1.95,-,-,15,0.38,16,0.4,-,-,1,0.03,36,0.9,-,-,8,0.57,-,-,-,-,24,1.26,-,-
Miyagi,127,1.37,3,,12,0.21,115,1.98,534,9.21,97,1.67,12,0.21,8,0.14,37,0.64,1,0.02,3,0.05,15,0.26,-,-,3,0.25,-,-,-,-,14,1.17,-,-
Akita,122,2.22,5,,7,0.2,34,0.97,206,5.89,38,1.09,1,0.03,7,0.2,18,0.51,-,-,-,-,34,0.97,1,0.14,4,0.57,-,-,-,-,4,0.5,-,-
Yamagata,136,2.83,2,,11,0.37,92,3.07,362,12.07,40,1.33,13,0.43,2,0.07,29,0.97,-,-,-,-,15,0.5,-,-,1,0.13,-,-,-,-,6,0.6,-,-
Fukushima,164,2.16,13,,14,0.31,118,2.62,335,7.44,59,1.31,3,0.07,2,0.04,24,0.53,1,0.02,-,-,22,0.49,-,-,12,1,-,-,-,-,7,1,1,0.14
Ibaraki,18,0.15,7,,21,0.28,139,1.85,522,6.96,114,1.52,8,0.11,4,0.05,30,0.4,1,0.01,1,0.01,5,0.07,1,0.06,33,1.94,-,-,-,-,6,0.46,-,-
Tochigi,29,0.38,8,,14,0.29,80,1.67,233,4.85,71,1.48,11,0.23,3,0.06,30,0.63,-,-,2,0.04,10,0.21,-,-,8,0.67,-,-,1,0.14,1,0.14,10,1.43
Gunma,107,1.09,-,,14,0.23,90,1.5,477,7.95,64,1.07,7,0.12,4,0.07,33,0.55,2,0.03,6,0.1,21,0.35,-,-,26,1.86,-,-,-,-,4,0.5,-,-
Saitama,272,1.11,6,,82,0.52,398,2.52,1332,8.43,219,1.39,52,0.33,15,0.09,104,0.66,-,-,8,0.05,53,0.34,5,0.12,18,0.43,-,-,-,-,9,0.9,1,0.1
Chiba,95,0.46,6,,67,0.51,406,3.08,991,7.51,200,1.52,19,0.14,7,0.05,79,0.6,1,0.01,4,0.03,44,0.33,1,0.03,25,0.76,-,-,1,0.11,-,-,-,-
Tokyo,263,0.64,22,,141,0.54,632,2.43,1968,7.57,342,1.32,33,0.13,52,0.2,168,0.65,3,0.01,19,0.07,52,0.2,-,-,17,0.45,-,-,1,0.04,4,0.16,2,0.08
Kanagawa,317,0.97,9,,68,0.33,415,2,1411,6.82,290,1.4,21,0.1,20,0.1,148,0.71,3,0.01,5,0.02,47,0.23,1,0.02,57,1.36,-,-,-,-,1,0.11,-,-
Niigata,224,2.33,9,,48,0.79,237,3.89,917,15.03,90,1.48,44,0.72,24,0.39,42,0.69,-,-,1,0.02,7,0.11,-,-,6,0.6,-,-,-,-,5,0.38,5,0.38
Toyama,219,4.56,4,,30,1.03,141,4.86,307,10.59,42,1.45,21,0.72,27,0.93,9,0.31,-,-,2,0.07,2,0.07,-,-,3,0.43,-,-,-,-,13,2.6,-,-
Ishikawa,140,2.92,2,,23,0.79,127,4.38,175,6.03,60,2.07,6,0.21,1,0.03,19,0.66,-,-,-,-,7,0.24,-,-,2,0.29,-,-,-,-,4,0.8,-,-
Fukui,108,3.38,3,,19,0.86,72,3.27,211,9.59,38,1.73,-,-,-,-,9,0.41,-,-,2,0.09,18,0.82,-,-,1,0.33,-,-,-,-,-,-,-,-
Yamanashi,95,2.38,-,,11,0.46,55,2.29,182,7.58,30,1.25,11,0.46,3,0.13,10,0.42,-,-,1,0.04,2,0.08,-,-,2,0.22,-,-,-,-,1,0.1,-,-
Nagano,167,1.92,1,,3,0.06,133,2.46,646,11.96,81,1.5,2,0.04,3,0.06,31,0.57,-,-,2,0.04,3,0.06,-,-,6,0.55,-,-,-,-,11,1,-,-
Gifu,259,2.98,3,,27,0.51,40,0.75,289,5.45,39,0.74,2,0.04,4,0.08,20,0.38,-,-,-,-,12,0.23,-,-,2,0.18,-,-,-,-,1,0.2,-,-
Shizuoka,195,1.4,12,,60,0.67,119,1.34,623,7,107,1.2,34,0.38,2,0.02,57,0.64,-,-,1,0.01,14,0.16,-,-,15,0.68,-,-,3,0.3,3,0.3,3,0.3
Aichi,369,1.89,32,,60,0.33,190,1.05,1175,6.49,205,1.13,32,0.18,5,0.03,101,0.56,1,0.01,2,0.01,52,0.29,-,-,5,0.15,-,-,-,-,3,0.23,-,-
Mie,161,2.24,4,,14,0.31,43,0.96,469,10.42,44,0.98,23,0.51,2,0.04,34,0.76,-,-,1,0.02,6,0.13,1,0.08,2,0.17,-,-,-,-,1,0.11,1,0.11
Shiga,87,1.64,1,,25,0.78,34,1.06,286,8.94,44,1.38,12,0.38,1,0.03,12,0.38,-,-,13,0.41,3,0.09,1,0.13,4,0.5,-,-,-,-,2,0.29,-,-
Kyoto,227,1.86,5,,14,0.19,87,1.18,445,6.01,97,1.31,12,0.16,1,0.01,31,0.42,-,-,4,0.05,17,0.23,-,-,16,0.89,-,-,-,-,-,-,-,-
Osaka,638,2.08,29,,111,0.56,364,1.83,1976,9.93,266,1.34,59,0.3,6,0.03,118,0.59,3,0.02,17,0.09,31,0.16,2,0.04,24,0.46,-,-,-,-,3,0.18,-,-
Hyogo,351,1.76,10,,56,0.43,141,1.09,1269,9.84,188,1.46,16,0.12,12,0.09,71,0.55,2,0.02,1,0.01,16,0.12,-,-,12,0.34,-,-,1,0.09,8,0.73,-,-
Nara,76,1.38,3,,16,0.46,44,1.26,225,6.43,44,1.26,7,0.2,1,0.03,14,0.4,-,-,-,-,3,0.09,2,0.22,6,0.67,-,-,1,0.17,1,0.17,-,-
Wakayama,70,1.4,1,,4,0.13,20,0.65,165,5.32,50,1.61,-,-,-,-,11,0.35,-,-,-,-,-,-,-,-,3,0.75,-,-,-,-,8,0.73,1,0.09
Tottori,59,2.03,3,,4,0.21,74,3.89,197,10.37,38,2,14,0.74,1,0.05,9,0.47,-,-,-,-,-,-,-,-,2,0.67,-,-,2,0.4,2,0.4,-,-
Shimane,90,2.37,2,,7,0.3,18,0.78,307,13.35,47,2.04,75,3.26,-,-,21,0.91,-,-,4,0.17,1,0.04,-,-,-,-,-,-,-,-,4,0.5,-,-
Okayama,136,1.62,4,,13,0.24,35,0.65,655,12.13,96,1.78,2,0.04,3,0.06,30,0.56,-,-,12,0.22,9,0.17,11,0.92,1,0.08,-,-,-,-,3,0.6,-,-
Hiroshima,126,1.1,14,,43,0.6,95,1.32,799,11.1,92,1.28,42,0.58,5,0.07,45,0.63,2,0.03,9,0.13,27,0.38,-,-,14,0.74,-,-,-,-,1,0.05,-,-
Yamaguchi,246,3.62,7,,13,0.28,119,2.53,380,8.09,115,2.45,19,0.4,-,-,43,0.91,-,-,14,0.3,4,0.09,-,-,5,0.56,-,-,-,-,2,0.22,-,-
Tokushima,22,0.59,3,,11,0.48,20,0.87,180,7.83,28,1.22,1,0.04,-,-,14,0.61,-,-,-,-,7,0.3,-,-,1,0.25,-,-,1,0.2,-,-,-,-
Kagawa,56,1.14,-,,19,0.63,62,2.07,209,6.97,29,0.97,3,0.1,1,0.03,16,0.53,-,-,1,0.03,4,0.13,-,-,-,-,-,-,-,-,-,-,-,-
Ehime,189,3.1,9,,8,0.22,59,1.59,456,12.32,120,3.24,2,0.05,3,0.08,39,1.05,-,-,-,-,13,0.35,-,-,17,2.13,-,-,-,-,5,0.83,-,-
Kochi,31,0.65,1,,4,0.13,18,0.6,178,5.93,52,1.73,3,0.1,1,0.03,11,0.37,1,0.03,1,0.03,7,0.23,-,-,2,0.67,-,-,-,-,5,0.63,-,-
