"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22th week, 2013",,,,,,"Data collected as of June 5, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,3457,0.7,368,,2194,0.7,7225,2.29,21524,6.83,4853,1.54,2216,0.7,260,0.08,2281,0.72,31,0.01,536,0.17,985,0.31,25,0.04,471,0.69,10,0.02,11,0.02,240,0.51,16,0.03
Hokkaido,195,0.86,51,,158,1.1,508,3.55,857,5.99,267,1.87,4,0.03,2,0.01,46,0.32,1,0.01,1,0.01,10,0.07,-,-,9,0.31,-,-,-,-,8,0.35,-,-
Aomori,106,1.66,7,,6,0.15,39,0.95,116,2.83,51,1.24,20,0.49,1,0.02,24,0.59,-,-,4,0.1,11,0.27,1,0.09,9,0.82,-,-,-,-,7,1.17,-,-
Iwate,38,0.59,-,,23,0.58,73,1.83,218,5.45,63,1.58,2,0.05,12,0.3,20,0.5,2,0.05,1,0.03,19,0.48,-,-,5,0.36,-,-,-,-,35,1.84,-,-
Miyagi,82,0.88,9,,35,0.6,146,2.52,457,7.88,113,1.95,13,0.22,36,0.62,42,0.72,-,-,2,0.03,25,0.43,1,0.08,5,0.42,1,0.08,-,-,31,2.58,-,-
Akita,22,0.4,4,,11,0.31,46,1.31,183,5.23,34,0.97,5,0.14,1,0.03,14,0.4,-,-,-,-,41,1.17,1,0.14,3,0.43,-,-,-,-,-,-,-,-
Yamagata,54,1.13,1,,33,1.1,98,3.27,324,10.8,50,1.67,3,0.1,1,0.03,27,0.9,-,-,8,0.27,13,0.43,-,-,1,0.13,1,0.1,1,0.1,3,0.3,2,0.2
Fukushima,62,0.82,8,,15,0.33,111,2.47,200,4.44,99,2.2,3,0.07,2,0.04,26,0.58,-,-,1,0.02,28,0.62,-,-,13,1.08,-,-,-,-,6,0.86,1,0.14
Ibaraki,11,0.09,6,,39,0.52,193,2.57,575,7.67,80,1.07,12,0.16,6,0.08,31,0.41,1,0.01,5,0.07,20,0.27,1,0.06,29,1.71,1,0.08,-,-,5,0.38,-,-
Tochigi,21,0.28,5,,8,0.17,92,1.92,172,3.58,50,1.04,16,0.33,2,0.04,55,1.15,1,0.02,2,0.04,16,0.33,-,-,8,0.67,1,0.14,-,-,2,0.29,2,0.29
Gunma,24,0.24,-,,22,0.37,136,2.27,381,6.35,53,0.88,9,0.15,8,0.13,30,0.5,-,-,3,0.05,18,0.3,-,-,21,1.5,2,0.25,-,-,4,0.5,-,-
Saitama,99,0.4,14,,139,0.89,549,3.5,1054,6.71,237,1.51,155,0.99,20,0.13,133,0.85,2,0.01,17,0.11,57,0.36,2,0.05,38,0.9,-,-,-,-,8,0.8,-,-
Chiba,78,0.37,10,,89,0.67,392,2.97,895,6.78,180,1.36,36,0.27,16,0.12,91,0.69,2,0.02,16,0.12,28,0.21,-,-,22,0.65,-,-,1,0.11,4,0.44,-,-
Tokyo,148,0.36,23,,224,0.86,738,2.83,1810,6.93,304,1.16,123,0.47,36,0.14,248,0.95,-,-,30,0.11,64,0.25,1,0.03,19,0.5,-,-,-,-,7,0.28,-,-
Kanagawa,135,0.41,11,,82,0.4,412,1.99,1281,6.19,320,1.55,73,0.35,22,0.11,189,0.91,2,0.01,26,0.13,66,0.32,1,0.02,45,1.02,1,0.1,-,-,4,0.4,-,-
Niigata,50,0.52,4,,50,0.82,237,3.89,669,10.97,103,1.69,49,0.8,29,0.48,46,0.75,2,0.03,4,0.07,4,0.07,1,0.1,11,1.1,-,-,1,0.08,5,0.38,5,0.38
Toyama,86,1.79,1,,27,0.93,105,3.62,228,7.86,60,2.07,43,1.48,26,0.9,15,0.52,-,-,20,0.69,2,0.07,-,-,2,0.33,-,-,1,0.2,4,0.8,-,-
Ishikawa,26,0.54,10,,21,0.72,73,2.52,156,5.38,49,1.69,19,0.66,1,0.03,21,0.72,-,-,5,0.17,7,0.24,-,-,-,-,-,-,-,-,7,1.4,-,-
Fukui,63,1.97,2,,19,0.86,88,4,186,8.45,46,2.09,14,0.64,-,-,25,1.14,-,-,2,0.09,28,1.27,-,-,-,-,-,-,-,-,-,-,-,-
Yamanashi,17,0.43,1,,2,0.08,54,2.25,165,6.88,24,1,24,1,-,-,14,0.58,1,0.04,-,-,4,0.17,-,-,-,-,-,-,-,-,2,0.2,1,0.1
Nagano,96,1.1,1,,7,0.13,179,3.31,593,10.98,107,1.98,3,0.06,4,0.07,26,0.48,1,0.02,4,0.07,7,0.13,1,0.09,7,0.64,-,-,-,-,11,1,-,-
Gifu,127,1.46,1,,34,0.64,68,1.28,229,4.32,33,0.62,18,0.34,-,-,23,0.43,-,-,2,0.04,15,0.28,-,-,3,0.27,-,-,-,-,4,0.8,-,-
Shizuoka,75,0.54,15,,94,1.06,138,1.55,574,6.45,120,1.35,28,0.31,2,0.02,58,0.65,2,0.02,8,0.09,25,0.28,-,-,5,0.23,-,-,1,0.1,7,0.7,1,0.1
Aichi,84,0.43,15,,113,0.62,284,1.57,1255,6.93,199,1.1,47,0.26,5,0.03,132,0.73,1,0.01,10,0.06,73,0.4,-,-,8,0.24,1,0.08,1,0.08,11,0.85,-,-
Mie,50,0.69,4,,43,0.96,56,1.24,343,7.62,40,0.89,78,1.73,-,-,43,0.96,1,0.02,1,0.02,13,0.29,-,-,1,0.08,-,-,-,-,2,0.22,-,-
Shiga,28,0.53,2,,40,1.25,48,1.5,187,5.84,55,1.72,19,0.59,-,-,24,0.75,-,-,16,0.5,6,0.19,-,-,9,1.13,-,-,-,-,1,0.14,-,-
Kyoto,52,0.43,5,,19,0.26,151,2.07,514,7.04,79,1.08,38,0.52,1,0.01,31,0.42,-,-,9,0.12,18,0.25,-,-,11,0.65,-,-,-,-,-,-,2,0.29
Osaka,207,0.67,31,,99,0.5,505,2.54,1403,7.05,245,1.23,141,0.71,4,0.02,125,0.63,4,0.02,82,0.41,44,0.22,1,0.02,19,0.37,1,0.06,-,-,5,0.29,-,-
Hyogo,92,0.46,10,,86,0.67,186,1.44,1042,8.08,203,1.57,53,0.41,7,0.05,72,0.56,1,0.01,22,0.17,31,0.24,-,-,36,1.03,-,-,-,-,4,0.36,-,-
Nara,27,0.49,3,,15,0.43,37,1.06,184,5.26,39,1.11,32,0.91,-,-,12,0.34,-,-,4,0.11,6,0.17,-,-,3,0.33,-,-,-,-,-,-,-,-
Wakayama,18,0.36,-,,18,0.58,12,0.39,146,4.71,55,1.77,4,0.13,-,-,23,0.74,-,-,-,-,2,0.06,-,-,-,-,-,-,-,-,9,0.82,-,-
Tottori,15,0.52,1,,5,0.26,73,3.84,164,8.63,38,2,28,1.47,-,-,14,0.74,-,-,1,0.05,2,0.11,-,-,2,0.67,-,-,-,-,2,0.4,-,-
Shimane,23,0.61,6,,18,0.78,29,1.26,207,9,30,1.3,43,1.87,-,-,20,0.87,1,0.04,4,0.17,2,0.09,-,-,-,-,-,-,1,0.13,1,0.13,-,-
Okayama,29,0.35,-,,29,0.54,59,1.09,455,8.43,76,1.41,53,0.98,3,0.06,21,0.39,-,-,16,0.3,22,0.41,-,-,3,0.25,-,-,-,-,-,-,-,-
Hiroshima,28,0.24,14,,88,1.22,119,1.65,561,7.79,91,1.26,101,1.4,1,0.01,45,0.63,-,-,13,0.18,26,0.36,-,-,28,1.47,-,-,1,0.05,4,0.19,-,-
Yamaguchi,34,0.5,1,,20,0.43,144,3.06,292,6.21,141,3,52,1.11,1,0.02,43,0.91,-,-,23,0.49,5,0.11,-,-,2,0.22,-,-,-,-,2,0.22,-,-
Tokushima,2,0.06,2,,16,0.7,41,1.78,160,6.96,29,1.26,-,-,-,-,21,0.91,1,0.04,12,0.52,2,0.09,-,-,-,-,-,-,-,-,-,-,-,-
Kagawa,5,0.1,1,,12,0.4,75,2.5,162,5.4,36,1.2,5,0.17,-,-,14,0.47,-,-,3,0.1,7,0.23,1,0.33,5,1.67,-,-,1,0.2,-,-,-,-
Ehime,62,1.02,5,,11,0.3,67,1.81,391,10.57,113,3.05,10,0.27,2,0.05,42,1.14,1,0.03,3,0.08,7,0.19,-,-,20,2.5,-,-,-,-,1,0.17,-,-
Kochi,-,-,-,,1,0.03,14,0.47,212,7.07,65,2.17,2,0.07,-,-,14,0.47,-,-,5,0.17,7,0.23,-,-,-,-,-,-,1,0.13,2,0.25,-,-
Fukuoka,286,1.44,13,,165,1.38,371,3.09,713,5.94,313,2.61,375,3.13,1,0.01,125,1.04,1,0.01,41,0.34,75,0.63,1,0.04,21,0.81,-,-,-,-,-,-,-,-
Saga,33,0.85,-,,56,2.43,39,1.7,58,2.52,22,0.96,76,3.3,-,-,27,1.17,-,-,21,0.91,19,0.83,-,-,1,0.25,-,-,-,-,2,0.33,-,-
Nagasaki,63,0.9,-,,12,0.27,48,1.09,198,4.5,55,1.25,54,1.23,3,0.07,27,0.61,1,0.02,8,0.18,28,0.64,12,1.5,9,1.13,-,-,1,0.08,6,0.5,1,0.08
Kumamoto,132,1.65,1,,22,0.44,103,2.06,404,8.08,136,2.72,130,2.6,1,0.02,60,1.2,-,-,45,0.9,14,0.28,-,-,13,1.44,-,-,-,-,1,0.07,1,0.07
