"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30th week, 2013",,,,,,"Data collected as of July 31, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,139,0.03,831,,1811,0.58,3547,1.13,10492,3.34,2304,0.73,27773,8.83,151,0.05,1963,0.62,43,0.01,10618,3.38,882,0.28,9,0.01,468,0.69,14,0.03,36,0.08,196,0.42,22,0.05
Hokkaido,1,0,117,,140,0.99,254,1.79,272,1.92,111,0.78,88,0.62,-,-,77,0.54,-,-,78,0.55,9,0.06,-,-,10,0.34,-,-,1,0.04,9,0.39,-,-
Aomori,-,-,10,,3,0.07,34,0.83,43,1.05,22,0.54,127,3.1,6,0.15,24,0.59,-,-,91,2.22,17,0.41,-,-,4,0.36,-,-,-,-,6,1,1,0.17
Iwate,-,-,1,,13,0.33,51,1.31,105,2.69,34,0.87,87,2.23,2,0.05,23,0.59,-,-,67,1.72,28,0.72,-,-,2,0.14,-,-,1,0.05,19,1,-,-
Miyagi,-,-,20,,17,0.29,101,1.74,152,2.62,47,0.81,202,3.48,19,0.33,35,0.6,2,0.03,192,3.31,39,0.67,-,-,4,0.33,-,-,-,-,16,1.33,-,-
Akita,-,-,-,,13,0.38,25,0.74,78,2.29,18,0.53,53,1.56,-,-,15,0.44,-,-,18,0.53,23,0.68,-,-,2,0.29,-,-,-,-,5,0.63,-,-
Yamagata,-,-,4,,6,0.2,41,1.37,89,2.97,27,0.9,138,4.6,-,-,22,0.73,2,0.07,190,6.33,17,0.57,-,-,-,-,-,-,-,-,3,0.3,1,0.1
Fukushima,1,0.01,20,,18,0.4,45,1,72,1.6,29,0.64,158,3.51,1,0.02,29,0.64,-,-,88,1.96,34,0.76,1,0.08,6,0.5,-,-,-,-,3,0.43,1,0.14
Ibaraki,2,0.02,5,,43,0.57,86,1.15,436,5.81,39,0.52,647,8.63,2,0.03,35,0.47,-,-,190,2.53,12,0.16,-,-,18,1.06,-,-,3,0.23,3,0.23,-,-
Tochigi,-,-,1,,20,0.42,30,0.63,58,1.21,30,0.63,497,10.35,-,-,39,0.81,-,-,132,2.75,13,0.27,-,-,8,0.67,-,-,-,-,2,0.29,3,0.43
Gunma,-,-,1,,15,0.25,72,1.2,211,3.52,29,0.48,357,5.95,3,0.05,35,0.58,-,-,295,4.92,18,0.3,-,-,16,1.14,1,0.13,1,0.13,2,0.25,-,-
Saitama,-,-,24,,119,0.75,198,1.25,529,3.33,150,0.94,2929,18.42,8,0.05,116,0.73,-,-,594,3.74,40,0.25,-,-,23,0.55,-,-,2,0.2,12,1.2,1,0.1
Chiba,2,0.01,42,,79,0.59,219,1.65,366,2.75,87,0.65,1446,10.87,6,0.05,72,0.54,4,0.03,376,2.83,41,0.31,-,-,24,0.71,1,0.11,2,0.22,-,-,1,0.11
Tokyo,2,0,55,,172,0.66,352,1.34,899,3.43,161,0.61,4126,15.75,16,0.06,163,0.62,4,0.02,1208,4.61,49,0.19,-,-,21,0.54,2,0.08,7,0.28,12,0.48,-,-
Kanagawa,1,0,26,,81,0.4,154,0.75,554,2.72,167,0.82,2332,11.43,9,0.04,135,0.66,1,0,803,3.94,66,0.32,4,0.1,66,1.69,-,-,1,0.1,4,0.4,-,-
Niigata,-,-,8,,33,0.54,107,1.75,113,1.85,55,0.9,795,13.03,20,0.33,38,0.62,-,-,378,6.2,6,0.1,-,-,3,0.3,2,0.15,1,0.08,1,0.08,8,0.62
Toyama,1,0.02,8,,3,0.1,61,2.1,101,3.48,43,1.48,177,6.1,7,0.24,13,0.45,-,-,150,5.17,3,0.1,-,-,1,0.17,-,-,-,-,7,1.4,-,-
Ishikawa,-,-,4,,20,0.69,35,1.21,61,2.1,6,0.21,199,6.86,1,0.03,11,0.38,-,-,174,6,2,0.07,-,-,4,0.57,-,-,-,-,2,0.4,-,-
Fukui,1,0.03,1,,7,0.32,53,2.41,107,4.86,11,0.5,164,7.45,-,-,9,0.41,2,0.09,90,4.09,29,1.32,-,-,1,0.33,-,-,-,-,1,0.17,-,-
Yamanashi,-,-,-,,3,0.13,21,0.88,49,2.04,21,0.88,313,13.04,-,-,17,0.71,-,-,25,1.04,5,0.21,-,-,-,-,-,-,-,-,-,-,-,-
Nagano,-,-,-,,33,0.61,86,1.59,191,3.54,45,0.83,251,4.65,3,0.06,35,0.65,-,-,161,2.98,6,0.11,-,-,4,0.36,-,-,-,-,3,0.27,-,-
Gifu,3,0.03,2,,17,0.32,43,0.81,127,2.4,34,0.64,216,4.08,4,0.08,26,0.49,-,-,279,5.26,19,0.36,-,-,7,0.64,-,-,-,-,6,1.2,-,-
Shizuoka,-,-,8,,45,0.51,96,1.08,352,3.96,33,0.37,960,10.79,-,-,53,0.6,1,0.01,133,1.49,12,0.13,-,-,5,0.23,-,-,2,0.2,7,0.7,1,0.1
Aichi,2,0.01,26,,70,0.39,120,0.66,583,3.22,144,0.8,1926,10.64,11,0.06,134,0.74,3,0.02,566,3.13,60,0.33,1,0.03,13,0.38,1,0.08,1,0.08,9,0.69,-,-
Mie,-,-,7,,19,0.42,16,0.36,202,4.49,28,0.62,566,12.58,1,0.02,32,0.71,-,-,175,3.89,6,0.13,-,-,3,0.25,1,0.11,-,-,1,0.11,-,-
Shiga,-,-,-,,10,0.31,28,0.88,72,2.25,31,0.97,214,6.69,-,-,16,0.5,-,-,124,3.88,4,0.13,-,-,10,1.25,-,-,-,-,1,0.14,-,-
Kyoto,3,0.03,-,,28,0.39,60,0.85,140,1.97,38,0.54,293,4.13,-,-,25,0.35,1,0.01,226,3.18,11,0.15,-,-,10,0.56,-,-,-,-,-,-,-,-
Osaka,7,0.02,59,,113,0.57,259,1.3,751,3.77,140,0.7,1562,7.85,9,0.05,112,0.56,2,0.01,907,4.56,24,0.12,1,0.02,29,0.56,1,0.06,1,0.06,6,0.35,-,-
Hyogo,2,0.01,16,,65,0.5,79,0.61,492,3.81,93,0.72,1250,9.69,5,0.04,69,0.53,9,0.07,659,5.11,22,0.17,-,-,32,0.91,-,-,-,-,3,0.27,-,-
Nara,-,-,5,,10,0.29,14,0.41,70,2.06,12,0.35,187,5.5,-,-,6,0.18,-,-,70,2.06,-,-,-,-,6,0.67,1,0.17,-,-,1,0.17,-,-
Wakayama,-,-,4,,11,0.35,6,0.19,48,1.55,47,1.52,147,4.74,1,0.03,18,0.58,1,0.03,125,4.03,3,0.1,-,-,2,0.5,-,-,-,-,5,0.45,-,-
Tottori,-,-,-,,13,0.68,39,2.05,55,2.89,20,1.05,160,8.42,-,-,12,0.63,-,-,30,1.58,2,0.11,-,-,-,-,-,-,1,0.2,2,0.4,-,-
Shimane,-,-,4,,7,0.3,15,0.65,131,5.7,22,0.96,147,6.39,1,0.04,21,0.91,-,-,51,2.22,1,0.04,-,-,-,-,1,0.13,4,0.5,1,0.13,-,-
Okayama,-,-,-,,9,0.17,34,0.63,205,3.8,21,0.39,466,8.63,2,0.04,20,0.37,-,-,244,4.52,8,0.15,-,-,1,0.08,1,0.2,-,-,7,1.4,1,0.2
Hiroshima,-,-,36,,84,1.17,108,1.5,294,4.08,44,0.61,703,9.76,3,0.04,37,0.51,2,0.03,86,1.19,27,0.38,-,-,15,0.79,1,0.05,1,0.05,3,0.14,4,0.19
Yamaguchi,-,-,40,,25,0.53,88,1.87,171,3.64,25,0.53,428,9.11,4,0.09,39,0.83,-,-,157,3.34,8,0.17,-,-,2,0.22,-,-,-,-,1,0.11,-,-
