"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"34th week, 2013",,,,,,"Data collected as of August 28, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,65,0.01,1281,,1451,0.47,1988,0.64,9184,2.96,1689,0.54,13169,4.24,134,0.04,1912,0.62,38,0.01,4598,1.48,677,0.22,17,0.03,495,0.73,14,0.03,43,0.09,181,0.39,12,0.03
Hokkaido,-,-,67,,53,0.37,157,1.1,262,1.83,58,0.41,762,5.33,5,0.03,81,0.57,1,0.01,263,1.84,13,0.09,-,-,9,0.31,-,-,-,-,4,0.17,-,-
Aomori,-,-,4,,4,0.1,18,0.44,39,0.95,15,0.37,237,5.78,-,-,22,0.54,-,-,184,4.49,16,0.39,-,-,5,0.45,-,-,-,-,4,0.67,-,-
Iwate,-,-,-,,5,0.13,21,0.54,88,2.26,16,0.41,245,6.28,5,0.13,29,0.74,-,-,110,2.82,11,0.28,-,-,3,0.21,-,-,-,-,10,0.53,-,-
Miyagi,-,-,23,,9,0.16,39,0.67,106,1.83,33,0.57,337,5.81,9,0.16,38,0.66,2,0.03,157,2.71,14,0.24,-,-,1,0.08,-,-,1,0.08,19,1.58,-,-
Akita,-,-,6,,5,0.15,11,0.32,68,2,9,0.26,147,4.32,1,0.03,12,0.35,-,-,84,2.47,12,0.35,-,-,-,-,-,-,-,-,3,0.38,-,-
Yamagata,-,-,7,,4,0.14,18,0.62,66,2.28,11,0.38,157,5.41,2,0.07,25,0.86,-,-,110,3.79,19,0.66,-,-,-,-,1,0.1,-,-,6,0.6,-,-
Fukushima,-,-,21,,10,0.22,23,0.51,66,1.47,19,0.42,270,6,1,0.02,22,0.49,1,0.02,115,2.56,34,0.76,-,-,14,1.17,-,-,-,-,8,1.14,1,0.14
Ibaraki,1,0.01,14,,27,0.36,57,0.76,367,4.89,23,0.31,249,3.32,-,-,42,0.56,-,-,64,0.85,7,0.09,1,0.06,22,1.29,-,-,-,-,6,0.46,-,-
Tochigi,-,-,7,,12,0.25,17,0.35,42,0.88,15,0.31,193,4.02,1,0.02,29,0.6,-,-,46,0.96,10,0.21,-,-,6,0.5,-,-,-,-,5,0.71,2,0.29
Gunma,-,-,2,,12,0.2,55,0.92,178,2.97,18,0.3,261,4.35,-,-,37,0.62,1,0.02,114,1.9,9,0.15,-,-,19,1.36,-,-,1,0.13,10,1.25,-,-
Saitama,-,-,41,,88,0.57,105,0.68,482,3.11,75,0.48,835,5.39,1,0.01,126,0.81,1,0.01,208,1.34,39,0.25,1,0.03,28,0.7,-,-,2,0.2,6,0.6,2,0.2
Chiba,-,-,47,,49,0.37,98,0.75,257,1.96,53,0.4,682,5.21,14,0.11,78,0.6,3,0.02,155,1.18,35,0.27,-,-,30,0.91,2,0.22,-,-,2,0.22,1,0.11
Tokyo,3,0.01,78,,88,0.36,146,0.6,602,2.49,124,0.51,1122,4.64,15,0.06,137,0.57,-,-,303,1.25,47,0.19,1,0.03,19,0.5,1,0.04,3,0.12,11,0.44,-,-
