"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48th week, 2013",,,,,,"Data collected as of December 4, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,2153,0.44,4266,,1803,0.57,5982,1.9,32550,10.33,5161,1.64,1856,0.59,223,0.07,1752,0.56,30,0.01,179,0.06,882,0.28,8,0.01,396,0.58,13,0.03,14,0.03,188,0.4,14,0.03,23,0.05
Hokkaido,238,1.05,299,,119,0.83,492,3.44,805,5.63,258,1.8,87,0.61,2,0.01,58,0.41,-,-,11,0.08,16,0.11,-,-,14,0.48,-,-,-,-,12,0.52,-,-,1,0.04
Aomori,1,0.02,70,,18,0.44,31,0.76,104,2.54,89,2.17,10,0.24,-,-,11,0.27,-,-,1,0.02,16,0.39,-,-,5,0.45,-,-,-,-,5,0.83,-,-,-,-
Iwate,87,1.36,65,,9,0.23,71,1.78,261,6.53,112,2.8,3,0.08,3,0.08,17,0.43,-,-,2,0.05,17,0.43,-,-,11,0.79,-,-,-,-,26,1.37,-,-,-,-
Miyagi,33,0.35,57,,9,0.16,181,3.12,358,6.17,87,1.5,52,0.9,22,0.38,38,0.66,-,-,3,0.05,30,0.52,-,-,5,0.42,-,-,-,-,22,1.83,-,-,-,-
Akita,24,0.44,23,,6,0.17,49,1.4,135,3.86,28,0.8,8,0.23,-,-,12,0.34,-,-,15,0.43,4,0.11,-,-,1,0.14,-,-,-,-,4,0.5,-,-,1,0.13
Yamagata,4,0.08,66,,36,1.2,165,5.5,218,7.27,34,1.13,11,0.37,1,0.03,28,0.93,-,-,1,0.03,8,0.27,-,-,-,-,2,0.2,1,0.1,5,0.5,-,-,-,-
Fukushima,21,0.27,118,,12,0.26,74,1.61,241,5.24,68,1.48,32,0.7,3,0.07,22,0.48,1,0.02,1,0.02,46,1,-,-,11,0.92,-,-,-,-,6,0.86,-,-,4,0.57
Ibaraki,85,0.71,73,,24,0.32,117,1.56,843,11.24,83,1.11,14,0.19,-,-,23,0.31,1,0.01,3,0.04,4,0.05,-,-,18,1.06,-,-,-,-,3,0.23,-,-,-,-
