"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2nd week, 2014",,,,,,"Data collected as of January 15, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,27100,5.51,2637,,1642,0.52,5082,1.62,34445,10.96,6824,2.17,296,0.09,409,0.13,1454,0.46,34,0.01,60,0.02,986,0.31,9,0.01,576,0.85,9,0.02,17,0.04,127,0.27,12,0.03,38,0.08
Hokkaido,644,2.84,184,,68,0.48,348,2.43,393,2.75,390,2.73,8,0.06,-,-,48,0.34,-,-,-,-,13,0.09,-,-,14,0.48,1,0.04,-,-,9,0.39,-,-,5,0.22
Aomori,173,2.7,17,,22,0.54,40,0.98,331,8.07,109,2.66,3,0.07,10,0.24,16,0.39,-,-,-,-,13,0.32,-,-,13,1.18,-,-,-,-,2,0.33,-,-,1,0.17
Iwate,142,2.22,16,,8,0.2,47,1.18,367,9.18,148,3.7,-,-,9,0.23,20,0.5,-,-,1,0.03,25,0.63,-,-,5,0.36,-,-,1,0.05,10,0.53,-,-,1,0.05
Miyagi,243,2.61,32,,15,0.26,121,2.09,770,13.28,102,1.76,4,0.07,50,0.86,33,0.57,-,-,-,-,22,0.38,-,-,3,0.25,-,-,-,-,10,0.83,-,-,1,0.08
Akita,168,3.05,8,,10,0.29,31,0.89,313,8.94,40,1.14,1,0.03,-,-,11,0.31,-,-,-,-,14,0.4,-,-,-,-,-,-,-,-,2,0.25,1,0.13,1,0.13
Yamagata,65,1.35,17,,25,0.83,92,3.07,409,13.63,80,2.67,-,-,1,0.03,13,0.43,-,-,-,-,10,0.33,-,-,2,0.25,2,0.2,-,-,2,0.2,2,0.2,1,0.1
Fukushima,291,3.83,73,,15,0.33,43,0.96,352,7.82,86,1.91,3,0.07,6,0.13,22,0.49,-,-,-,-,54,1.2,-,-,12,1,1,0.14,-,-,4,0.57,-,-,-,-
Ibaraki,639,5.33,47,,21,0.28,122,1.63,1037,13.83,130,1.73,3,0.04,2,0.03,19,0.25,-,-,1,0.01,5,0.07,1,0.06,25,1.47,-,-,-,-,-,-,-,-,-,-
Tochigi,325,4.28,27,,12,0.25,48,1,503,10.48,107,2.23,-,-,2,0.04,22,0.46,-,-,-,-,16,0.33,-,-,9,0.75,-,-,-,-,2,0.29,1,0.14,-,-
Gunma,389,3.97,26,,21,0.35,129,2.15,727,12.12,116,1.93,1,0.02,1,0.02,20,0.33,1,0.02,1,0.02,5,0.08,-,-,14,1,1,0.13,-,-,2,0.25,-,-,-,-
Saitama,1523,6.29,84,,70,0.45,317,2.02,2118,13.49,336,2.14,4,0.03,17,0.11,79,0.5,3,0.02,3,0.02,75,0.48,1,0.02,25,0.61,-,-,2,0.2,4,0.4,-,-,2,0.2
Chiba,1192,5.7,52,,51,0.39,261,1.99,1695,12.94,274,2.09,2,0.02,10,0.08,59,0.45,2,0.02,-,-,70,0.53,-,-,18,0.62,1,0.11,-,-,3,0.33,-,-,2,0.22
Tokyo,2098,5.07,123,,111,0.43,479,1.84,3142,12.04,439,1.68,21,0.08,94,0.36,125,0.48,5,0.02,4,0.02,61,0.23,-,-,26,0.7,1,0.04,4,0.17,5,0.21,-,-,2,0.08
Kanagawa,1654,5.1,68,,74,0.36,198,0.98,2402,11.83,448,2.21,10,0.05,62,0.31,103,0.51,2,0.01,2,0.01,74,0.36,-,-,57,1.33,-,-,-,-,1,0.1,-,-,-,-
Niigata,180,1.88,69,,54,0.89,206,3.38,676,11.08,269,4.41,4,0.07,76,1.25,41,0.67,2,0.03,-,-,4,0.07,1,0.1,3,0.3,-,-,-,-,3,0.25,1,0.08,-,-
Toyama,243,5.06,18,,46,1.59,71,2.45,409,14.1,106,3.66,1,0.03,23,0.79,10,0.34,-,-,9,0.31,-,-,1,0.14,15,2.14,-,-,-,-,7,1.4,1,0.2,-,-
Ishikawa,185,3.85,17,,30,1.03,28,0.97,214,7.38,65,2.24,3,0.1,-,-,16,0.55,-,-,-,-,7,0.24,-,-,4,0.57,2,0.4,-,-,3,0.6,1,0.2,-,-
Fukui,133,4.16,16,,29,1.32,46,2.09,303,13.77,34,1.55,6,0.27,2,0.09,12,0.55,-,-,-,-,54,2.45,-,-,3,1,-,-,-,-,1,0.17,-,-,-,-
Yamanashi,256,6.4,8,,3,0.13,28,1.17,312,13,21,0.88,-,-,1,0.04,6,0.25,-,-,-,-,1,0.04,-,-,4,0.44,-,-,-,-,1,0.1,-,-,-,-
Nagano,431,4.95,53,,8,0.15,76,1.41,687,12.72,108,2,2,0.04,3,0.06,15,0.28,-,-,-,-,2,0.04,-,-,14,1.27,-,-,-,-,4,0.36,-,-,-,-
Gifu,775,8.91,65,,24,0.45,32,0.6,380,7.17,75,1.42,6,0.11,2,0.04,20,0.38,-,-,-,-,14,0.26,-,-,1,0.09,-,-,1,0.2,1,0.2,-,-,-,-
Shizuoka,1011,7.27,85,,35,0.39,99,1.11,1203,13.52,175,1.97,10,0.11,1,0.01,21,0.24,-,-,1,0.01,15,0.17,-,-,19,0.86,-,-,-,-,3,0.3,1,0.1,-,-
Aichi,1311,6.72,148,,92,0.51,186,1.03,1863,10.29,304,1.68,6,0.03,2,0.01,79,0.44,-,-,3,0.02,94,0.52,-,-,15,0.44,-,-,-,-,5,0.36,-,-,1,0.07
Mie,427,5.93,62,,20,0.44,41,0.91,466,10.36,119,2.64,2,0.04,1,0.02,18,0.4,-,-,1,0.02,11,0.24,-,-,6,0.5,-,-,-,-,2,0.22,-,-,-,-
Shiga,346,6.53,27,,4,0.13,18,0.56,298,9.31,61,1.91,8,0.25,-,-,19,0.59,-,-,1,0.03,2,0.06,-,-,3,0.38,-,-,-,-,3,0.43,-,-,2,0.29
Kyoto,579,4.75,26,,36,0.49,63,0.86,606,8.3,117,1.6,11,0.15,2,0.03,14,0.19,-,-,1,0.01,5,0.07,1,0.06,26,1.44,-,-,4,0.57,1,0.14,-,-,-,-
Osaka,1854,6.02,223,,88,0.44,396,1.99,1861,9.35,460,2.31,7,0.04,7,0.04,83,0.42,4,0.02,5,0.03,10,0.05,-,-,35,0.67,-,-,-,-,2,0.12,-,-,2,0.12
Hyogo,949,4.79,128,,48,0.38,112,0.88,1500,11.72,327,2.55,5,0.04,10,0.08,54,0.42,-,-,2,0.02,19,0.15,1,0.03,17,0.49,-,-,-,-,2,0.17,-,-,-,-
Nara,254,4.7,26,,8,0.24,21,0.62,228,6.71,50,1.47,1,0.03,1,0.03,6,0.18,-,-,-,-,-,-,-,-,6,0.67,-,-,-,-,-,-,-,-,-,-
Wakayama,405,8.1,25,,6,0.19,14,0.45,135,4.35,75,2.42,3,0.1,1,0.03,11,0.35,-,-,-,-,1,0.03,-,-,-,-,-,-,-,-,4,0.36,1,0.09,1,0.09
Tottori,73,2.52,10,,11,0.58,43,2.26,194,10.21,27,1.42,1,0.05,-,-,7,0.37,1,0.05,-,-,-,-,-,-,2,0.67,-,-,1,0.2,-,-,-,-,1,0.2
