"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22th week, 2014",,,,,,"Data collected as of June 4, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1709,0.35,273,,2362,0.75,9252,2.94,25502,8.09,4241,1.35,1047,0.33,908,0.29,2172,0.69,67,0.02,1137,0.36,1024,0.32,4,0.01,405,0.59,10,0.02,14,0.03,131,0.28,4,0.01,224,0.47
Hokkaido,37,0.16,41,,172,1.2,518,3.62,977,6.83,204,1.43,16,0.11,5,0.03,39,0.27,2,0.01,1,0.01,31,0.22,-,-,3,0.11,1,0.04,1,0.04,5,0.22,-,-,14,0.61
Aomori,9,0.14,2,,7,0.17,47,1.12,246,5.86,73,1.74,2,0.05,19,0.45,27,0.64,-,-,10,0.24,5,0.12,-,-,2,0.18,-,-,-,-,10,1.67,-,-,19,3.17
Iwate,106,1.66,2,,4,0.1,102,2.55,374,9.35,46,1.15,-,-,29,0.73,25,0.63,-,-,1,0.03,17,0.43,-,-,7,0.5,-,-,-,-,9,0.47,-,-,4,0.21
Miyagi,35,0.38,7,,20,0.34,155,2.67,555,9.57,51,0.88,2,0.03,80,1.38,55,0.95,-,-,4,0.07,22,0.38,-,-,9,0.75,-,-,-,-,12,1,-,-,-,-
Akita,34,0.62,-,,13,0.37,42,1.2,183,5.23,32,0.91,3,0.09,-,-,11,0.31,-,-,2,0.06,6,0.17,-,-,2,0.29,-,-,-,-,4,0.5,-,-,15,1.88
Yamagata,81,1.69,2,,13,0.43,154,5.13,304,10.13,25,0.83,1,0.03,9,0.3,25,0.83,1,0.03,-,-,8,0.27,-,-,-,-,-,-,-,-,4,0.4,-,-,5,0.5
Fukushima,32,0.42,14,,25,0.56,124,2.76,236,5.24,58,1.29,4,0.09,21,0.47,37,0.82,-,-,2,0.04,44,0.98,-,-,11,0.92,-,-,-,-,3,0.43,-,-,4,0.57
Ibaraki,7,0.06,6,,52,0.69,222,2.96,454,6.05,89,1.19,9,0.12,23,0.31,29,0.39,1,0.01,-,-,6,0.08,-,-,17,1,1,0.08,-,-,2,0.15,-,-,2,0.15
Tochigi,9,0.12,1,,29,0.6,88,1.83,210,4.38,76,1.58,4,0.08,11,0.23,29,0.6,-,-,3,0.06,11,0.23,-,-,3,0.25,-,-,-,-,2,0.29,-,-,4,0.57
Gunma,24,0.25,-,,26,0.43,199,3.32,383,6.38,77,1.28,3,0.05,3,0.05,39,0.65,-,-,9,0.15,12,0.2,-,-,10,0.71,-,-,-,-,3,0.38,-,-,7,0.88
Saitama,14,0.06,3,,111,0.7,606,3.84,1298,8.22,166,1.05,37,0.23,44,0.28,118,0.75,3,0.02,31,0.2,69,0.44,2,0.05,12,0.29,-,-,-,-,2,0.2,-,-,2,0.2
Chiba,29,0.14,10,,59,0.45,324,2.45,855,6.48,185,1.4,14,0.11,35,0.27,103,0.78,7,0.05,11,0.08,61,0.46,-,-,20,0.59,-,-,1,0.11,1,0.11,-,-,2,0.22
Tokyo,37,0.09,21,,188,0.71,961,3.65,1801,6.85,307,1.17,59,0.22,103,0.39,221,0.84,3,0.01,54,0.21,61,0.23,-,-,26,0.67,-,-,1,0.04,2,0.08,-,-,5,0.2
Kanagawa,35,0.11,3,,67,0.33,483,2.39,1406,6.96,296,1.47,30,0.15,205,1.01,167,0.83,7,0.03,21,0.1,49,0.24,-,-,46,1.15,-,-,-,-,-,-,1,0.1,1,0.1
Niigata,19,0.2,39,,61,1,305,5,526,8.62,173,2.84,2,0.03,139,2.28,37,0.61,-,-,1,0.02,2,0.03,-,-,7,0.7,-,-,-,-,3,0.23,2,0.15,2,0.15
Toyama,19,0.4,1,,50,1.72,123,4.24,284,9.79,70,2.41,7,0.24,35,1.21,12,0.41,-,-,11,0.38,3,0.1,-,-,4,0.57,-,-,-,-,7,1.4,-,-,5,1
Ishikawa,11,0.23,2,,55,1.9,122,4.21,221,7.62,46,1.59,10,0.34,16,0.55,22,0.76,2,0.07,6,0.21,13,0.45,-,-,2,0.29,-,-,-,-,3,0.6,-,-,2,0.4
Fukui,5,0.16,1,,49,2.23,102,4.64,350,15.91,52,2.36,3,0.14,5,0.23,17,0.77,-,-,20,0.91,11,0.5,-,-,-,-,-,-,-,-,1,0.17,-,-,-,-
Yamanashi,14,0.35,-,,18,0.75,66,2.75,163,6.79,19,0.79,1,0.04,-,-,15,0.63,-,-,8,0.33,3,0.13,-,-,3,0.33,-,-,-,-,1,0.1,-,-,3,0.3
Nagano,69,0.79,1,,12,0.22,155,2.87,698,12.93,117,2.17,7,0.13,6,0.11,29,0.54,-,-,7,0.13,3,0.06,-,-,14,1.27,-,-,-,-,5,0.45,-,-,6,0.55
Gifu,41,0.47,3,,32,0.6,56,1.06,257,4.85,44,0.83,26,0.49,5,0.09,36,0.68,-,-,4,0.08,9,0.17,-,-,7,0.64,-,-,-,-,1,0.2,-,-,2,0.4
Shizuoka,33,0.24,4,,71,0.8,236,2.65,590,6.63,130,1.46,5,0.06,43,0.48,52,0.58,2,0.02,1,0.01,25,0.28,1,0.05,16,0.73,-,-,-,-,3,0.3,-,-,1,0.1
Aichi,58,0.3,4,,112,0.62,524,2.9,1112,6.14,144,0.8,22,0.12,7,0.04,111,0.61,1,0.01,12,0.07,70,0.39,-,-,19,0.56,-,-,-,-,10,0.71,-,-,10,0.71
Mie,8,0.11,2,,36,0.8,103,2.29,476,10.58,60,1.33,14,0.31,2,0.04,38,0.84,-,-,4,0.09,7,0.16,-,-,2,0.17,-,-,-,-,-,-,-,-,-,-
Shiga,11,0.21,1,,37,1.16,78,2.44,331,10.34,21,0.66,5,0.16,1,0.03,19,0.59,-,-,12,0.38,6,0.19,-,-,2,0.25,-,-,1,0.14,1,0.14,-,-,1,0.14
Kyoto,27,0.22,4,,41,0.55,193,2.57,699,9.32,44,0.59,5,0.07,4,0.05,35,0.47,-,-,28,0.37,11,0.15,-,-,9,0.5,-,-,-,-,-,-,-,-,-,-
Osaka,69,0.22,24,,222,1.12,785,3.94,1954,9.82,271,1.36,36,0.18,9,0.05,132,0.66,4,0.02,111,0.56,41,0.21,-,-,12,0.23,-,-,1,0.06,1,0.06,-,-,5,0.29
Hyogo,41,0.21,12,,133,1.03,257,1.99,1466,11.36,127,0.98,25,0.19,16,0.12,76,0.59,6,0.05,44,0.34,29,0.22,1,0.03,41,1.17,3,0.25,-,-,2,0.17,-,-,2,0.17
Nara,15,0.28,2,,26,0.76,77,2.26,345,10.15,43,1.26,5,0.15,4,0.12,12,0.35,-,-,7,0.21,4,0.12,-,-,4,0.44,-,-,-,-,-,-,-,-,3,0.5
Wakayama,11,0.22,3,,3,0.1,48,1.55,190,6.13,34,1.1,2,0.06,-,-,18,0.58,-,-,18,0.58,2,0.06,-,-,3,0.75,-,-,-,-,6,0.55,-,-,8,0.73
Tottori,9,0.31,1,,19,1,96,5.05,216,11.37,26,1.37,-,-,-,-,8,0.42,4,0.21,6,0.32,3,0.16,-,-,1,0.33,-,-,1,0.2,-,-,-,-,5,1
Shimane,19,0.5,-,,13,0.57,100,4.35,194,8.43,21,0.91,4,0.17,-,-,15,0.65,-,-,15,0.65,3,0.13,-,-,1,0.33,1,0.13,2,0.25,3,0.38,-,-,4,0.5
Okayama,30,0.36,2,,38,0.7,80,1.48,574,10.63,36,0.67,4,0.07,1,0.02,26,0.48,2,0.04,6,0.11,6,0.11,-,-,2,0.17,-,-,2,0.4,1,0.2,1,0.2,3,0.6
Hiroshima,64,0.56,2,,84,1.18,208,2.93,628,8.85,98,1.38,8,0.11,-,-,36,0.51,2,0.03,26,0.37,50,0.7,-,-,8,0.42,-,-,1,0.05,1,0.05,-,-,9,0.43
