"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"34th week, 2014",,,,,,"Data collected as of August 27, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,82,0.02,725,,1432,0.46,2419,0.78,10042,3.22,1741,0.56,2680,0.86,635,0.2,1978,0.63,50,0.02,7021,2.25,1040,0.33,16,0.02,606,0.89,11,0.02,20,0.04,104,0.22,4,0.01,1,0
Hokkaido,2,0.01,40,,82,0.57,174,1.22,244,1.71,50,0.35,131,0.92,9,0.06,55,0.38,3,0.02,338,2.36,18,0.13,1,0.04,15,0.54,1,0.04,-,-,14,0.61,1,0.04,-,-
Aomori,-,-,3,,5,0.12,28,0.67,55,1.31,12,0.29,11,0.26,37,0.88,36,0.86,-,-,155,3.69,4,0.1,-,-,4,0.36,-,-,-,-,3,0.5,-,-,-,-
Iwate,1,0.02,4,,4,0.1,30,0.75,150,3.75,14,0.35,25,0.63,18,0.45,20,0.5,-,-,197,4.93,8,0.2,-,-,2,0.14,-,-,-,-,11,0.58,-,-,-,-
Miyagi,-,-,5,,14,0.24,39,0.67,158,2.72,26,0.45,22,0.38,67,1.16,54,0.93,-,-,231,3.98,13,0.22,1,0.08,4,0.33,-,-,-,-,12,1,-,-,-,-
Akita,-,-,3,,9,0.26,17,0.49,50,1.43,11,0.31,6,0.17,-,-,12,0.34,-,-,134,3.83,5,0.14,3,0.43,2,0.29,-,-,-,-,-,-,-,-,-,-
Yamagata,-,-,1,,13,0.48,28,1.04,65,2.41,15,0.56,20,0.74,5,0.19,22,0.81,-,-,142,5.26,8,0.3,-,-,2,0.25,-,-,-,-,-,-,1,0.1,-,-
Fukushima,-,-,4,,34,0.76,31,0.69,61,1.36,21,0.47,19,0.42,11,0.24,25,0.56,-,-,230,5.11,59,1.31,-,-,10,0.83,-,-,-,-,15,2.14,-,-,-,-
Ibaraki,-,-,7,,20,0.27,43,0.57,264,3.52,18,0.24,52,0.69,5,0.07,22,0.29,-,-,236,3.15,11,0.15,-,-,13,0.76,1,0.08,-,-,-,-,-,-,-,-
Tochigi,1,0.01,1,,7,0.15,18,0.38,48,1,20,0.42,23,0.48,5,0.1,32,0.67,-,-,113,2.35,14,0.29,-,-,18,1.5,-,-,-,-,-,-,-,-,-,-
Gunma,-,-,2,,84,1.4,58,0.97,207,3.45,14,0.23,54,0.9,5,0.08,20,0.33,2,0.03,174,2.9,4,0.07,1,0.07,61,4.36,-,-,-,-,1,0.13,-,-,-,-
Saitama,2,0.01,6,,54,0.35,104,0.68,486,3.18,65,0.42,132,0.86,44,0.29,109,0.71,2,0.01,334,2.18,76,0.5,2,0.05,27,0.66,-,-,2,0.2,1,0.1,1,0.1,-,-
Chiba,3,0.01,16,,33,0.26,95,0.74,358,2.8,76,0.59,89,0.7,35,0.27,69,0.54,-,-,265,2.07,69,0.54,-,-,26,0.79,-,-,2,0.22,4,0.44,-,-,-,-
Tokyo,3,0.01,60,,93,0.38,176,0.71,714,2.88,100,0.4,211,0.85,81,0.33,163,0.66,3,0.01,508,2.05,85,0.34,-,-,28,0.72,1,0.04,1,0.04,4,0.16,-,-,-,-
Kanagawa,3,0.01,28,,70,0.35,98,0.49,558,2.8,81,0.41,145,0.73,140,0.7,144,0.72,-,-,410,2.06,54,0.27,1,0.02,54,1.32,-,-,1,0.09,4,0.36,-,-,-,-
Niigata,-,-,30,,41,0.67,51,0.84,144,2.36,57,0.93,49,0.8,60,0.98,43,0.7,-,-,442,7.25,9,0.15,1,0.1,6,0.6,-,-,2,0.15,2,0.15,1,0.08,-,-
Toyama,-,-,1,,24,0.83,24,0.83,108,3.72,12,0.41,8,0.28,7,0.24,22,0.76,-,-,25,0.86,4,0.14,-,-,11,1.57,-,-,-,-,3,0.6,-,-,-,-
Ishikawa,-,-,1,,13,0.45,21,0.72,71,2.45,14,0.48,139,4.79,9,0.31,22,0.76,-,-,35,1.21,15,0.52,-,-,4,0.57,1,0.2,-,-,1,0.2,-,-,-,-
Fukui,3,0.09,4,,10,0.45,28,1.27,109,4.95,26,1.18,13,0.59,2,0.09,18,0.82,-,-,33,1.5,28,1.27,-,-,1,0.33,3,0.5,-,-,-,-,-,-,-,-
Yamanashi,-,-,-,,5,0.21,14,0.58,60,2.5,8,0.33,12,0.5,2,0.08,9,0.38,-,-,33,1.38,3,0.13,-,-,7,0.78,-,-,-,-,-,-,-,-,-,-
Nagano,-,-,1,,44,0.83,44,0.83,170,3.21,42,0.79,65,1.23,3,0.06,21,0.4,3,0.06,301,5.68,3,0.06,-,-,15,1.36,-,-,-,-,3,0.27,-,-,-,-
Gifu,3,0.03,6,,39,0.74,27,0.51,132,2.49,31,0.58,82,1.55,-,-,27,0.51,-,-,55,1.04,17,0.32,-,-,2,0.18,-,-,1,0.2,-,-,-,-,-,-
Shizuoka,2,0.01,1,,71,0.8,76,0.85,250,2.81,28,0.31,43,0.48,16,0.18,41,0.46,3,0.03,381,4.28,17,0.19,-,-,16,0.73,-,-,2,0.2,1,0.1,-,-,-,-
Aichi,2,0.01,41,,60,0.33,111,0.61,534,2.95,86,0.48,164,0.91,4,0.02,89,0.49,1,0.01,300,1.66,59,0.33,-,-,18,0.53,1,0.07,2,0.14,-,-,-,-,-,-
Mie,2,0.03,5,,28,0.62,25,0.56,189,4.2,25,0.56,63,1.4,8,0.18,29,0.64,-,-,97,2.16,8,0.18,-,-,2,0.17,-,-,-,-,-,-,-,-,-,-
Shiga,2,0.04,7,,16,0.5,12,0.38,74,2.31,15,0.47,17,0.53,-,-,20,0.63,-,-,70,2.19,4,0.13,-,-,8,1,-,-,-,-,-,-,-,-,-,-
Kyoto,3,0.02,3,,47,0.64,39,0.53,203,2.78,36,0.49,24,0.33,5,0.07,27,0.37,-,-,77,1.05,9,0.12,1,0.06,21,1.17,-,-,1,0.14,-,-,-,-,-,-
Osaka,6,0.02,78,,138,0.69,199,1,610,3.07,130,0.65,61,0.31,22,0.11,135,0.68,5,0.03,236,1.19,45,0.23,1,0.02,26,0.5,-,-,-,-,4,0.24,-,-,-,-
Hyogo,3,0.02,26,,50,0.39,78,0.61,629,4.91,67,0.52,52,0.41,7,0.05,71,0.55,4,0.03,200,1.56,28,0.22,1,0.03,53,1.51,1,0.08,1,0.08,-,-,-,-,-,-
Nara,-,-,1,,21,0.62,12,0.35,66,1.94,10,0.29,4,0.12,-,-,4,0.12,-,-,20,0.59,9,0.26,-,-,6,0.67,-,-,-,-,-,-,-,-,-,-
Wakayama,-,-,10,,13,0.42,8,0.26,46,1.48,18,0.58,9,0.29,-,-,22,0.71,-,-,26,0.84,3,0.1,-,-,12,3,-,-,-,-,6,0.55,-,-,-,-
Tottori,-,-,5,,7,0.37,25,1.32,68,3.58,14,0.74,1,0.05,2,0.11,10,0.53,2,0.11,23,1.21,2,0.11,-,-,1,0.33,-,-,-,-,-,-,-,-,-,-
Shimane,2,0.05,5,,8,0.35,35,1.52,142,6.17,15,0.65,8,0.35,-,-,20,0.87,-,-,38,1.65,2,0.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-
