"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1st week, 2015",,,,,,"Data collected as of January 8, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,100117,21.46,2427,,613,0.21,2197,0.74,10230,3.47,1682,0.57,446,0.15,287,0.1,437,0.15,10,0,44,0.01,412,0.14,2,0,145,0.22,7,0.01,4,0.01,54,0.11,2,0,36,0.08
Hokkaido,5698,25.1,199,,89,0.62,163,1.14,152,1.06,101,0.71,40,0.28,19,0.13,20,0.14,-,-,2,0.01,27,0.19,2,0.07,1,0.04,-,-,-,-,2,0.09,-,-,-,-
Aomori,1467,22.57,27,,13,0.31,10,0.24,137,3.26,19,0.45,1,0.02,12,0.29,7,0.17,-,-,1,0.02,1,0.02,-,-,7,0.64,-,-,-,-,1,0.17,-,-,3,0.5
Iwate,2228,34.28,37,,5,0.13,43,1.08,116,2.9,37,0.93,-,-,10,0.25,5,0.13,-,-,-,-,2,0.05,-,-,9,0.64,-,-,-,-,5,0.26,-,-,3,0.16
Miyagi,1140,12.26,30,,2,0.03,21,0.36,212,3.66,36,0.62,11,0.19,26,0.45,12,0.21,-,-,-,-,6,0.1,-,-,-,-,-,-,-,-,1,0.08,-,-,-,-
Akita,2261,41.87,28,,11,0.31,24,0.69,114,3.26,17,0.49,1,0.03,-,-,4,0.11,1,0.03,-,-,5,0.14,-,-,2,0.29,-,-,-,-,3,0.38,-,-,-,-
Yamagata,471,11.78,20,,8,0.33,32,1.33,61,2.54,19,0.79,20,0.83,3,0.13,4,0.17,-,-,-,-,4,0.17,-,-,-,-,-,-,-,-,1,0.1,-,-,-,-
Fukushima,2349,30.91,124,,11,0.24,37,0.82,103,2.29,68,1.51,7,0.16,11,0.24,9,0.2,-,-,-,-,16,0.36,-,-,3,0.25,-,-,-,-,2,0.29,-,-,-,-
Ibaraki,3354,27.95,95,,12,0.16,89,1.19,499,6.65,59,0.79,7,0.09,-,-,8,0.11,-,-,1,0.01,6,0.08,-,-,9,0.53,-,-,-,-,-,-,-,-,-,-
Tochigi,1121,14.75,42,,4,0.08,16,0.33,109,2.27,14,0.29,6,0.13,8,0.17,9,0.19,-,-,-,-,1,0.02,-,-,7,0.58,-,-,-,-,-,-,-,-,-,-
Gunma,1792,23.27,54,,9,0.19,53,1.13,164,3.49,24,0.51,1,0.02,-,-,6,0.13,-,-,-,-,5,0.11,-,-,17,1.89,-,-,-,-,1,0.13,-,-,2,0.25
Saitama,4702,25.01,105,,20,0.19,81,0.75,324,3,64,0.59,12,0.11,28,0.26,16,0.15,-,-,2,0.02,20,0.19,-,-,4,0.12,-,-,-,-,-,-,-,-,1,0.1
Chiba,2837,14.04,31,,16,0.13,62,0.49,205,1.63,73,0.58,7,0.06,8,0.06,4,0.03,2,0.02,1,0.01,17,0.13,-,-,3,0.09,-,-,1,0.11,-,-,-,-,-,-
Tokyo,3802,11.05,78,,25,0.12,106,0.51,481,2.3,49,0.23,10,0.05,43,0.21,18,0.09,2,0.01,1,0,11,0.05,-,-,7,0.23,1,0.04,-,-,1,0.04,-,-,1,0.04
Kanagawa,2447,10.55,31,,18,0.13,63,0.46,341,2.47,62,0.45,10,0.07,25,0.18,13,0.09,-,-,-,-,8,0.06,-,-,11,0.3,1,0.11,-,-,-,-,-,-,-,-
Niigata,661,6.89,54,,45,0.74,85,1.39,116,1.9,37,0.61,3,0.05,8,0.13,9,0.15,-,-,3,0.05,2,0.03,-,-,2,0.2,-,-,-,-,-,-,1,0.08,-,-
Toyama,404,8.42,24,,12,0.41,29,1,106,3.66,14,0.48,2,0.07,1,0.03,6,0.21,-,-,4,0.14,-,-,-,-,1,0.14,-,-,-,-,5,1,-,-,-,-
Ishikawa,723,15.06,18,,3,0.1,64,2.21,123,4.24,19,0.66,2,0.07,4,0.14,6,0.21,-,-,-,-,-,-,-,-,2,0.29,-,-,-,-,2,0.4,-,-,-,-
Fukui,765,23.91,11,,3,0.14,18,0.82,216,9.82,20,0.91,7,0.32,1,0.05,6,0.27,-,-,-,-,16,0.73,-,-,-,-,1,0.17,-,-,-,-,-,-,-,-
Yamanashi,543,13.58,10,,-,-,4,0.17,62,2.58,1,0.04,-,-,-,-,2,0.08,-,-,-,-,-,-,-,-,2,0.22,-,-,-,-,1,0.1,-,-,-,-
Nagano,1919,22.31,67,,4,0.08,33,0.62,147,2.77,26,0.49,3,0.06,4,0.08,4,0.08,-,-,-,-,-,-,-,-,5,0.5,-,-,-,-,8,0.73,-,-,1,0.09
