"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4th week, 2015",,,,,,"Data collected as of January 28, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,195025,39.42,2320,,962,0.3,7381,2.34,25628,8.12,1915,0.61,962,0.3,1410,0.45,1345,0.43,23,0.01,60,0.02,710,0.22,12,0.02,290,0.42,10,0.02,11,0.02,108,0.23,5,0.01,70,0.15
Hokkaido,3372,14.85,128,,85,0.59,337,2.36,433,3.03,52,0.36,61,0.43,66,0.46,51,0.36,-,-,4,0.03,42,0.29,-,-,17,0.63,-,-,-,-,2,0.09,-,-,-,-
Aomori,2281,35.09,15,,9,0.21,33,0.79,237,5.64,15,0.36,6,0.14,26,0.62,14,0.33,-,-,-,-,1,0.02,-,-,7,0.64,-,-,-,-,3,0.5,-,-,4,0.67
Iwate,1487,22.88,27,,5,0.13,105,2.63,408,10.2,15,0.38,2,0.05,28,0.7,18,0.45,-,-,1,0.03,6,0.15,-,-,7,0.5,-,-,-,-,4,0.21,-,-,10,0.53
Miyagi,3545,38.12,30,,14,0.24,177,3.05,762,13.14,48,0.83,12,0.21,84,1.45,29,0.5,-,-,1,0.02,4,0.07,-,-,2,0.17,-,-,-,-,10,0.83,-,-,4,0.33
Akita,1373,25.43,9,,8,0.23,38,1.09,317,9.06,24,0.69,2,0.06,2,0.06,9,0.26,-,-,-,-,7,0.2,1,0.14,1,0.14,-,-,-,-,5,0.63,-,-,-,-
Yamagata,1654,34.46,14,,22,0.73,134,4.47,371,12.37,22,0.73,37,1.23,15,0.5,13,0.43,1,0.03,-,-,9,0.3,-,-,1,0.13,-,-,2,0.2,3,0.3,-,-,-,-
Fukushima,2582,33.97,77,,10,0.22,102,2.27,457,10.16,18,0.4,15,0.33,32,0.71,19,0.42,1,0.02,-,-,22,0.49,-,-,15,1.25,-,-,-,-,4,0.57,-,-,4,0.57
Ibaraki,3571,29.76,33,,20,0.27,129,1.72,662,8.83,55,0.73,14,0.19,20,0.27,18,0.24,-,-,1,0.01,12,0.16,-,-,11,0.65,-,-,-,-,-,-,-,-,-,-
