"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22nd week, 2015",,,,,,"Data collected as of June 3, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1952,0.4,302,,2490,0.79,11329,3.6,22606,7.17,1668,0.53,6322,2.01,2718,0.86,2074,0.66,65,0.02,1166,0.37,1338,0.42,8,0.01,365,0.53,12,0.03,21,0.04,96,0.2,3,0.01,148,0.31
Hokkaido,132,0.58,24,,224,1.57,749,5.24,788,5.51,89,0.62,41,0.29,116,0.81,67,0.47,4,0.03,5,0.03,76,0.53,-,-,2,0.07,-,-,-,-,7,0.3,-,-,34,1.48
Aomori,14,0.22,8,,31,0.74,81,1.93,206,4.9,15,0.36,53,1.26,45,1.07,22,0.52,-,-,5,0.12,3,0.07,-,-,3,0.27,-,-,-,-,3,0.5,-,-,5,0.83
Iwate,72,1.11,4,,12,0.3,165,4.13,288,7.2,18,0.45,22,0.55,12,0.3,27,0.68,1,0.03,14,0.35,3,0.08,-,-,5,0.36,-,-,-,-,3,0.16,-,-,1,0.05
Miyagi,77,0.81,6,,59,1,200,3.39,568,9.63,44,0.75,64,1.08,49,0.83,46,0.78,-,-,5,0.08,5,0.08,-,-,1,0.08,-,-,-,-,5,0.42,-,-,-,-
Akita,38,0.72,1,,23,0.68,75,2.21,157,4.62,20,0.59,12,0.35,11,0.32,9,0.26,-,-,2,0.06,6,0.18,-,-,3,0.43,-,-,-,-,1,0.13,-,-,3,0.38
Yamagata,56,1.17,1,,21,0.7,143,4.77,435,14.5,15,0.5,71,2.37,20,0.67,18,0.6,1,0.03,3,0.1,15,0.5,-,-,3,0.38,-,-,-,-,2,0.2,-,-,3,0.3
Fukushima,38,0.49,6,,27,0.59,145,3.15,353,7.67,20,0.43,76,1.65,75,1.63,44,0.96,-,-,13,0.28,22,0.48,-,-,8,0.67,1,0.14,-,-,3,0.43,-,-,4,0.57
Ibaraki,23,0.19,2,,39,0.52,255,3.4,430,5.73,48,0.64,31,0.41,70,0.93,36,0.48,1,0.01,9,0.12,47,0.63,-,-,16,0.94,-,-,-,-,2,0.15,-,-,-,-
