"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23rd week, 2015",,,,,,"Data collected as of June 10, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1230,0.25,300,,2502,0.79,10678,3.39,20502,6.5,1531,0.49,5910,1.87,2039,0.65,2111,0.67,88,0.03,1456,0.46,1501,0.48,8,0.01,444,0.65,12,0.03,18,0.04,112,0.24,5,0.01,105,0.22
Hokkaido,49,0.22,22,,282,1.97,594,4.15,649,4.54,87,0.61,50,0.35,84,0.59,56,0.39,6,0.04,4,0.03,128,0.9,-,-,12,0.43,-,-,1,0.04,10,0.43,-,-,22,0.96
Aomori,5,0.08,10,,23,0.55,83,1.98,189,4.5,25,0.6,62,1.48,22,0.52,24,0.57,-,-,3,0.07,2,0.05,-,-,9,0.82,1,0.17,1,0.17,2,0.33,-,-,3,0.5
Iwate,24,0.37,5,,23,0.58,157,3.93,263,6.58,11,0.28,15,0.38,15,0.38,27,0.68,-,-,9,0.23,3,0.08,-,-,2,0.14,-,-,-,-,6,0.32,-,-,-,-
Miyagi,24,0.25,1,,62,1.05,227,3.85,415,7.03,36,0.61,66,1.12,44,0.75,42,0.71,-,-,6,0.1,15,0.25,-,-,1,0.08,-,-,-,-,8,0.67,-,-,-,-
Akita,5,0.09,-,,28,0.82,76,2.24,132,3.88,11,0.32,4,0.12,6,0.18,14,0.41,-,-,1,0.03,7,0.21,-,-,4,0.57,-,-,-,-,3,0.38,-,-,6,0.75
Yamagata,18,0.38,2,,23,0.77,106,3.53,388,12.93,7,0.23,66,2.2,20,0.67,23,0.77,-,-,1,0.03,24,0.8,-,-,5,0.63,-,-,-,-,-,-,-,-,7,0.7
Fukushima,13,0.17,6,,24,0.52,153,3.33,292,6.35,31,0.67,57,1.24,63,1.37,35,0.76,-,-,4,0.09,30,0.65,-,-,11,0.92,1,0.14,-,-,1,0.14,-,-,1,0.14
Ibaraki,35,0.29,2,,37,0.49,232,3.09,411,5.48,49,0.65,26,0.35,68,0.91,45,0.6,2,0.03,8,0.11,44,0.59,-,-,15,0.88,-,-,-,-,1,0.08,-,-,-,-
