"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29th week, 2015",,,,,,"Data collected as of July 22, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,477,0.1,489,,1744,0.56,7804,2.48,13816,4.4,1325,0.42,31920,10.16,3644,1.16,1862,0.59,74,0.02,10494,3.34,1759,0.56,9,0.01,509,0.75,11,0.02,27,0.06,165,0.35,7,0.01,22,0.05
Hokkaido,7,0.03,37,,126,0.88,518,3.62,439,3.07,100,0.7,404,2.83,136,0.95,56,0.39,-,-,87,0.61,110,0.77,-,-,13,0.46,-,-,1,0.04,15,0.65,-,-,4,0.17
Aomori,3,0.05,8,,20,0.48,55,1.31,161,3.83,12,0.29,200,4.76,30,0.71,21,0.5,-,-,12,0.29,8,0.19,-,-,2,0.18,1,0.17,-,-,4,0.67,-,-,2,0.33
Iwate,-,-,17,,21,0.53,128,3.2,158,3.95,5,0.13,175,4.38,25,0.63,23,0.58,-,-,47,1.18,6,0.15,1,0.07,9,0.64,-,-,-,-,5,0.26,-,-,-,-
Miyagi,-,-,3,,42,0.71,143,2.42,233,3.95,13,0.22,592,10.03,35,0.59,38,0.64,-,-,154,2.61,10,0.17,-,-,12,1,-,-,-,-,8,0.67,-,-,-,-
Akita,-,-,1,,28,0.82,43,1.26,98,2.88,4,0.12,28,0.82,28,0.82,14,0.41,-,-,19,0.56,3,0.09,-,-,-,-,-,-,-,-,2,0.25,-,-,4,0.5
Yamagata,-,-,1,,14,0.47,114,3.8,111,3.7,9,0.3,250,8.33,52,1.73,19,0.63,-,-,28,0.93,18,0.6,-,-,-,-,1,0.1,-,-,-,-,1,0.1,-,-
Fukushima,-,-,7,,19,0.41,98,2.13,119,2.59,18,0.39,696,15.13,79,1.72,33,0.72,-,-,73,1.59,18,0.39,-,-,5,0.42,-,-,-,-,4,0.57,-,-,-,-
Ibaraki,1,0.01,-,,45,0.6,182,2.43,345,4.6,34,0.45,499,6.65,171,2.28,30,0.4,-,-,187,2.49,51,0.68,-,-,18,1.06,-,-,1,0.08,2,0.15,-,-,-,-
