"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31st week, 2015",,,,,,"Data collected as of August 5, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,313,0.06,718,,1562,0.5,5357,1.7,11281,3.58,938,0.3,32289,10.26,2249,0.71,1870,0.59,72,0.02,9603,3.05,1825,0.58,8,0.01,590,0.86,5,0.01,39,0.08,165,0.35,5,0.01,5,0.01
Hokkaido,4,0.02,54,,126,0.88,347,2.43,251,1.76,57,0.4,987,6.9,137,0.96,77,0.54,-,-,244,1.71,128,0.9,-,-,11,0.39,-,-,-,-,8,0.35,-,-,-,-
Aomori,-,-,14,,20,0.48,47,1.12,92,2.19,8,0.19,435,10.36,10,0.24,18,0.43,-,-,37,0.88,3,0.07,-,-,4,0.36,-,-,-,-,5,0.83,-,-,2,0.33
Iwate,1,0.02,30,,14,0.35,92,2.3,126,3.15,10,0.25,355,8.88,22,0.55,18,0.45,-,-,66,1.65,9,0.23,-,-,1,0.07,-,-,-,-,1,0.05,-,-,-,-
Miyagi,1,0.01,10,,30,0.51,87,1.47,176,2.98,17,0.29,1105,18.73,12,0.2,47,0.8,-,-,226,3.83,6,0.1,-,-,4,0.33,-,-,-,-,4,0.33,-,-,-,-
Akita,-,-,2,,25,0.74,36,1.06,61,1.79,9,0.26,104,3.06,22,0.65,11,0.32,-,-,40,1.18,3,0.09,-,-,2,0.29,-,-,-,-,2,0.25,-,-,1,0.13
Yamagata,-,-,4,,17,0.57,50,1.67,81,2.7,5,0.17,560,18.67,36,1.2,35,1.17,2,0.07,115,3.83,31,1.03,-,-,-,-,-,-,-,-,2,0.2,-,-,-,-
Fukushima,-,-,20,,7,0.15,60,1.3,81,1.76,14,0.3,807,17.54,45,0.98,42,0.91,-,-,108,2.35,27,0.59,-,-,13,1.08,-,-,-,-,1,0.14,-,-,-,-
Ibaraki,-,-,2,,26,0.35,142,1.89,343,4.57,29,0.39,639,8.52,75,1,39,0.52,4,0.05,223,2.97,72,0.96,-,-,14,0.82,-,-,-,-,2,0.15,-,-,-,-
Tochigi,-,-,1,,3,0.06,37,0.77,62,1.29,4,0.08,622,12.96,35,0.73,24,0.5,-,-,56,1.17,24,0.5,-,-,9,0.75,-,-,-,-,6,0.86,-,-,-,-
Gunma,3,0.03,1,,18,0.31,105,1.78,218,3.69,12,0.2,760,12.88,34,0.58,34,0.58,-,-,111,1.88,40,0.68,-,-,40,2.86,-,-,-,-,3,0.38,-,-,-,-
Saitama,2,0.01,12,,114,0.72,321,2.02,718,4.52,58,0.36,2660,16.73,174,1.09,95,0.6,-,-,558,3.51,196,1.23,2,0.05,40,0.98,-,-,3,0.3,3,0.3,-,-,-,-
Chiba,1,0,13,,79,0.59,325,2.43,425,3.17,37,0.28,1223,9.13,121,0.9,72,0.54,4,0.03,598,4.46,84,0.63,1,0.03,36,1.09,1,0.11,6,0.67,1,0.11,-,-,-,-
Tokyo,11,0.03,27,,148,0.57,468,1.79,1065,4.08,91,0.35,3678,14.09,157,0.6,179,0.69,14,0.05,807,3.09,96,0.37,-,-,38,0.97,-,-,1,0.04,12,0.48,2,0.08,-,-
Kanagawa,3,0.01,16,,118,0.58,261,1.29,672,3.33,74,0.37,2676,13.25,105,0.52,120,0.59,2,0.01,578,2.86,86,0.43,-,-,57,1.27,-,-,2,0.2,3,0.3,-,-,-,-
Niigata,-,-,10,,49,0.83,80,1.36,155,2.63,6,0.1,1156,19.59,16,0.27,36,0.61,-,-,196,3.32,19,0.32,-,-,4,0.4,-,-,-,-,6,0.46,-,-,-,-
Toyama,1,0.02,3,,8,0.28,50,1.72,112,3.86,12,0.41,322,11.1,5,0.17,15,0.52,1,0.03,159,5.48,10,0.34,-,-,1,0.14,-,-,-,-,4,0.8,-,-,-,-
Ishikawa,2,0.04,1,,13,0.45,30,1.03,71,2.45,2,0.07,500,17.24,29,1,14,0.48,-,-,67,2.31,48,1.66,-,-,1,0.14,-,-,1,0.2,1,0.2,-,-,-,-
Fukui,-,-,1,,3,0.14,31,1.41,92,4.18,3,0.14,303,13.77,5,0.23,15,0.68,1,0.05,54,2.45,5,0.23,-,-,-,-,-,-,-,-,1,0.17,-,-,-,-
Yamanashi,-,-,-,,3,0.13,31,1.29,62,2.58,5,0.21,205,8.54,21,0.88,12,0.5,1,0.04,140,5.83,1,0.04,-,-,2,0.22,-,-,6,0.6,1,0.1,-,-,-,-
Nagano,-,-,-,,30,0.56,128,2.37,192,3.56,10,0.19,686,12.7,59,1.09,25,0.46,1,0.02,193,3.57,11,0.2,-,-,3,0.27,-,-,-,-,4,0.36,-,-,1,0.09
Gifu,-,-,-,,14,0.26,28,0.53,131,2.47,16,0.3,137,2.58,50,0.94,22,0.42,-,-,149,2.81,3,0.06,-,-,-,-,-,-,-,-,5,1,-,-,-,-
Shizuoka,-,-,8,,43,0.48,261,2.93,365,4.1,31,0.35,832,9.35,70,0.79,46,0.52,2,0.02,322,3.62,40,0.45,-,-,12,0.55,-,-,-,-,3,0.3,-,-,-,-
Aichi,7,0.04,6,,74,0.41,289,1.6,537,2.97,47,0.26,1104,6.1,129,0.71,91,0.5,5,0.03,783,4.33,86,0.48,-,-,9,0.26,1,0.07,1,0.07,6,0.43,-,-,-,-
Mie,1,0.01,2,,15,0.33,39,0.87,133,2.96,13,0.29,298,6.62,9,0.2,22,0.49,-,-,255,5.67,4,0.09,-,-,2,0.17,1,0.11,-,-,3,0.33,-,-,-,-
Shiga,2,0.04,1,,9,0.28,30,0.94,104,3.25,8,0.25,310,9.69,47,1.47,14,0.44,1,0.03,116,3.63,4,0.13,-,-,2,0.25,-,-,-,-,2,0.29,-,-,-,-
Kyoto,2,0.02,-,,36,0.49,51,0.69,180,2.43,24,0.32,679,9.18,42,0.57,22,0.3,-,-,91,1.23,20,0.27,-,-,5,0.29,-,-,-,-,1,0.14,-,-,-,-
Osaka,8,0.03,13,,108,0.54,313,1.57,816,4.08,71,0.36,2252,11.26,131,0.66,118,0.59,5,0.03,555,2.78,94,0.47,2,0.04,21,0.4,-,-,1,0.06,21,1.24,-,-,1,0.06
Hyogo,6,0.03,1,,73,0.57,212,1.64,583,4.52,31,0.24,1309,10.15,88,0.68,66,0.51,1,0.01,265,2.05,51,0.4,1,0.03,28,0.8,1,0.09,-,-,1,0.09,-,-,-,-
Nara,-,-,7,,10,0.29,26,0.76,57,1.68,4,0.12,339,9.97,11,0.32,16,0.47,-,-,90,2.65,2,0.06,-,-,3,0.33,-,-,-,-,1,0.17,-,-,-,-
Wakayama,-,-,1,,9,0.29,16,0.52,63,2.03,9,0.29,253,8.16,13,0.42,11,0.35,-,-,185,5.97,4,0.13,-,-,1,0.25,-,-,-,-,1,0.09,1,0.09,-,-
Tottori,-,-,2,,4,0.21,60,3.16,73,3.84,6,0.32,110,5.79,1,0.05,6,0.32,-,-,37,1.95,3,0.16,-,-,1,0.33,-,-,-,-,-,-,-,-,-,-
Shimane,-,-,5,,13,0.57,37,1.61,120,5.22,3,0.13,131,5.7,2,0.09,12,0.52,1,0.04,14,0.61,6,0.26,-,-,3,1,-,-,2,0.25,2,0.25,-,-,-,-
Okayama,-,-,1,,9,0.17,36,0.67,258,4.78,6,0.11,392,7.26,12,0.22,25,0.46,4,0.07,152,2.81,53,0.98,-,-,3,0.25,-,-,1,0.2,-,-,-,-,-,-
Hiroshima,1,0.01,20,,37,0.51,110,1.53,338,4.69,16,0.22,372,5.17,34,0.47,42,0.58,3,0.04,243,3.38,93,1.29,-,-,27,1.42,-,-,-,-,7,0.33,-,-,-,-
Yamaguchi,-,-,33,,8,0.17,130,2.77,198,4.21,19,0.4,352,7.49,18,0.38,38,0.81,3,0.06,119,2.53,13,0.28,-,-,4,0.44,-,-,-,-,-,-,-,-,-,-
Tokushima,-,-,1,,9,0.39,18,0.78,85,3.7,4,0.17,121,5.26,3,0.13,15,0.65,-,-,46,2,3,0.13,-,-,1,0.25,-,-,-,-,-,-,-,-,-,-
Kagawa,4,0.09,1,,27,0.96,35,1.25,104,3.71,6,0.21,127,4.54,12,0.43,18,0.64,4,0.14,63,2.25,7,0.25,-,-,7,1.4,-,-,-,-,2,0.4,1,0.2,-,-
Ehime,2,0.03,2,,14,0.38,78,2.11,196,5.3,6,0.16,186,5.03,16,0.43,39,1.05,-,-,158,4.27,13,0.35,-,-,10,1.25,-,-,1,0.17,-,-,-,-,-,-
Kochi,-,-,3,,11,0.37,28,0.93,78,2.6,6,0.2,137,4.57,12,0.4,13,0.43,-,-,152,5.07,6,0.2,-,-,-,-,-,-,-,-,6,0.75,1,0.13,-,-
Fukuoka,6,0.03,166,,62,0.52,295,2.46,556,4.63,55,0.46,977,8.14,138,1.15,107,0.89,5,0.04,415,3.46,138,1.15,1,0.04,74,2.85,-,-,6,0.4,4,0.27,-,-,-,-
Saga,-,-,15,,9,0.39,23,1,46,2,4,0.17,176,7.65,15,0.65,20,0.87,-,-,130,5.65,46,2,-,-,-,-,-,-,-,-,3,0.5,-,-,-,-
Nagasaki,2,0.03,12,,8,0.18,104,2.36,87,1.98,12,0.27,183,4.16,49,1.11,22,0.5,1,0.02,52,1.18,45,1.02,-,-,12,1.5,-,-,3,0.25,4,0.33,-,-,-,-
Kumamoto,4,0.05,5,,8,0.16,64,1.28,287,5.74,15,0.3,327,6.54,25,0.5,43,0.86,-,-,150,3,26,0.52,-,-,50,5.56,-,-,3,0.2,7,0.47,-,-,-,-
Oita,1,0.02,25,,15,0.42,86,2.39,298,8.28,15,0.42,205,5.69,84,2.33,43,1.19,2,0.06,215,5.97,32,0.89,-,-,3,0.6,1,0.09,-,-,3,0.27,-,-,-,-
Miyazaki,1,0.02,29,,29,0.81,64,1.78,155,4.31,20,0.56,706,19.61,16,0.44,28,0.78,-,-,158,4.39,19,0.53,-,-,16,2.67,-,-,-,-,-,-,-,-,-,-
Kagoshima,29,0.31,77,,33,0.6,155,2.82,283,5.15,12,0.22,441,8.02,86,1.56,32,0.58,1,0.02,95,1.73,16,0.29,-,-,7,1,-,-,-,-,9,0.75,-,-,-,-
Okinawa,208,3.59,61,,24,0.71,41,1.21,95,2.79,16,0.47,50,1.47,16,0.47,11,0.32,4,0.12,17,0.5,99,2.91,1,0.1,9,0.9,-,-,2,0.29,4,0.57,-,-,-,-
