"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32nd week, 2015",,,,,,"Data collected as of August 12, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,267,0.05,951,,1470,0.47,4562,1.46,10617,3.4,917,0.29,27935,8.95,1949,0.62,1865,0.6,71,0.02,8160,2.61,1647,0.53,15,0.02,588,0.88,10,0.02,29,0.06,189,0.4,7,0.01,8,0.02
Hokkaido,2,0.01,36,,100,0.7,250,1.75,216,1.51,32,0.22,1171,8.19,102,0.71,60,0.42,-,-,278,1.94,92,0.64,-,-,17,0.61,-,-,-,-,19,0.83,-,-,4,0.17
Aomori,1,0.02,16,,16,0.38,44,1.05,95,2.26,5,0.12,537,12.79,15,0.36,17,0.4,-,-,52,1.24,4,0.1,-,-,7,0.64,-,-,-,-,1,0.17,-,-,1,0.17
Iwate,-,-,38,,7,0.18,93,2.33,114,2.85,6,0.15,484,12.1,17,0.43,15,0.38,-,-,111,2.78,4,0.1,-,-,7,0.5,-,-,-,-,1,0.05,-,-,-,-
Miyagi,-,-,15,,31,0.53,61,1.03,162,2.75,15,0.25,1040,17.63,12,0.2,55,0.93,-,-,268,4.54,5,0.08,-,-,6,0.5,-,-,-,-,8,0.67,-,-,-,-
Akita,-,-,2,,26,0.74,39,1.11,63,1.8,4,0.11,186,5.31,17,0.49,12,0.34,-,-,64,1.83,1,0.03,-,-,2,0.29,-,-,-,-,4,0.5,-,-,-,-
Yamagata,-,-,5,,11,0.37,49,1.63,79,2.63,10,0.33,605,20.17,48,1.6,36,1.2,-,-,113,3.77,36,1.2,-,-,4,0.57,-,-,-,-,-,-,-,-,-,-
Fukushima,-,-,27,,14,0.3,49,1.07,75,1.63,19,0.41,631,13.72,41,0.89,41,0.89,-,-,125,2.72,23,0.5,-,-,3,0.25,-,-,-,-,2,0.29,-,-,-,-
Ibaraki,-,-,2,,18,0.24,121,1.61,284,3.79,25,0.33,555,7.4,58,0.77,25,0.33,1,0.01,178,2.37,57,0.76,-,-,29,1.71,-,-,-,-,3,0.23,-,-,-,-
Tochigi,-,-,2,,6,0.13,42,0.88,67,1.4,14,0.29,428,8.92,36,0.75,30,0.63,1,0.02,37,0.77,34,0.71,-,-,5,0.42,-,-,2,0.29,1,0.14,-,-,-,-
Gunma,-,-,1,,17,0.3,90,1.58,215,3.77,11,0.19,636,11.16,33,0.58,29,0.51,1,0.02,113,1.98,25,0.44,-,-,40,2.86,-,-,-,-,1,0.13,-,-,-,-
Saitama,2,0.01,20,,116,0.74,213,1.36,630,4.01,68,0.43,1997,12.72,148,0.94,94,0.6,3,0.02,446,2.84,148,0.94,1,0.03,33,0.87,1,0.1,2,0.2,4,0.4,-,-,-,-
Chiba,5,0.02,9,,63,0.48,191,1.45,384,2.91,53,0.4,1001,7.58,94,0.71,79,0.6,13,0.1,453,3.43,104,0.79,-,-,34,1.06,-,-,-,-,1,0.11,-,-,-,-
Tokyo,3,0.01,58,,130,0.53,348,1.41,906,3.67,87,0.35,2885,11.68,157,0.64,158,0.64,5,0.02,639,2.59,89,0.36,1,0.03,28,0.74,2,0.08,1,0.04,9,0.36,1,0.04,-,-
Kanagawa,4,0.01,28,,98,0.5,211,1.07,652,3.31,83,0.42,2074,10.53,70,0.36,102,0.52,8,0.04,503,2.55,64,0.32,2,0.05,61,1.53,-,-,1,0.11,5,0.56,-,-,-,-
Niigata,-,-,24,,56,0.95,79,1.34,173,2.93,17,0.29,1237,20.97,26,0.44,40,0.68,2,0.03,229,3.88,34,0.58,1,0.1,3,0.3,-,-,-,-,1,0.08,2,0.15,-,-
Toyama,-,-,4,,12,0.41,43,1.48,90,3.1,9,0.31,299,10.31,2,0.07,14,0.48,-,-,120,4.14,2,0.07,-,-,1,0.14,1,0.2,-,-,1,0.2,-,-,-,-
Ishikawa,1,0.02,1,,8,0.28,30,1.03,98,3.38,1,0.03,389,13.41,18,0.62,18,0.62,-,-,73,2.52,56,1.93,-,-,-,-,-,-,-,-,5,1,-,-,-,-
Fukui,-,-,3,,5,0.23,18,0.82,129,5.86,2,0.09,177,8.05,7,0.32,8,0.36,1,0.05,34,1.55,2,0.09,-,-,-,-,2,0.33,-,-,1,0.17,-,-,-,-
Yamanashi,-,-,-,,1,0.04,32,1.33,42,1.75,2,0.08,196,8.17,26,1.08,14,0.58,-,-,86,3.58,2,0.08,-,-,1,0.11,-,-,2,0.2,2,0.2,-,-,-,-
Nagano,-,-,-,,26,0.48,90,1.67,187,3.46,4,0.07,929,17.2,50,0.93,35,0.65,-,-,278,5.15,9,0.17,-,-,3,0.27,-,-,-,-,1,0.09,-,-,1,0.09
Gifu,-,-,1,,18,0.35,29,0.56,108,2.08,8,0.15,152,2.92,34,0.65,25,0.48,1,0.02,79,1.52,3,0.06,-,-,-,-,-,-,2,0.4,12,2.4,-,-,-,-
Shizuoka,-,-,7,,45,0.51,305,3.43,306,3.44,26,0.29,559,6.28,55,0.62,51,0.57,1,0.01,201,2.26,32,0.36,-,-,6,0.27,-,-,-,-,5,0.5,-,-,-,-
