"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33rd week, 2015",,,,,,"Data collected as of August 19, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,231,0.05,906,,1085,0.36,3108,1.03,7446,2.47,673,0.22,17823,5.9,1143,0.38,1330,0.44,38,0.01,5144,1.7,1315,0.44,6,0.01,425,0.64,12,0.03,33,0.07,238,0.5,7,0.01,8,0.02
Hokkaido,4,0.02,49,,68,0.48,246,1.72,137,0.96,38,0.27,1152,8.06,63,0.44,41,0.29,4,0.03,323,2.26,87,0.61,1,0.04,17,0.61,1,0.04,1,0.04,22,0.96,-,-,2,0.09
Aomori,-,-,14,,8,0.19,28,0.67,59,1.4,9,0.21,462,11,11,0.26,23,0.55,-,-,58,1.38,8,0.19,-,-,3,0.27,1,0.17,1,0.17,2,0.33,-,-,-,-
Iwate,-,-,49,,9,0.23,61,1.53,92,2.3,10,0.25,393,9.83,13,0.33,22,0.55,1,0.03,62,1.55,14,0.35,-,-,1,0.07,-,-,1,0.05,6,0.32,-,-,1,0.05
Miyagi,-,-,11,,17,0.29,47,0.8,120,2.03,18,0.31,624,10.58,6,0.1,31,0.53,-,-,156,2.64,7,0.12,-,-,2,0.17,-,-,-,-,8,0.67,-,-,-,-
Akita,-,-,2,,15,0.43,38,1.09,51,1.46,6,0.17,259,7.4,17,0.49,12,0.34,-,-,62,1.77,2,0.06,-,-,1,0.14,-,-,-,-,3,0.38,-,-,1,0.13
Yamagata,-,-,6,,8,0.3,26,0.96,64,2.37,5,0.19,404,14.96,14,0.52,17,0.63,-,-,118,4.37,24,0.89,-,-,-,-,1,0.1,-,-,1,0.1,-,-,-,-
Fukushima,2,0.03,27,,9,0.2,40,0.87,48,1.04,16,0.35,421,9.15,24,0.52,26,0.57,2,0.04,84,1.83,21,0.46,-,-,8,0.67,-,-,-,-,1,0.14,-,-,-,-
Ibaraki,1,0.01,7,,18,0.24,95,1.27,216,2.88,27,0.36,432,5.76,41,0.55,33,0.44,-,-,127,1.69,42,0.56,-,-,12,0.71,-,-,-,-,7,0.54,-,-,-,-
