"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37th week, 2015",,,,,,"Data collected as of September 16, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,347,0.07,2652,,1076,0.34,5053,1.6,10457,3.32,758,0.24,15738,4.99,1634,0.52,1798,0.57,69,0.02,3218,1.02,1644,0.52,8,0.01,737,1.08,7,0.01,34,0.07,221,0.47,5,0.01,5,0.01
Hokkaido,5,0.02,89,,31,0.22,370,2.61,146,1.03,27,0.19,969,6.82,52,0.37,59,0.42,-,-,291,2.05,95,0.67,-,-,11,0.39,1,0.04,-,-,7,0.3,-,-,-,-
Aomori,1,0.02,18,,9,0.22,50,1.22,53,1.29,11,0.27,307,7.49,4,0.1,18,0.44,1,0.02,48,1.17,3,0.07,-,-,3,0.27,1,0.17,-,-,5,0.83,-,-,1,0.17
Iwate,4,0.06,41,,1,0.03,80,2,111,2.78,13,0.33,369,9.23,18,0.45,19,0.48,1,0.03,62,1.55,9,0.23,-,-,4,0.29,-,-,2,0.11,10,0.53,-,-,2,0.11
Miyagi,-,-,41,,5,0.08,93,1.58,183,3.1,18,0.31,787,13.34,11,0.19,31,0.53,-,-,98,1.66,3,0.05,-,-,6,0.5,-,-,-,-,9,0.75,-,-,-,-
Akita,-,-,6,,13,0.37,31,0.89,62,1.77,8,0.23,289,8.26,16,0.46,12,0.34,-,-,21,0.6,3,0.09,-,-,3,0.43,-,-,-,-,3,0.38,-,-,-,-
Yamagata,-,-,60,,15,0.5,64,2.13,80,2.67,10,0.33,338,11.27,22,0.73,22,0.73,-,-,121,4.03,28,0.93,-,-,1,0.13,-,-,-,-,1,0.1,-,-,-,-
Fukushima,8,0.1,54,,9,0.2,66,1.43,65,1.41,15,0.33,295,6.41,32,0.7,37,0.8,2,0.04,59,1.28,18,0.39,-,-,6,0.5,-,-,-,-,-,-,-,-,-,-
Ibaraki,17,0.14,10,,13,0.17,84,1.12,234,3.12,15,0.2,327,4.36,33,0.44,28,0.37,-,-,36,0.48,57,0.76,1,0.06,28,1.65,-,-,-,-,1,0.08,-,-,-,-
