"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42nd week, 2015",,,,,,"Data collected as of October 21, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,370,0.08,3861,,810,0.26,5407,1.72,10393,3.3,1050,0.33,3435,1.09,1268,0.4,1446,0.46,54,0.02,448,0.14,1776,0.56,10,0.01,557,0.81,4,0.01,19,0.04,289,0.61,6,0.01,8,0.02
Hokkaido,6,0.03,244,,63,0.44,356,2.51,165,1.16,66,0.46,352,2.48,65,0.46,26,0.18,1,0.01,57,0.4,126,0.89,-,-,13,0.46,-,-,-,-,12,0.52,-,-,-,-
Aomori,-,-,35,,8,0.19,43,1.02,66,1.57,9,0.21,121,2.88,3,0.07,23,0.55,1,0.02,14,0.33,4,0.1,-,-,7,0.64,-,-,-,-,7,1.17,-,-,-,-
Iwate,3,0.05,63,,1,0.03,100,2.5,103,2.58,28,0.7,64,1.6,4,0.1,15,0.38,-,-,6,0.15,4,0.1,-,-,6,0.43,-,-,-,-,3,0.16,-,-,-,-
Miyagi,3,0.03,148,,7,0.12,105,1.78,149,2.53,31,0.53,167,2.83,10,0.17,32,0.54,-,-,14,0.24,4,0.07,-,-,-,-,-,-,-,-,6,0.5,-,-,-,-
Akita,-,-,40,,6,0.17,24,0.69,43,1.23,11,0.31,30,0.86,15,0.43,9,0.26,-,-,4,0.11,3,0.09,-,-,4,0.57,-,-,-,-,7,0.88,-,-,-,-
Yamagata,-,-,139,,10,0.33,94,3.13,77,2.57,15,0.5,69,2.3,25,0.83,20,0.67,-,-,3,0.1,42,1.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fukushima,2,0.03,175,,3,0.07,76,1.65,74,1.61,23,0.5,67,1.46,42,0.91,28,0.61,1,0.02,4,0.09,12,0.26,-,-,9,0.75,-,-,-,-,4,0.57,-,-,2,0.29
Ibaraki,9,0.08,40,,17,0.23,100,1.33,287,3.83,30,0.4,64,0.85,34,0.45,19,0.25,-,-,7,0.09,85,1.13,-,-,26,1.53,-,-,-,-,8,0.62,-,-,-,-
Tochigi,1,0.01,64,,6,0.13,83,1.73,66,1.38,2,0.04,32,0.67,17,0.35,30,0.63,1,0.02,4,0.08,14,0.29,-,-,6,0.5,-,-,1,0.14,3,0.43,-,-,-,-
Gunma,5,0.05,58,,7,0.12,156,2.6,204,3.4,19,0.32,36,0.6,17,0.28,27,0.45,2,0.03,9,0.15,15,0.25,-,-,8,0.57,-,-,1,0.13,8,1,-,-,2,0.25
Saitama,18,0.07,151,,58,0.36,306,1.92,532,3.35,73,0.46,162,1.02,70,0.44,78,0.49,2,0.01,16,0.1,140,0.88,1,0.02,29,0.71,-,-,1,0.1,7,0.7,-,-,-,-
Chiba,33,0.15,123,,28,0.21,292,2.16,367,2.72,40,0.3,183,1.36,61,0.45,54,0.4,4,0.03,30,0.22,101,0.75,1,0.03,28,0.82,-,-,-,-,2,0.22,-,-,-,-
Tokyo,32,0.08,363,,58,0.22,418,1.61,867,3.35,76,0.29,215,0.83,71,0.27,135,0.52,5,0.02,36,0.14,124,0.48,1,0.03,24,0.62,-,-,2,0.08,22,0.88,-,-,-,-
Kanagawa,14,0.04,172,,22,0.11,242,1.17,653,3.17,91,0.44,274,1.33,25,0.12,109,0.53,1,0,14,0.07,70,0.34,1,0.02,36,0.84,-,-,-,-,10,1,-,-,-,-
Niigata,-,-,143,,17,0.29,113,1.92,187,3.17,22,0.37,108,1.83,11,0.19,32,0.54,1,0.02,19,0.32,12,0.2,-,-,2,0.2,1,0.08,-,-,2,0.15,3,0.23,-,-
Toyama,-,-,27,,3,0.1,49,1.69,96,3.31,9,0.31,23,0.79,8,0.28,13,0.45,-,-,4,0.14,8,0.28,-,-,-,-,-,-,-,-,3,0.6,-,-,-,-
Ishikawa,-,-,56,,20,0.69,45,1.55,79,2.72,6,0.21,15,0.52,1,0.03,10,0.34,-,-,1,0.03,57,1.97,-,-,3,0.43,-,-,1,0.2,9,1.8,-,-,-,-
Fukui,-,-,33,,6,0.27,36,1.64,104,4.73,1,0.05,5,0.23,11,0.5,6,0.27,2,0.09,3,0.14,4,0.18,-,-,2,0.67,-,-,-,-,1,0.17,-,-,-,-
Yamanashi,1,0.03,10,,1,0.04,39,1.63,48,2,1,0.04,18,0.75,6,0.25,8,0.33,-,-,1,0.04,3,0.13,-,-,4,0.44,-,-,3,0.3,2,0.2,-,-,-,-
Nagano,6,0.07,21,,7,0.13,104,1.93,134,2.48,17,0.31,112,2.07,23,0.43,16,0.3,-,-,8,0.15,7,0.13,-,-,3,0.27,-,-,-,-,6,0.55,-,-,-,-
Gifu,10,0.11,60,,3,0.06,32,0.6,74,1.4,2,0.04,22,0.42,29,0.55,16,0.3,1,0.02,5,0.09,3,0.06,-,-,3,0.27,-,-,-,-,15,3,-,-,-,-
Shizuoka,14,0.1,111,,29,0.33,325,3.65,252,2.83,17,0.19,54,0.61,27,0.3,34,0.38,2,0.02,7,0.08,83,0.93,-,-,9,0.41,-,-,2,0.2,17,1.7,-,-,-,-
Aichi,59,0.3,154,,22,0.12,253,1.4,434,2.4,57,0.31,210,1.16,83,0.46,65,0.36,8,0.04,11,0.06,40,0.22,-,-,12,0.35,-,-,-,-,17,1.21,-,-,-,-
Mie,8,0.11,79,,5,0.11,55,1.22,110,2.44,19,0.42,48,1.07,18,0.4,18,0.4,-,-,5,0.11,1,0.02,1,0.08,-,-,-,-,1,0.11,4,0.44,-,-,-,-
Shiga,-,-,14,,6,0.19,49,1.53,96,3,10,0.31,13,0.41,15,0.47,10,0.31,-,-,4,0.13,4,0.13,-,-,1,0.13,-,-,-,-,2,0.29,-,-,2,0.29
Kyoto,5,0.04,46,,16,0.22,76,1.03,270,3.65,19,0.26,8,0.11,23,0.31,21,0.28,-,-,3,0.04,31,0.42,-,-,8,0.47,-,-,-,-,8,1.14,-,-,-,-
Osaka,11,0.04,340,,65,0.33,314,1.57,752,3.76,94,0.47,100,0.5,101,0.51,99,0.5,3,0.02,22,0.11,80,0.4,1,0.02,23,0.44,1,0.06,-,-,19,1.12,1,0.06,-,-
Hyogo,12,0.06,81,,52,0.4,195,1.51,557,4.32,57,0.44,93,0.72,36,0.28,49,0.38,3,0.02,13,0.1,53,0.41,-,-,30,0.86,-,-,-,-,1,0.09,-,-,1,0.09
Nara,-,-,55,,8,0.24,28,0.82,91,2.68,8,0.24,8,0.24,10,0.29,19,0.56,-,-,1,0.03,17,0.5,-,-,3,0.33,-,-,-,-,5,0.83,-,-,-,-
