"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43rd week, 2015",,,,,,"Data collected as of October 28, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,498,0.1,4118,,982,0.31,6914,2.2,13628,4.33,1118,0.36,2647,0.84,1609,0.51,1600,0.51,74,0.02,348,0.11,2138,0.68,9,0.01,655,0.95,11,0.02,12,0.03,353,0.75,11,0.02,11,0.02
Hokkaido,7,0.03,292,,67,0.47,504,3.55,231,1.63,68,0.48,255,1.8,74,0.52,48,0.34,2,0.01,45,0.32,131,0.92,1,0.04,19,0.68,-,-,1,0.04,13,0.57,-,-,-,-
Aomori,-,-,43,,7,0.17,46,1.1,146,3.48,10,0.24,96,2.29,3,0.07,19,0.45,1,0.02,14,0.33,15,0.36,-,-,6,0.55,1,0.17,-,-,6,1,-,-,-,-
Iwate,2,0.03,61,,3,0.08,118,2.95,125,3.13,7,0.18,54,1.35,13,0.33,19,0.48,1,0.03,2,0.05,3,0.08,-,-,6,0.43,-,-,-,-,15,0.79,-,-,1,0.05
Miyagi,3,0.03,168,,12,0.2,152,2.58,190,3.22,36,0.61,114,1.93,14,0.24,44,0.75,-,-,6,0.1,1,0.02,-,-,3,0.25,1,0.08,-,-,11,0.92,-,-,-,-
Akita,-,-,29,,6,0.17,47,1.34,47,1.34,10,0.29,56,1.6,27,0.77,4,0.11,-,-,-,-,5,0.14,-,-,1,0.14,-,-,-,-,1,0.13,-,-,-,-
Yamagata,-,-,179,,19,0.63,127,4.23,83,2.77,9,0.3,49,1.63,36,1.2,14,0.47,1,0.03,2,0.07,35,1.17,-,-,3,0.38,-,-,-,-,2,0.2,-,-,-,-
Fukushima,4,0.05,188,,3,0.07,72,1.57,137,2.98,27,0.59,54,1.17,53,1.15,32,0.7,1,0.02,5,0.11,15,0.33,-,-,9,0.75,1,0.14,1,0.14,5,0.71,-,-,-,-
Ibaraki,9,0.08,48,,11,0.15,108,1.44,284,3.79,30,0.4,58,0.77,61,0.81,37,0.49,-,-,9,0.12,57,0.76,1,0.06,18,1.06,-,-,-,-,9,0.69,-,-,2,0.15
