"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"45th week, 2015",,,,,,"Data collected as of November 11, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,650,0.13,4717,,1088,0.35,7205,2.29,18010,5.72,1398,0.44,1652,0.52,1848,0.59,1560,0.5,60,0.02,185,0.06,2040,0.65,8,0.01,525,0.76,12,0.03,19,0.04,321,0.68,4,0.01,33,0.07
Hokkaido,19,0.08,453,,62,0.44,511,3.6,273,1.92,62,0.44,183,1.29,130,0.92,40,0.28,-,-,25,0.18,181,1.27,-,-,13,0.46,1,0.04,-,-,25,1.09,-,-,-,-
Aomori,-,-,85,,13,0.31,57,1.36,155,3.69,13,0.31,80,1.9,6,0.14,26,0.62,-,-,9,0.21,10,0.24,-,-,4,0.36,-,-,-,-,10,1.67,-,-,-,-
Iwate,2,0.03,56,,12,0.3,137,3.43,142,3.55,18,0.45,34,0.85,19,0.48,22,0.55,-,-,2,0.05,7,0.18,-,-,6,0.43,-,-,-,-,11,0.58,-,-,-,-
Miyagi,15,0.16,182,,6,0.1,164,2.78,193,3.27,48,0.81,54,0.92,12,0.2,30,0.51,-,-,1,0.02,4,0.07,-,-,3,0.25,-,-,-,-,7,0.58,-,-,-,-
Akita,-,-,62,,9,0.26,25,0.71,89,2.54,26,0.74,42,1.2,39,1.11,3,0.09,-,-,-,-,1,0.03,-,-,1,0.14,-,-,-,-,1,0.13,-,-,-,-
Yamagata,5,0.1,197,,26,0.87,128,4.27,132,4.4,22,0.73,20,0.67,58,1.93,22,0.73,-,-,1,0.03,27,0.9,-,-,4,0.5,-,-,-,-,-,-,-,-,-,-
Fukushima,8,0.1,241,,6,0.13,75,1.63,184,4,38,0.83,34,0.74,34,0.74,24,0.52,1,0.02,3,0.07,9,0.2,-,-,3,0.25,-,-,-,-,3,0.43,-,-,1,0.14
Ibaraki,11,0.09,97,,21,0.28,117,1.56,362,4.83,27,0.36,47,0.63,51,0.68,22,0.29,3,0.04,3,0.04,68,0.91,-,-,14,0.82,-,-,1,0.08,10,0.77,-,-,-,-
Tochigi,6,0.08,157,,5,0.1,59,1.23,95,1.98,20,0.42,26,0.54,25,0.52,30,0.63,1,0.02,-,-,15,0.31,-,-,13,1.08,-,-,-,-,4,0.57,1,0.14,-,-
Gunma,22,0.22,80,,5,0.08,144,2.4,368,6.13,15,0.25,14,0.23,26,0.43,25,0.42,3,0.05,3,0.05,23,0.38,-,-,15,1.07,-,-,-,-,3,0.38,-,-,-,-
Saitama,26,0.1,205,,80,0.5,430,2.67,785,4.88,92,0.57,70,0.43,111,0.69,65,0.4,2,0.01,8,0.05,145,0.9,1,0.03,24,0.6,-,-,-,-,16,1.6,-,-,-,-
Chiba,34,0.16,107,,43,0.32,326,2.41,509,3.77,81,0.6,109,0.81,71,0.53,67,0.5,7,0.05,7,0.05,94,0.7,-,-,20,0.59,1,0.11,1,0.11,4,0.44,1,0.11,-,-
Tokyo,77,0.19,352,,70,0.27,570,2.21,1394,5.4,123,0.48,98,0.38,87,0.34,118,0.46,3,0.01,18,0.07,154,0.6,1,0.03,27,0.69,-,-,2,0.08,25,1,-,-,2,0.08
Kanagawa,59,0.19,147,,55,0.27,380,1.87,988,4.87,124,0.61,106,0.52,42,0.21,110,0.54,7,0.03,7,0.03,83,0.41,2,0.04,56,1.19,1,0.09,-,-,10,0.91,-,-,1,0.09
Niigata,-,-,213,,37,0.63,164,2.78,268,4.54,23,0.39,64,1.08,11,0.19,36,0.61,-,-,8,0.14,40,0.68,-,-,6,0.6,-,-,-,-,3,0.23,-,-,3,0.23
Toyama,6,0.13,64,,11,0.38,54,1.86,126,4.34,10,0.34,11,0.38,5,0.17,13,0.45,-,-,4,0.14,10,0.34,-,-,2,0.29,-,-,-,-,7,1.4,-,-,-,-
Ishikawa,2,0.04,68,,19,0.66,59,2.03,192,6.62,7,0.24,8,0.28,4,0.14,18,0.62,-,-,3,0.1,53,1.83,-,-,-,-,-,-,-,-,3,0.6,-,-,-,-
Fukui,3,0.09,90,,18,0.82,44,2,319,14.5,8,0.36,1,0.05,12,0.55,10,0.45,-,-,2,0.09,8,0.36,-,-,1,0.33,-,-,-,-,4,0.67,-,-,-,-
Yamanashi,1,0.03,24,,3,0.13,74,3.08,76,3.17,4,0.17,9,0.38,6,0.25,11,0.46,-,-,-,-,1,0.04,-,-,5,0.56,-,-,1,0.1,6,0.6,-,-,-,-
Nagano,9,0.1,48,,6,0.11,122,2.26,179,3.31,26,0.48,46,0.85,25,0.46,24,0.44,3,0.06,4,0.07,25,0.46,-,-,4,0.36,1,0.09,1,0.09,4,0.36,-,-,-,-
Gifu,15,0.17,53,,7,0.13,48,0.91,146,2.75,7,0.13,15,0.28,33,0.62,17,0.32,-,-,1,0.02,3,0.06,-,-,1,0.09,-,-,-,-,9,1.8,-,-,-,-
