"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51st week, 2015",,,,,,"Data collected as of December 24, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,2270,0.46,6933,,2184,0.69,11193,3.54,33709,10.67,2753,0.87,396,0.13,2269,0.72,1369,0.43,48,0.02,113,0.04,2984,0.94,6,0.01,586,0.85,8,0.02,20,0.04,365,0.77,11,0.02,44,0.09
Hokkaido,348,1.54,278,,132,0.93,989,6.96,741,5.22,135,0.95,48,0.34,314,2.21,38,0.27,2,0.01,17,0.12,260,1.83,-,-,11,0.38,-,-,1,0.04,15,0.65,-,-,9,0.39
Aomori,8,0.12,71,,44,1.05,86,2.05,285,6.79,24,0.57,18,0.43,22,0.52,24,0.57,1,0.02,4,0.1,27,0.64,-,-,4,0.36,-,-,2,0.33,8,1.33,-,-,-,-
Iwate,15,0.23,58,,9,0.23,221,5.53,329,8.23,31,0.78,5,0.13,12,0.3,17,0.43,-,-,-,-,20,0.5,-,-,4,0.29,-,-,-,-,14,0.74,-,-,1,0.05
Miyagi,20,0.21,99,,27,0.46,283,4.8,584,9.9,68,1.15,3,0.05,14,0.24,28,0.47,-,-,-,-,28,0.47,-,-,7,0.58,-,-,-,-,6,0.5,-,-,-,-
Akita,184,3.41,52,,5,0.14,41,1.17,198,5.66,11,0.31,8,0.23,70,2,7,0.2,1,0.03,-,-,3,0.09,-,-,1,0.14,-,-,-,-,7,0.88,-,-,-,-
Yamagata,12,0.25,44,,29,0.97,263,8.77,367,12.23,66,2.2,5,0.17,64,2.13,24,0.8,-,-,1,0.03,55,1.83,-,-,3,0.38,-,-,-,-,-,-,-,-,1,0.1
Fukushima,88,1.14,143,,17,0.37,98,2.13,273,5.93,42,0.91,6,0.13,51,1.11,24,0.52,2,0.04,1,0.02,12,0.26,-,-,10,0.83,-,-,-,-,-,-,-,-,-,-
Ibaraki,39,0.33,144,,51,0.68,154,2.05,566,7.55,79,1.05,14,0.19,35,0.47,27,0.36,4,0.05,4,0.05,103,1.37,-,-,13,0.76,-,-,-,-,9,0.69,-,-,-,-
