"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3rd week, 2016",,,,,,"Data collected as of January 27, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,52226,10.56,2211,,1298,0.41,9552,3.03,25524,8.09,1500,0.48,123,0.04,2417,0.77,1292,0.41,54,0.02,52,0.02,2081,0.66,7,0.01,473,0.69,9,0.02,22,0.05,273,0.58,10,0.02,96,0.2
Hokkaido,2692,11.91,100,,50,0.35,593,4.18,515,3.63,73,0.51,19,0.13,236,1.66,40,0.28,2,0.01,1,0.01,153,1.08,-,-,7,0.25,-,-,1,0.04,9,0.39,-,-,9,0.39
Aomori,1069,16.45,9,,20,0.48,52,1.24,138,3.29,16,0.38,-,-,25,0.6,21,0.5,-,-,1,0.02,21,0.5,-,-,6,0.55,-,-,-,-,5,0.83,-,-,1,0.17
Iwate,829,12.75,22,,5,0.13,186,4.65,307,7.68,11,0.28,-,-,14,0.35,12,0.3,5,0.13,-,-,10,0.25,-,-,14,1,-,-,-,-,6,0.32,-,-,-,-
Miyagi,870,9.16,42,,17,0.29,267,4.53,535,9.07,50,0.85,2,0.03,8,0.14,28,0.47,-,-,-,-,18,0.31,-,-,3,0.25,1,0.08,-,-,9,0.75,-,-,-,-
Akita,660,12.22,7,,9,0.26,69,1.97,218,6.23,6,0.17,-,-,100,2.86,2,0.06,1,0.03,2,0.06,1,0.03,-,-,1,0.14,-,-,-,-,5,0.63,-,-,-,-
Yamagata,376,8,2,,11,0.38,245,8.45,343,11.83,18,0.62,-,-,98,3.38,16,0.55,-,-,-,-,43,1.48,-,-,1,0.13,-,-,-,-,3,0.3,1,0.1,1,0.1
Fukushima,654,8.49,37,,16,0.35,96,2.09,346,7.52,21,0.46,1,0.02,49,1.07,19,0.41,2,0.04,-,-,12,0.26,-,-,8,0.67,-,-,-,-,2,0.29,-,-,-,-
Ibaraki,1428,11.9,14,,28,0.37,183,2.44,654,8.72,35,0.47,3,0.04,31,0.41,17,0.23,-,-,-,-,49,0.65,-,-,21,1.24,-,-,-,-,6,0.46,-,-,-,-
Tochigi,589,7.75,9,,7,0.15,103,2.15,280,5.83,13,0.27,-,-,36,0.75,21,0.44,1,0.02,-,-,23,0.48,-,-,12,1,-,-,-,-,5,0.71,-,-,-,-
Gunma,764,8.04,26,,19,0.33,197,3.4,384,6.62,28,0.48,1,0.02,20,0.34,24,0.41,1,0.02,2,0.03,15,0.26,-,-,10,0.71,-,-,1,0.13,3,0.38,-,-,3,0.38
Saitama,3188,12.7,65,,54,0.34,498,3.13,1436,9.03,102,0.64,8,0.05,127,0.8,69,0.43,2,0.01,4,0.03,119,0.75,1,0.02,26,0.63,-,-,-,-,4,0.4,-,-,1,0.1
Chiba,3039,14.13,39,,47,0.35,552,4.09,1110,8.22,87,0.64,10,0.07,123,0.91,69,0.51,-,-,-,-,124,0.92,1,0.03,22,0.67,2,0.22,1,0.11,4,0.44,-,-,-,-
Tokyo,4626,11.17,112,,78,0.3,792,3.03,2258,8.65,140,0.54,7,0.03,97,0.37,111,0.43,4,0.02,2,0.01,118,0.45,-,-,18,0.46,1,0.04,1,0.04,12,0.48,1,0.04,2,0.08
Kanagawa,4363,13.06,42,,46,0.22,514,2.44,1774,8.41,147,0.7,3,0.01,57,0.27,104,0.49,-,-,1,0,95,0.45,-,-,56,1.24,1,0.09,3,0.27,5,0.45,-,-,3,0.27
Niigata,2752,29.28,35,,53,0.9,231,3.92,438,7.42,13,0.22,9,0.15,13,0.22,22,0.37,4,0.07,-,-,38,0.64,-,-,11,1.1,-,-,-,-,7,0.54,2,0.15,1,0.08
Toyama,297,6.19,5,,14,0.48,143,4.93,279,9.62,20,0.69,10,0.34,11,0.38,12,0.41,1,0.03,2,0.07,25,0.86,-,-,-,-,-,-,-,-,8,1.6,-,-,-,-
Ishikawa,252,5.25,3,,42,1.45,103,3.55,196,6.76,4,0.14,3,0.1,12,0.41,10,0.34,-,-,-,-,59,2.03,-,-,1,0.14,-,-,-,-,4,0.8,-,-,-,-
Fukui,238,7.44,9,,19,0.86,131,5.95,136,6.18,15,0.68,-,-,26,1.18,7,0.32,1,0.05,-,-,3,0.14,-,-,1,0.33,-,-,-,-,1,0.17,-,-,-,-
Yamanashi,429,10.73,11,,5,0.21,51,2.13,222,9.25,2,0.08,1,0.04,15,0.63,3,0.13,-,-,-,-,2,0.08,-,-,5,0.56,-,-,2,0.2,6,0.6,-,-,2,0.2
Nagano,1102,12.67,47,,10,0.19,105,1.94,450,8.33,5,0.09,1,0.02,27,0.5,17,0.31,-,-,-,-,41,0.76,-,-,5,0.45,-,-,-,-,9,0.82,-,-,4,0.36
Gifu,1062,12.21,21,,22,0.42,95,1.79,252,4.75,10,0.19,2,0.04,24,0.45,11,0.21,-,-,1,0.02,16,0.3,-,-,1,0.09,-,-,2,0.4,5,1,-,-,-,-
Shizuoka,1263,9.09,68,,33,0.37,519,5.83,966,10.85,38,0.43,-,-,43,0.48,38,0.43,2,0.02,-,-,74,0.83,-,-,6,0.27,-,-,1,0.1,11,1.1,2,0.2,1,0.1
Aichi,2325,11.92,109,,43,0.24,469,2.59,1329,7.34,60,0.33,6,0.03,145,0.8,72,0.4,2,0.01,3,0.02,52,0.29,-,-,10,0.29,-,-,1,0.07,13,0.93,-,-,2,0.14
Mie,477,6.63,39,,13,0.29,96,2.13,457,10.16,26,0.58,-,-,38,0.84,10,0.22,-,-,-,-,12,0.27,-,-,3,0.25,-,-,-,-,8,0.89,-,-,-,-
Shiga,427,8.06,24,,7,0.22,36,1.13,254,7.94,28,0.88,3,0.09,7,0.22,11,0.34,-,-,-,-,7,0.22,-,-,2,0.25,-,-,-,-,1,0.14,-,-,3,0.43
Kyoto,1052,8.62,18,,22,0.3,123,1.66,555,7.5,28,0.38,1,0.01,38,0.51,14,0.19,-,-,2,0.03,45,0.61,-,-,1,0.06,-,-,-,-,4,0.57,-,-,4,0.57
Osaka,2822,9.19,173,,85,0.43,470,2.35,1358,6.79,86,0.43,5,0.03,129,0.65,92,0.46,3,0.02,7,0.04,96,0.48,-,-,21,0.4,1,0.06,1,0.06,23,1.35,-,-,3,0.18
Hyogo,1689,8.49,139,,66,0.51,311,2.41,1049,8.13,88,0.68,2,0.02,70,0.54,32,0.25,1,0.01,3,0.02,81,0.63,-,-,16,0.46,-,-,-,-,5,0.45,-,-,3,0.27
Nara,361,6.69,25,,20,0.59,56,1.65,249,7.32,13,0.38,-,-,37,1.09,23,0.68,-,-,1,0.03,8,0.24,-,-,-,-,1,0.17,-,-,2,0.33,-,-,3,0.5
Wakayama,292,5.84,32,,20,0.65,32,1.03,103,3.32,7,0.23,-,-,72,2.32,7,0.23,-,-,-,-,2,0.06,-,-,3,0.75,-,-,-,-,2,0.18,-,-,3,0.27
Tottori,106,3.66,10,,20,1.05,140,7.37,155,8.16,-,-,-,-,32,1.68,9,0.47,-,-,-,-,-,-,-,-,1,0.33,-,-,-,-,3,0.6,-,-,6,1.2
Shimane,174,4.58,29,,26,1.13,94,4.09,209,9.09,6,0.26,1,0.04,4,0.17,9,0.39,-,-,2,0.09,12,0.52,-,-,1,0.33,-,-,-,-,6,0.75,1,0.13,2,0.25
Okayama,535,6.37,37,,13,0.24,63,1.17,407,7.54,23,0.43,3,0.06,24,0.44,18,0.33,1,0.02,1,0.02,56,1.04,-,-,6,0.5,-,-,2,0.4,-,-,-,-,-,-
Hiroshima,763,6.69,37,,33,0.46,160,2.25,561,7.9,35,0.49,4,0.06,71,1,16,0.23,1,0.01,2,0.03,40,0.56,-,-,16,0.84,-,-,-,-,8,0.38,-,-,3,0.14
Yamaguchi,831,12.04,77,,16,0.33,149,3.1,419,8.73,14,0.29,3,0.06,58,1.21,24,0.5,-,-,1,0.02,23,0.48,-,-,9,1,-,-,-,-,4,0.44,-,-,-,-
Tokushima,238,6.26,65,,9,0.39,37,1.61,294,12.78,11,0.48,-,-,15,0.65,11,0.48,1,0.04,-,-,2,0.09,-,-,-,-,-,-,-,-,-,-,-,-,6,0.86
Kagawa,283,6.02,26,,23,0.82,45,1.61,272,9.71,6,0.21,-,-,18,0.64,16,0.57,-,-,-,-,8,0.29,-,-,3,0.6,-,-,-,-,3,0.6,-,-,4,0.8
Ehime,236,3.87,44,,10,0.27,142,3.84,511,13.81,6,0.16,1,0.03,31,0.84,21,0.57,-,-,1,0.03,12,0.32,-,-,17,2.13,-,-,-,-,-,-,-,-,1,0.17
Kochi,86,1.79,56,,2,0.07,80,2.67,291,9.7,8,0.27,1,0.03,8,0.27,10,0.33,3,0.1,-,-,15,0.5,-,-,-,-,-,-,-,-,7,0.88,2,0.25,14,1.75
Fukuoka,2708,13.68,144,,97,0.81,459,3.83,1102,9.18,88,0.73,4,0.03,96,0.8,78,0.65,1,0.01,-,-,169,1.41,3,0.12,47,1.81,1,0.07,2,0.13,22,1.47,-,-,1,0.07
Saga,342,8.77,32,,11,0.48,44,1.91,107,4.65,6,0.26,2,0.09,32,1.39,19,0.83,-,-,-,-,57,2.48,-,-,1,0.25,-,-,1,0.17,2,0.33,-,-,-,-
Nagasaki,696,9.94,69,,19,0.43,134,3.05,221,5.02,18,0.41,2,0.05,23,0.52,11,0.25,-,-,1,0.02,42,0.95,-,-,12,1.5,-,-,2,0.17,8,0.67,-,-,-,-
Kumamoto,516,6.45,104,,31,0.62,103,2.06,766,15.32,12,0.24,2,0.04,114,2.28,30,0.6,2,0.04,3,0.06,70,1.4,-,-,27,3,1,0.07,1,0.07,10,0.67,1,0.07,10,0.67
Oita,520,8.97,38,,21,0.58,159,4.42,452,12.56,21,0.58,2,0.06,59,1.64,19,0.53,-,-,-,-,10,0.28,-,-,3,0.6,-,-,-,-,3,0.27,-,-,-,-
Miyazaki,461,7.81,68,,29,0.81,103,2.86,367,10.19,12,0.33,1,0.03,47,1.31,39,1.08,-,-,2,0.06,92,2.56,-,-,26,4.33,-,-,-,-,3,0.43,-,-,-,-
Kagoshima,687,7.39,81,,50,0.91,290,5.27,644,11.71,28,0.51,-,-,52,0.95,25,0.45,4,0.07,3,0.05,58,1.05,-,-,4,0.57,-,-,-,-,-,-,-,-,-,-
Okinawa,1057,18.22,10,,7,0.21,32,0.94,155,4.56,16,0.47,-,-,5,0.15,3,0.09,9,0.26,4,0.12,53,1.56,2,0.22,9,1,-,-,-,-,7,1,-,-,-,-
