"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11th week, 2016",,,,,,"Data collected as of March 23, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,104107,21.13,782,,928,0.29,8520,2.71,18728,5.95,1032,0.33,68,0.02,1330,0.42,1139,0.36,36,0.01,58,0.02,2482,0.79,10,0.01,317,0.46,3,0.01,18,0.04,205,0.44,10,0.02,264,0.56
Hokkaido,7185,31.79,33,,42,0.3,879,6.19,421,2.96,29,0.2,4,0.03,80,0.56,30,0.21,3,0.02,1,0.01,206,1.45,-,-,13,0.46,-,-,-,-,4,0.17,-,-,13,0.57
Aomori,1141,17.55,4,,16,0.38,95,2.26,204,4.86,4,0.1,-,-,16,0.38,13,0.31,-,-,-,-,21,0.5,-,-,3,0.27,-,-,-,-,7,1.17,-,-,6,1
Iwate,1542,23.72,5,,9,0.23,178,4.45,238,5.95,19,0.48,-,-,5,0.13,11,0.28,-,-,-,-,15,0.38,-,-,4,0.29,-,-,-,-,8,0.42,-,-,7,0.37
Miyagi,2701,28.43,3,,16,0.27,203,3.44,346,5.86,18,0.31,1,0.02,16,0.27,25,0.42,-,-,-,-,26,0.44,-,-,1,0.08,-,-,-,-,4,0.33,-,-,2,0.17
Akita,1244,23.04,-,,6,0.17,52,1.49,105,3,8,0.23,-,-,53,1.51,8,0.23,2,0.06,-,-,3,0.09,-,-,2,0.29,-,-,-,-,4,0.5,-,-,9,1.13
Yamagata,1370,28.54,1,,5,0.17,168,5.6,224,7.47,27,0.9,1,0.03,82,2.73,17,0.57,-,-,-,-,50,1.67,-,-,-,-,-,-,1,0.1,1,0.1,-,-,-,-
Fukushima,1369,17.78,7,,12,0.26,100,2.17,119,2.59,20,0.43,-,-,23,0.5,27,0.59,1,0.02,-,-,8,0.17,-,-,6,0.5,-,-,1,0.14,-,-,-,-,-,-
Ibaraki,1946,16.22,7,,9,0.12,152,2.03,418,5.57,16,0.21,2,0.03,17,0.23,20,0.27,-,-,-,-,56,0.75,-,-,2,0.12,-,-,-,-,8,0.62,-,-,2,0.15
Tochigi,1263,16.84,-,,9,0.19,84,1.79,114,2.43,16,0.34,1,0.02,18,0.38,26,0.55,-,-,-,-,18,0.38,-,-,4,0.33,-,-,-,-,2,0.29,-,-,4,0.57
Gunma,1600,16.84,5,,8,0.14,161,2.78,243,4.19,22,0.38,1,0.02,14,0.24,15,0.26,1,0.02,-,-,17,0.29,-,-,4,0.29,-,-,1,0.13,6,0.75,-,-,1,0.13
Saitama,4603,18.34,11,,45,0.28,504,3.17,842,5.3,95,0.6,4,0.03,52,0.33,65,0.41,-,-,3,0.02,157,0.99,1,0.03,25,0.63,-,-,-,-,4,0.4,-,-,-,-
Chiba,4255,20.36,6,,18,0.13,457,3.41,644,4.81,57,0.43,2,0.01,56,0.42,41,0.31,2,0.01,-,-,166,1.24,-,-,19,0.61,-,-,3,0.33,1,0.11,-,-,2,0.22
Tokyo,6138,14.86,25,,47,0.18,767,2.96,1591,6.14,69,0.27,5,0.02,45,0.17,124,0.48,1,0,5,0.02,121,0.47,1,0.03,15,0.38,-,-,2,0.08,13,0.52,1,0.04,6,0.24
Kanagawa,4710,14.32,23,,28,0.13,432,2.08,1139,5.48,86,0.41,6,0.03,32,0.15,76,0.37,2,0.01,4,0.02,100,0.48,-,-,46,1,-,-,1,0.13,3,0.38,-,-,3,0.38
Niigata,1988,21.15,15,,37,0.63,226,3.83,383,6.49,28,0.47,-,-,16,0.27,31,0.53,2,0.03,-,-,92,1.56,-,-,8,0.8,-,-,-,-,7,0.54,3,0.23,1,0.08
Toyama,957,19.94,-,,25,0.86,151,5.21,142,4.9,10,0.34,-,-,25,0.86,16,0.55,-,-,1,0.03,11,0.38,-,-,1,0.14,-,-,-,-,1,0.2,-,-,-,-
Ishikawa,1271,26.48,-,,13,0.45,72,2.48,153,5.28,10,0.34,2,0.07,29,1,7,0.24,-,-,-,-,45,1.55,-,-,1,0.14,-,-,-,-,7,1.4,-,-,-,-
Fukui,952,29.75,-,,12,0.55,67,3.05,124,5.64,5,0.23,1,0.05,36,1.64,11,0.5,-,-,-,-,2,0.09,-,-,2,0.67,-,-,-,-,2,0.33,-,-,-,-
Yamanashi,841,21.03,5,,1,0.04,72,3,89,3.71,2,0.08,-,-,11,0.46,6,0.25,-,-,-,-,3,0.13,-,-,4,0.44,-,-,-,-,2,0.2,-,-,-,-
Nagano,2415,27.76,5,,3,0.06,131,2.43,242,4.48,21,0.39,1,0.02,21,0.39,14,0.26,-,-,1,0.02,44,0.81,-,-,-,-,-,-,-,-,8,0.73,-,-,4,0.36
Gifu,1922,22.09,10,,10,0.19,67,1.26,191,3.6,8,0.15,1,0.02,11,0.21,12,0.23,1,0.02,-,-,8,0.15,-,-,1,0.09,-,-,-,-,1,0.2,-,-,3,0.6
Shizuoka,2952,21.24,13,,18,0.2,297,3.34,374,4.2,14,0.16,2,0.02,32,0.36,20,0.22,-,-,-,-,79,0.89,-,-,3,0.14,-,-,-,-,10,1,3,0.3,-,-
Aichi,5409,27.74,32,,33,0.18,335,1.85,824,4.55,46,0.25,2,0.01,49,0.27,46,0.25,2,0.01,1,0.01,63,0.35,-,-,21,0.62,-,-,-,-,7,0.5,-,-,28,2
Mie,1697,23.57,10,,11,0.24,63,1.4,294,6.53,10,0.22,1,0.02,29,0.64,18,0.4,-,-,-,-,9,0.2,-,-,1,0.08,-,-,-,-,5,0.56,2,0.22,-,-
Shiga,1119,21.11,1,,3,0.09,26,0.81,241,7.53,14,0.44,-,-,7,0.22,14,0.44,-,-,-,-,12,0.38,-,-,-,-,-,-,-,-,3,0.43,-,-,6,0.86
Kyoto,2410,19.75,7,,14,0.19,110,1.49,435,5.88,17,0.23,2,0.03,17,0.23,24,0.32,-,-,6,0.08,73,0.99,-,-,3,0.18,-,-,-,-,7,1,-,-,3,0.43
Osaka,5127,16.7,43,,57,0.29,409,2.05,1519,7.6,50,0.25,7,0.04,63,0.32,66,0.33,4,0.02,8,0.04,149,0.75,1,0.02,7,0.13,1,0.06,-,-,8,0.47,-,-,18,1.06
Hyogo,4190,21.06,13,,53,0.41,221,1.71,878,6.81,34,0.26,1,0.01,57,0.44,35,0.27,1,0.01,2,0.02,101,0.78,1,0.03,8,0.23,-,-,-,-,3,0.27,-,-,8,0.73
Nara,1032,19.11,3,,10,0.29,62,1.82,154,4.53,12,0.35,-,-,11,0.32,16,0.47,-,-,-,-,40,1.18,-,-,1,0.11,-,-,1,0.17,1,0.17,-,-,5,0.83
Wakayama,809,16.18,3,,6,0.19,23,0.74,147,4.74,15,0.48,-,-,20,0.65,9,0.29,-,-,-,-,12,0.39,-,-,1,0.25,-,-,1,0.09,-,-,-,-,9,0.82
Tottori,715,24.66,2,,12,0.63,162,8.53,103,5.42,3,0.16,-,-,15,0.79,1,0.05,-,-,1,0.05,-,-,-,-,2,0.67,-,-,-,-,4,0.8,-,-,3,0.6
Shimane,646,17,3,,17,0.74,66,2.87,282,12.26,10,0.43,2,0.09,6,0.26,9,0.39,-,-,3,0.13,12,0.52,-,-,-,-,-,-,-,-,3,0.38,-,-,14,1.75
Okayama,1307,15.56,8,,12,0.22,77,1.43,339,6.28,9,0.17,1,0.02,34,0.63,13,0.24,-,-,4,0.07,58,1.07,-,-,5,0.42,-,-,-,-,-,-,-,-,-,-
Hiroshima,1803,15.82,17,,30,0.42,143,2.01,564,7.94,19,0.27,2,0.03,53,0.75,17,0.24,1,0.01,5,0.07,28,0.39,2,0.11,7,0.37,-,-,1,0.05,4,0.19,-,-,22,1.05
Yamaguchi,1800,26.09,39,,20,0.42,128,2.67,371,7.73,8,0.17,-,-,29,0.6,17,0.35,-,-,-,-,29,0.6,-,-,1,0.11,-,-,-,-,10,1.11,-,-,5,0.56
Tokushima,984,25.89,16,,15,0.65,31,1.35,191,8.3,7,0.3,-,-,7,0.3,13,0.57,-,-,-,-,4,0.17,-,-,2,0.5,-,-,-,-,-,-,-,-,3,0.43
Kagawa,893,19,4,,18,0.64,44,1.57,277,9.89,4,0.14,-,-,10,0.36,11,0.39,1,0.04,-,-,13,0.46,-,-,1,0.2,-,-,-,-,-,-,-,-,7,1.4
Ehime,2175,35.66,16,,10,0.27,114,3.08,297,8.03,8,0.22,2,0.05,17,0.46,19,0.51,-,-,-,-,6,0.16,-,-,10,1.25,-,-,-,-,3,0.5,-,-,3,0.5
Kochi,1478,30.79,28,,2,0.07,76,2.53,242,8.07,4,0.13,-,-,2,0.07,5,0.17,1,0.03,1,0.03,12,0.4,-,-,-,-,-,-,-,-,1,0.13,1,0.13,43,5.38
Fukuoka,5493,28.31,101,,67,0.57,437,3.7,991,8.4,53,0.45,1,0.01,60,0.51,68,0.58,1,0.01,4,0.03,104,0.88,3,0.12,27,1.04,2,0.14,-,-,9,0.64,-,-,-,-
Saga,869,22.28,21,,20,0.87,32,1.39,155,6.74,9,0.39,-,-,14,0.61,14,0.61,1,0.04,-,-,60,2.61,-,-,1,0.25,-,-,-,-,1,0.17,-,-,2,0.33
Nagasaki,1326,18.94,25,,25,0.57,89,2.02,174,3.95,12,0.27,2,0.05,14,0.32,8,0.18,-,-,-,-,44,1,-,-,17,2.13,-,-,2,0.17,3,0.25,-,-,1,0.08
Kumamoto,1672,20.9,39,,30,0.6,76,1.52,464,9.28,9,0.18,3,0.06,52,1.04,25,0.5,-,-,5,0.1,93,1.86,-,-,12,1.33,-,-,2,0.13,12,0.8,-,-,7,0.47
Oita,1112,19.17,45,,14,0.39,122,3.39,482,13.39,14,0.39,1,0.03,20,0.56,18,0.5,2,0.06,-,-,16,0.44,1,0.2,5,1,-,-,-,-,3,0.27,-,-,-,-
Miyazaki,1664,28.2,32,,17,0.47,81,2.25,402,11.17,10,0.28,4,0.11,26,0.72,29,0.81,-,-,-,-,98,2.72,-,-,14,2.33,-,-,1,0.14,2,0.29,-,-,4,0.57
