"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"17th week, 2016",,,,,,"Data collected as of May 9, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,12362,2.51,487,,1265,0.4,7574,2.41,18803,5.98,1121,0.36,176,0.06,1069,0.34,1738,0.55,55,0.02,167,0.05,2516,0.8,13,0.02,471,0.68,8,0.02,14,0.03,224,0.47,5,0.01,290,0.61
Hokkaido,1164,5.15,12,,54,0.38,639,4.5,491,3.46,34,0.24,3,0.02,71,0.5,34,0.24,6,0.04,-,-,153,1.08,-,-,8,0.29,-,-,-,-,10,0.43,-,-,14,0.61
Aomori,400,6.15,6,,14,0.33,72,1.71,163,3.88,6,0.14,-,-,15,0.36,22,0.52,1,0.02,-,-,18,0.43,-,-,2,0.18,-,-,-,-,3,0.5,-,-,2,0.33
Iwate,578,9.03,4,,9,0.23,102,2.55,288,7.2,15,0.38,3,0.08,10,0.25,15,0.38,-,-,3,0.08,19,0.48,-,-,6,0.43,-,-,-,-,7,0.37,-,-,15,0.79
Miyagi,590,6.15,5,,18,0.3,186,3.1,365,6.08,25,0.42,3,0.05,4,0.07,33,0.55,-,-,-,-,25,0.42,-,-,3,0.25,-,-,-,-,10,0.83,-,-,-,-
Akita,595,11.02,1,,9,0.26,35,1,124,3.54,8,0.23,1,0.03,38,1.09,7,0.2,4,0.11,-,-,1,0.03,-,-,4,0.57,-,-,-,-,3,0.38,-,-,4,0.5
Yamagata,285,5.94,1,,16,0.53,137,4.57,164,5.47,6,0.2,2,0.07,27,0.9,17,0.57,1,0.03,1,0.03,92,3.07,-,-,-,-,-,-,-,-,4,0.4,-,-,-,-
Fukushima,506,6.57,3,,30,0.65,83,1.8,207,4.5,19,0.41,3,0.07,32,0.7,36,0.78,1,0.02,-,-,5,0.11,-,-,15,1.25,-,-,-,-,2,0.29,-,-,1,0.14
Ibaraki,220,1.83,5,,15,0.2,155,2.07,401,5.35,32,0.43,5,0.07,19,0.25,34,0.45,-,-,3,0.04,67,0.89,-,-,17,1,-,-,-,-,5,0.38,-,-,2,0.15
