"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21st week, 2016",,,,,,"Data collected as of June 1, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1424,0.29,342,,2316,0.73,9371,2.97,19867,6.29,1770,0.56,568,0.18,1341,0.42,2039,0.65,70,0.02,775,0.25,2676,0.85,11,0.02,446,0.65,8,0.02,27,0.06,265,0.56,6,0.01,143,0.3
Hokkaido,110,0.49,20,,110,0.77,702,4.94,628,4.42,108,0.76,5,0.04,55,0.39,57,0.4,3,0.02,2,0.01,159,1.12,-,-,5,0.18,-,-,4,0.17,71,3.09,-,-,23,1
Aomori,58,0.89,1,,24,0.57,62,1.48,290,6.9,30,0.71,-,-,22,0.52,20,0.48,-,-,4,0.1,15,0.36,-,-,1,0.09,-,-,1,0.17,5,0.83,-,-,15,2.5
Iwate,56,0.88,-,,29,0.73,130,3.25,273,6.83,22,0.55,2,0.05,6,0.15,14,0.35,1,0.03,-,-,25,0.63,1,0.07,5,0.36,-,-,-,-,11,0.58,-,-,5,0.26
Miyagi,55,0.58,2,,35,0.59,222,3.76,424,7.19,29,0.49,3,0.05,25,0.42,50,0.85,-,-,2,0.03,20,0.34,-,-,3,0.25,-,-,-,-,5,0.42,-,-,-,-
Akita,73,1.35,3,,14,0.4,45,1.29,132,3.77,20,0.57,1,0.03,23,0.66,12,0.34,6,0.17,4,0.11,2,0.06,-,-,3,0.43,-,-,-,-,3,0.38,-,-,6,0.75
Yamagata,29,0.6,-,,34,1.13,120,4,223,7.43,15,0.5,3,0.1,39,1.3,28,0.93,-,-,1,0.03,54,1.8,-,-,-,-,1,0.1,-,-,1,0.1,-,-,1,0.1
Fukushima,92,1.19,6,,46,1,100,2.17,224,4.87,28,0.61,2,0.04,38,0.83,42,0.91,1,0.02,1,0.02,10,0.22,-,-,9,0.75,-,-,-,-,2,0.29,-,-,13,1.86
Ibaraki,13,0.11,2,,41,0.55,151,2.01,358,4.77,31,0.41,8,0.11,27,0.36,32,0.43,1,0.01,6,0.08,46,0.61,-,-,16,0.94,-,-,-,-,6,0.46,-,-,1,0.08
Tochigi,4,0.05,-,,19,0.4,104,2.17,106,2.21,22,0.46,2,0.04,58,1.21,35,0.73,1,0.02,1,0.02,26,0.54,-,-,8,0.67,-,-,-,-,1,0.14,-,-,1,0.14
Gunma,10,0.11,-,,28,0.48,187,3.22,341,5.88,35,0.6,-,-,53,0.91,38,0.66,4,0.07,2,0.03,23,0.4,-,-,8,0.57,-,-,-,-,3,0.38,-,-,4,0.5
