"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39th week, 2016",,,,,,"Data collected as of October 5, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,795,0.16,5463,,868,0.28,4724,1.5,11469,3.64,894,0.28,3410,1.08,472,0.15,1558,0.49,80,0.03,3084,0.98,3790,1.2,19,0.03,701,1.01,10,0.02,34,0.07,556,1.18,9,0.02,6,0.01
Hokkaido,3,0.01,169,,13,0.09,316,2.23,150,1.06,41,0.29,66,0.46,6,0.04,47,0.33,1,0.01,236,1.66,132,0.93,-,-,15,0.54,1,0.04,1,0.04,61,2.65,-,-,1,0.04
Aomori,1,0.02,60,,-,-,54,1.29,70,1.67,4,0.1,19,0.45,7,0.17,11,0.26,-,-,74,1.76,10,0.24,-,-,5,0.45,-,-,1,0.17,14,2.33,-,-,-,-
Iwate,2,0.03,86,,10,0.25,58,1.45,99,2.48,5,0.13,21,0.53,6,0.15,16,0.4,-,-,86,2.15,25,0.63,-,-,3,0.21,-,-,-,-,23,1.21,-,-,-,-
Miyagi,3,0.03,229,,1,0.02,93,1.58,136,2.31,10,0.17,171,2.9,5,0.08,28,0.47,-,-,182,3.08,7,0.12,-,-,2,0.17,-,-,-,-,14,1.17,-,-,-,-
Akita,-,-,44,,4,0.11,41,1.17,51,1.46,5,0.14,14,0.4,1,0.03,11,0.31,4,0.11,65,1.86,9,0.26,-,-,-,-,-,-,-,-,7,0.88,-,-,-,-
Yamagata,-,-,101,,2,0.07,76,2.62,55,1.9,7,0.24,20,0.69,2,0.07,14,0.48,1,0.03,153,5.28,61,2.1,1,0.13,1,0.13,-,-,1,0.1,2,0.2,-,-,-,-
Fukushima,4,0.05,122,,5,0.11,53,1.15,71,1.54,6,0.13,32,0.7,12,0.26,26,0.57,1,0.02,109,2.37,18,0.39,-,-,9,0.75,-,-,-,-,9,1.29,-,-,-,-
Ibaraki,33,0.28,136,,8,0.11,96,1.28,269,3.59,15,0.2,144,1.92,2,0.03,20,0.27,-,-,57,0.76,30,0.4,2,0.12,26,1.53,-,-,-,-,21,1.62,-,-,-,-
Tochigi,11,0.14,103,,3,0.06,37,0.77,67,1.4,8,0.17,61,1.27,19,0.4,21,0.44,-,-,51,1.06,27,0.56,-,-,22,1.83,-,-,1,0.14,8,1.14,-,-,1,0.14
Gunma,13,0.14,156,,20,0.34,111,1.91,187,3.22,7,0.12,37,0.64,19,0.33,20,0.34,-,-,74,1.28,55,0.95,-,-,16,1.14,-,-,-,-,15,1.88,-,-,-,-
Saitama,33,0.13,309,,40,0.25,260,1.63,620,3.88,54,0.34,239,1.49,17,0.11,85,0.53,3,0.02,159,0.99,159,0.99,1,0.03,35,0.88,-,-,-,-,8,0.8,1,0.1,-,-
Chiba,38,0.18,308,,19,0.14,337,2.5,382,2.83,37,0.27,363,2.69,21,0.16,72,0.53,2,0.01,146,1.08,83,0.61,1,0.03,17,0.49,1,0.11,4,0.44,11,1.22,-,-,-,-
Tokyo,61,0.15,665,,68,0.26,414,1.6,1087,4.2,84,0.32,461,1.78,19,0.07,143,0.55,-,-,329,1.27,221,0.85,-,-,30,0.77,1,0.04,3,0.12,28,1.12,2,0.08,-,-
Kanagawa,51,0.16,373,,51,0.24,287,1.36,790,3.74,66,0.31,313,1.48,23,0.11,131,0.62,6,0.03,204,0.97,220,1.04,5,0.1,96,1.92,1,0.1,3,0.3,7,0.7,-,-,-,-
