"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6th week, 2017",,,,,,"Data collected as of February 15, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,141666,28.57,788,,967,0.31,6852,2.17,15838,5.01,879,0.28,432,0.14,188,0.06,1039,0.33,17,0.01,52,0.02,1677,0.53,6,0.01,283,0.41,9,0.02,13,0.03,199,0.42,7,0.01,49,0.1
Hokkaido,4504,19.93,55,,43,0.3,543,3.82,431,3.04,43,0.3,2,0.01,12,0.08,47,0.33,4,0.03,-,-,60,0.42,-,-,6,0.21,-,-,-,-,3,0.13,-,-,-,-
Aomori,1962,30.18,8,,8,0.19,69,1.64,182,4.33,7,0.17,10,0.24,4,0.1,18,0.43,-,-,3,0.07,7,0.17,-,-,5,0.45,-,-,-,-,2,0.33,-,-,-,-
Iwate,1441,22.17,1,,17,0.43,129,3.23,214,5.35,5,0.13,-,-,-,-,13,0.33,-,-,-,-,19,0.48,-,-,3,0.21,-,-,-,-,5,0.26,-,-,1,0.05
Miyagi,2529,26.62,9,,10,0.17,184,3.12,156,2.64,13,0.22,-,-,1,0.02,24,0.41,-,-,-,-,10,0.17,-,-,2,0.17,-,-,-,-,8,0.67,-,-,1,0.08
Akita,1440,26.67,8,,4,0.11,68,1.94,97,2.77,8,0.23,11,0.31,2,0.06,10,0.29,-,-,-,-,1,0.03,-,-,-,-,-,-,-,-,3,0.38,-,-,-,-
Yamagata,934,19.46,2,,7,0.23,135,4.5,87,2.9,21,0.7,-,-,3,0.1,9,0.3,-,-,-,-,24,0.8,-,-,1,0.13,-,-,1,0.1,3,0.3,-,-,-,-
Fukushima,1947,25.29,8,,14,0.3,110,2.39,187,4.07,10,0.22,1,0.02,9,0.2,22,0.48,-,-,1,0.02,7,0.15,-,-,6,0.5,1,0.14,-,-,6,0.86,-,-,13,1.86
Ibaraki,2991,24.93,3,,19,0.25,198,2.64,257,3.43,27,0.36,9,0.12,1,0.01,15,0.2,-,-,-,-,19,0.25,-,-,11,0.65,-,-,-,-,1,0.08,-,-,-,-
Tochigi,1755,23.09,10,,8,0.17,53,1.1,130,2.71,10,0.21,1,0.02,-,-,14,0.29,-,-,-,-,6,0.13,-,-,3,0.25,-,-,-,-,7,1,-,-,1,0.14
Gunma,2273,23.93,4,,19,0.33,154,2.66,305,5.26,17,0.29,23,0.4,4,0.07,17,0.29,-,-,3,0.05,19,0.33,-,-,7,0.5,-,-,-,-,4,0.5,-,-,2,0.25
Saitama,8856,35.14,25,,31,0.2,340,2.15,760,4.81,56,0.35,14,0.09,7,0.04,47,0.3,-,-,-,-,67,0.42,3,0.08,10,0.25,-,-,-,-,6,0.6,2,0.2,2,0.2
