"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13th week, 2017",,,,,,"Data collected as of April 5, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,33608,6.78,648,,984,0.31,6269,1.98,17034,5.38,1122,0.35,396,0.13,225,0.07,1262,0.4,21,0.01,79,0.02,1821,0.58,2,0,367,0.53,11,0.02,12,0.03,123,0.26,2,0,293,0.61
Hokkaido,2114,9.35,58,,55,0.39,507,3.57,283,1.99,61,0.43,12,0.08,11,0.08,35,0.25,1,0.01,1,0.01,69,0.49,-,-,9,0.32,-,-,-,-,6,0.26,-,-,1,0.04
Aomori,526,8.09,6,,9,0.21,93,2.21,115,2.74,10,0.24,8,0.19,7,0.17,18,0.43,-,-,4,0.1,14,0.33,-,-,1,0.09,-,-,-,-,1,0.17,-,-,4,0.67
Iwate,524,8.19,3,,36,0.92,88,2.26,110,2.82,9,0.23,-,-,4,0.1,18,0.46,-,-,-,-,37,0.95,-,-,6,0.43,-,-,-,-,4,0.21,-,-,1,0.05
Miyagi,693,7.29,7,,22,0.37,114,1.93,229,3.88,36,0.61,1,0.02,3,0.05,29,0.49,1,0.02,-,-,6,0.1,-,-,3,0.25,-,-,-,-,2,0.17,-,-,2,0.17
Akita,457,8.46,5,,2,0.06,48,1.37,65,1.86,7,0.2,23,0.66,-,-,9,0.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,0.63,-,-,4,0.5
Yamagata,299,6.23,2,,10,0.33,174,5.8,115,3.83,14,0.47,1,0.03,4,0.13,17,0.57,-,-,-,-,8,0.27,-,-,3,0.38,-,-,-,-,4,0.4,-,-,8,0.8
Fukushima,985,12.79,8,,12,0.26,89,1.93,153,3.33,16,0.35,-,-,4,0.09,26,0.57,1,0.02,-,-,6,0.13,-,-,4,0.33,-,-,-,-,-,-,-,-,13,1.86
Ibaraki,755,6.29,8,,12,0.16,161,2.15,310,4.13,14,0.19,2,0.03,3,0.04,12,0.16,1,0.01,1,0.01,7,0.09,-,-,20,1.18,-,-,-,-,2,0.15,-,-,9,0.69
Tochigi,661,8.7,3,,6,0.13,41,0.85,167,3.48,24,0.5,-,-,2,0.04,18,0.38,-,-,-,-,7,0.15,-,-,14,1.17,-,-,1,0.14,1,0.14,-,-,13,1.86
Gunma,670,7.05,4,,10,0.17,151,2.6,405,6.98,8,0.14,2,0.03,9,0.16,29,0.5,-,-,-,-,40,0.69,-,-,3,0.21,-,-,-,-,3,0.38,-,-,35,4.38
Saitama,2047,8.09,18,,29,0.18,370,2.3,1037,6.44,73,0.45,7,0.04,6,0.04,76,0.47,1,0.01,3,0.02,64,0.4,-,-,25,0.61,-,-,-,-,2,0.2,-,-,14,1.4
Chiba,1434,6.73,23,,15,0.11,341,2.54,839,6.26,64,0.48,4,0.03,8,0.06,50,0.37,1,0.01,5,0.04,27,0.2,-,-,37,1.06,3,0.33,-,-,7,0.78,-,-,8,0.89
Tokyo,2635,6.32,34,,56,0.21,494,1.88,1821,6.92,107,0.41,24,0.09,25,0.1,119,0.45,2,0.01,1,0,66,0.25,-,-,11,0.28,1,0.04,2,0.08,6,0.24,1,0.04,13,0.52
Kanagawa,2245,6.6,16,,27,0.13,368,1.71,1281,5.96,89,0.41,4,0.02,17,0.08,75,0.35,-,-,2,0.01,93,0.43,1,0.02,64,1.31,-,-,-,-,2,0.17,-,-,17,1.42
Niigata,948,10.3,6,,41,0.71,139,2.4,229,3.95,10,0.17,2,0.03,13,0.22,19,0.33,-,-,1,0.02,103,1.78,-,-,5,0.5,2,0.15,-,-,3,0.23,1,0.08,4,0.31
Toyama,228,4.75,6,,8,0.28,53,1.83,123,4.24,14,0.48,2,0.07,-,-,11,0.38,-,-,-,-,45,1.55,-,-,16,2.29,-,-,1,0.2,3,0.6,-,-,4,0.8
Ishikawa,542,11.29,21,,10,0.34,64,2.21,151,5.21,10,0.34,3,0.1,2,0.07,9,0.31,-,-,-,-,2,0.07,-,-,2,0.29,1,0.2,-,-,5,1,-,-,2,0.4
Fukui,370,11.56,1,,8,0.36,56,2.55,127,5.77,9,0.41,2,0.09,-,-,8,0.36,-,-,-,-,7,0.32,-,-,-,-,-,-,-,-,-,-,-,-,3,0.5
Yamanashi,167,4.07,-,,7,0.29,42,1.75,111,4.63,10,0.42,-,-,2,0.08,6,0.25,-,-,-,-,9,0.38,-,-,2,0.22,-,-,-,-,1,0.1,-,-,3,0.3
Nagano,524,6.02,1,,-,-,62,1.15,271,5.02,4,0.07,-,-,1,0.02,18,0.33,1,0.02,-,-,99,1.83,-,-,3,0.27,-,-,-,-,4,0.36,-,-,4,0.36
Gifu,458,5.26,7,,10,0.19,37,0.7,173,3.26,13,0.25,1,0.02,1,0.02,15,0.28,-,-,-,-,54,1.02,-,-,2,0.18,-,-,2,0.4,5,1,-,-,2,0.4
Shizuoka,780,5.61,7,,25,0.28,196,2.2,512,5.75,28,0.31,12,0.13,11,0.12,25,0.28,-,-,1,0.01,32,0.36,-,-,10,0.45,-,-,1,0.1,1,0.1,-,-,5,0.5
Aichi,990,5.08,19,,42,0.23,248,1.36,718,3.95,42,0.23,30,0.16,5,0.03,69,0.38,-,-,3,0.02,45,0.25,-,-,7,0.2,-,-,-,-,6,0.4,-,-,13,0.87
Mie,306,4.25,18,,24,0.53,53,1.18,214,4.76,8,0.18,5,0.11,2,0.04,18,0.4,-,-,1,0.02,12,0.27,-,-,-,-,-,-,1,0.11,4,0.44,-,-,1,0.11
Shiga,216,4.08,3,,8,0.25,40,1.25,141,4.41,13,0.41,4,0.13,1,0.03,6,0.19,-,-,5,0.16,27,0.84,-,-,-,-,-,-,-,-,1,0.14,-,-,-,-
Kyoto,492,3.94,6,,24,0.32,72,0.95,352,4.63,21,0.28,21,0.28,5,0.07,17,0.22,-,-,3,0.04,36,0.47,-,-,7,0.39,-,-,-,-,2,0.29,-,-,1,0.14
Osaka,756,2.45,59,,88,0.44,331,1.65,1068,5.31,63,0.31,37,0.18,8,0.04,78,0.39,3,0.01,12,0.06,127,0.63,-,-,12,0.23,4,0.24,-,-,9,0.53,-,-,6,0.35
Hyogo,846,4.27,26,,61,0.48,178,1.39,860,6.72,52,0.41,4,0.03,15,0.12,41,0.32,-,-,1,0.01,83,0.65,1,0.03,14,0.4,-,-,1,0.08,4,0.33,-,-,10,0.83
Nara,125,2.31,22,,19,0.56,63,1.85,119,3.5,8,0.24,3,0.09,1,0.03,17,0.5,-,-,1,0.03,20,0.59,-,-,6,0.6,-,-,-,-,2,0.33,-,-,2,0.33
Wakayama,148,2.96,10,,5,0.16,22,0.71,112,3.61,3,0.1,-,-,1,0.03,14,0.45,-,-,1,0.03,56,1.81,-,-,2,0.5,-,-,-,-,4,0.36,-,-,2,0.18
Tottori,232,8,-,,15,0.79,91,4.79,112,5.89,9,0.47,1,0.05,1,0.05,12,0.63,-,-,5,0.26,29,1.53,-,-,2,0.4,-,-,2,0.4,-,-,-,-,8,1.6
Shimane,295,7.76,-,,5,0.22,61,2.65,93,4.04,3,0.13,1,0.04,9,0.39,13,0.57,-,-,-,-,41,1.78,-,-,-,-,-,-,-,-,1,0.13,-,-,2,0.25
Okayama,445,5.3,1,,24,0.44,37,0.69,263,4.87,11,0.2,13,0.24,-,-,14,0.26,1,0.02,1,0.02,21,0.39,-,-,7,0.58,-,-,-,-,-,-,-,-,-,-
Hiroshima,475,4.17,14,,29,0.41,145,2.04,329,4.63,14,0.2,27,0.38,4,0.06,24,0.34,-,-,4,0.06,41,0.58,-,-,9,0.47,-,-,-,-,2,0.1,-,-,7,0.33
Yamaguchi,301,4.43,19,,20,0.42,111,2.31,198,4.13,13,0.27,15,0.31,7,0.15,28,0.58,2,0.04,2,0.04,106,2.21,-,-,4,0.44,-,-,-,-,2,0.22,-,-,5,0.56
Tokushima,136,3.68,5,,3,0.13,35,1.52,101,4.39,1,0.04,-,-,-,-,17,0.74,-,-,-,-,32,1.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kagawa,134,2.85,6,,15,0.54,42,1.5,278,9.93,7,0.25,3,0.11,1,0.04,16,0.57,-,-,2,0.07,25,0.89,-,-,1,0.2,-,-,-,-,2,0.4,-,-,17,3.4
Ehime,389,6.38,2,,6,0.16,86,2.32,269,7.27,9,0.24,8,0.22,4,0.11,16,0.43,-,-,3,0.08,80,2.16,-,-,9,1.13,-,-,-,-,3,0.5,-,-,2,0.33
Kochi,325,6.77,6,,5,0.17,62,2.07,108,3.6,14,0.47,1,0.03,3,0.1,11,0.37,1,0.03,-,-,7,0.23,-,-,-,-,-,-,-,-,1,0.13,-,-,-,-
Fukuoka,1952,9.86,48,,57,0.48,339,2.83,1188,9.9,63,0.53,31,0.26,9,0.08,72,0.6,4,0.03,4,0.03,78,0.65,-,-,17,0.65,-,-,-,-,4,0.27,-,-,4,0.27
Saga,496,12.72,4,,13,0.57,54,2.35,176,7.65,13,0.57,2,0.09,1,0.04,24,1.04,-,-,-,-,6,0.26,-,-,1,0.25,-,-,-,-,-,-,-,-,11,1.83
Nagasaki,1094,15.63,19,,7,0.16,130,2.95,143,3.25,8,0.18,7,0.16,-,-,19,0.43,-,-,-,-,17,0.39,-,-,1,0.13,-,-,-,-,3,0.25,-,-,3,0.25
Kumamoto,827,10.34,10,,18,0.36,98,1.96,285,5.7,19,0.38,16,0.32,5,0.1,29,0.58,-,-,7,0.14,23,0.46,-,-,5,0.56,-,-,-,-,-,-,-,-,4,0.27
Oita,408,7.03,-,,10,0.28,118,3.28,300,8.33,21,0.58,-,-,2,0.06,23,0.64,-,-,1,0.03,20,0.56,-,-,4,0.8,-,-,-,-,5,0.45,-,-,3,0.27
Miyazaki,859,14.56,19,,19,0.53,63,1.75,352,9.78,15,0.42,39,1.08,5,0.14,23,0.64,-,-,3,0.08,6,0.17,-,-,6,1.2,-,-,-,-,-,-,-,-,2,0.29
Kagoshima,551,5.92,55,,42,0.76,63,1.15,467,8.49,29,0.53,12,0.22,1,0.02,12,0.22,-,-,1,0.02,85,1.55,-,-,7,1,-,-,-,-,-,-,-,-,9,0.75
Okinawa,748,12.9,33,,15,0.44,39,1.15,161,4.74,33,0.97,6,0.18,2,0.06,7,0.21,1,0.03,-,-,3,0.09,-,-,6,0.67,-,-,1,0.14,1,0.14,-,-,12,1.71
