"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21st week, 2017",,,,,,"Data collected as of May 31, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,3344,0.68,698,,2867,0.91,10334,3.26,22877,7.23,1626,0.51,3077,0.97,330,0.1,1846,0.58,28,0.01,739,0.23,1471,0.46,10,0.01,605,0.87,7,0.01,18,0.04,115,0.24,3,0.01,200,0.42
Hokkaido,314,1.4,132,,260,1.84,697,4.94,574,4.07,94,0.67,14,0.1,3,0.02,54,0.38,2,0.01,17,0.12,55,0.39,-,-,10,0.34,-,-,-,-,3,0.13,-,-,10,0.43
Aomori,70,1.08,3,,16,0.38,77,1.83,239,5.69,33,0.79,8,0.19,11,0.26,28,0.67,-,-,5,0.12,15,0.36,-,-,4,0.36,-,-,-,-,10,1.67,-,-,1,0.17
Iwate,213,3.33,3,,59,1.51,111,2.85,344,8.82,19,0.49,1,0.03,8,0.21,22,0.56,-,-,2,0.05,28,0.72,-,-,3,0.21,2,0.11,-,-,9,0.47,-,-,11,0.58
Miyagi,134,1.41,16,,65,1.1,231,3.92,544,9.22,23,0.39,11,0.19,8,0.14,44,0.75,-,-,4,0.07,10,0.17,-,-,6,0.5,-,-,-,-,6,0.5,-,-,1,0.08
Akita,28,0.52,-,,18,0.51,37,1.06,248,7.09,20,0.57,44,1.26,-,-,11,0.31,2,0.06,2,0.06,4,0.11,-,-,2,0.29,-,-,-,-,6,0.75,-,-,4,0.5
Yamagata,86,1.79,5,,29,0.97,190,6.33,291,9.7,14,0.47,7,0.23,19,0.63,24,0.8,2,0.07,1,0.03,6,0.2,-,-,-,-,-,-,-,-,4,0.4,-,-,2,0.2
Fukushima,114,1.48,16,,28,0.61,149,3.24,258,5.61,32,0.7,3,0.07,7,0.15,35,0.76,1,0.02,3,0.07,13,0.28,-,-,14,1.17,-,-,-,-,-,-,-,-,6,0.86
Ibaraki,23,0.19,6,,63,0.84,246,3.28,334,4.45,29,0.39,6,0.08,5,0.07,26,0.35,-,-,1,0.01,10,0.13,-,-,24,1.41,-,-,-,-,-,-,-,-,4,0.31
Tochigi,23,0.3,14,,38,0.79,108,2.25,148,3.08,27,0.56,3,0.06,4,0.08,21,0.44,-,-,2,0.04,13,0.27,-,-,14,1.17,-,-,-,-,2,0.29,-,-,1,0.14
Gunma,38,0.4,3,,37,0.64,198,3.41,456,7.86,14,0.24,18,0.31,13,0.22,29,0.5,1,0.02,3,0.05,29,0.5,-,-,17,1.21,-,-,-,-,5,0.63,-,-,8,1
Saitama,92,0.36,20,,144,0.88,706,4.33,1346,8.26,80,0.49,67,0.41,19,0.12,108,0.66,-,-,22,0.13,78,0.48,3,0.08,39,0.98,-,-,-,-,3,0.3,1,0.1,5,0.5
