"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37th week, 2017",,,,,,"Data collected as of September 20, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1368583,276.93,83328,26.39,63988,20.27,262236,83.06,631144,199.92,40299,12.76,288682,91.44,9305,2.95,53871,17.06,1134,0.36,72674,23.02,63290,20.05,328,0.47,18122,26.11,369,0.77,710,1.49,5604,11.75,189,0.4,4860,10.19
Hokkaido,49345,220.29,4444,31.52,5810,41.21,17747,125.87,13738,97.43,2091,14.83,12183,86.4,216,1.53,1510,10.71,64,0.45,2588,18.35,1666,11.82,11,0.39,418,14.93,6,0.26,41,1.78,186,8.09,-,-,205,8.91
Aomori,15405,240.7,654,15.95,480,11.71,2485,60.61,6554,159.85,363,8.85,2760,67.32,194,4.73,688,16.78,5,0.12,688,16.78,677,16.51,4,0.36,103,9.36,10,1.67,6,1,147,24.5,-,-,74,12.33
Iwate,14566,227.59,995,25.51,1003,25.72,3864,99.08,7124,182.67,318,8.15,2226,57.08,231,5.92,660,16.92,5,0.13,662,16.97,1369,35.1,5,0.36,172,12.29,7,0.37,8,0.42,228,12,4,0.21,108,5.68
Miyagi,27228,286.61,1804,30.58,1375,23.31,5612,95.12,10751,182.22,796,13.49,5562,94.27,163,2.76,1227,20.8,10,0.17,862,14.61,493,8.36,-,-,109,9.08,3,0.25,1,0.08,191,15.92,-,-,51,4.25
Akita,13141,243.35,573,16.37,382,10.91,1682,48.06,3947,112.77,419,11.97,1838,52.51,43,1.23,324,9.26,15,0.43,589,16.83,132,3.77,9,1.29,50,7.14,1,0.13,-,-,284,35.5,3,0.38,56,7
Yamagata,11418,242.94,1140,39.31,693,23.9,5292,182.48,5612,193.52,455,15.69,2822,97.31,536,18.48,699,24.1,23,0.79,1134,39.1,512,17.66,-,-,93,11.63,2,0.2,7,0.7,158,15.8,-,-,78,7.8
Fukushima,23768,308.68,2055,44.67,602,13.09,4060,88.26,6346,137.96,802,17.43,3524,76.61,328,7.13,1075,23.37,9,0.2,699,15.2,702,15.26,1,0.08,411,34.25,7,1,16,2.29,86,12.29,4,0.57,218,31.14
Ibaraki,31016,258.47,1202,16.03,1199,15.99,6723,89.64,12125,161.67,886,11.81,5301,70.68,162,2.16,833,11.11,22,0.29,1151,15.35,571,7.61,6,0.35,684,40.24,2,0.15,-,-,98,7.54,-,-,122,9.38
Tochigi,17734,233.34,861,17.94,679,14.15,2300,47.92,4523,94.23,625,13.02,3502,72.96,76,1.58,869,18.1,2,0.04,479,9.98,494,10.29,-,-,400,33.33,4,0.57,7,1,96,13.71,2,0.29,89,12.71
Gunma,23708,252.21,1119,19.63,870,15.26,5794,101.65,12015,210.79,539,9.46,3815,66.93,338,5.93,1018,17.86,4,0.07,1561,27.39,1506,26.42,2,0.15,411,31.62,2,0.25,5,0.63,205,25.63,-,-,316,39.5
Saitama,85038,338.8,3965,24.94,3698,23.26,16491,103.72,35696,224.5,2519,15.84,15817,99.48,595,3.74,3137,19.73,36,0.23,3519,22.13,2493,15.68,52,1.33,1305,33.46,11,1.1,26,2.6,95,9.5,10,1,111,11.1
Chiba,68764,322.84,2115,15.78,2578,19.24,14757,110.13,24308,181.4,1769,13.2,9554,71.3,316,2.36,2240,16.72,42,0.31,4521,33.74,1301,9.71,26,0.76,1075,31.62,19,2.11,26,2.89,146,16.22,1,0.11,102,11.33
Tokyo,107892,262.51,6452,24.91,5174,19.98,20427,78.87,57994,223.92,3272,12.63,25932,100.12,981,3.79,5146,19.87,73,0.28,5442,21.01,2348,9.07,10,0.26,823,21.66,29,1.16,28,1.12,161,6.44,34,1.36,232,9.28
Kanagawa,97918,287.15,4777,22.32,2969,13.87,17522,81.88,41911,195.85,3220,15.05,20921,97.76,668,3.12,4039,18.87,33,0.15,5002,23.37,3383,15.81,31,0.62,2732,54.64,7,0.7,25,2.5,94,9.4,-,-,213,21.3
Niigata,26128,290.31,2593,45.49,1483,26.02,4941,86.68,12200,214.04,708,12.42,7380,129.47,246,4.32,909,15.95,43,0.75,1207,21.18,3647,63.98,13,1.3,310,31,10,0.77,14,1.08,183,14.08,26,2,79,6.08
Toyama,10676,222.42,1102,38,554,19.1,1758,60.62,6662,229.72,268,9.24,2732,94.21,26,0.9,399,13.76,2,0.07,494,17.03,1073,37,5,0.71,252,36,2,0.4,4,0.8,53,10.6,6,1.2,58,11.6
Ishikawa,16041,334.19,1005,34.66,712,24.55,2547,87.83,7872,271.45,411,14.17,3257,112.31,109,3.76,464,16,7,0.24,462,15.93,167,5.76,-,-,154,22,1,0.2,8,1.6,122,24.4,-,-,86,17.2
