"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39th week, 2017",,,,,,"Data collected as of October 4, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1370496,277.32,98438,31.18,66509,21.07,270887,85.81,649164,205.63,41665,13.2,304634,96.49,9598,3.04,56444,17.88,1191,0.38,76270,24.16,65503,20.75,335,0.48,19456,28.03,395,0.83,753,1.58,5924,12.42,199,0.42,4865,10.2
Hokkaido,49350,220.31,4717,33.69,6204,44.31,18330,130.93,14088,100.63,2151,15.36,12766,91.19,225,1.61,1593,11.38,68,0.49,2713,19.38,1691,12.08,11,0.39,450,16.07,8,0.35,49,2.13,196,8.52,-,-,205,8.91
Aomori,15407,240.73,759,18.51,488,11.9,2553,62.27,6713,163.73,373,9.1,2954,72.05,195,4.76,727,17.73,6,0.15,743,18.12,751,18.32,4,0.36,108,9.82,11,1.83,6,1,156,26,-,-,74,12.33
Iwate,14586,227.91,1123,28.79,1013,25.97,4000,102.56,7257,186.08,329,8.44,2513,64.44,255,6.54,694,17.79,8,0.21,723,18.54,1488,38.15,5,0.36,181,12.93,8,0.42,8,0.42,252,13.26,6,0.32,108,5.68
Miyagi,27308,287.45,2001,33.92,1398,23.69,5805,98.39,11143,188.86,813,13.78,6217,105.37,170,2.88,1268,21.49,10,0.17,925,15.68,523,8.86,-,-,115,9.58,5,0.42,1,0.08,211,17.58,-,-,51,4.25
Akita,13145,243.43,682,19.49,415,11.86,1721,49.17,4058,115.94,424,12.11,1901,54.31,43,1.23,338,9.66,15,0.43,642,18.34,142,4.06,9,1.29,54,7.71,1,0.13,-,-,320,40,3,0.38,56,7
Yamagata,11418,242.94,1390,47.93,735,25.34,5431,187.28,5698,196.48,473,16.31,3046,105.03,564,19.45,725,25,24,0.83,1173,40.45,532,18.34,-,-,123,15.38,3,0.3,8,0.8,168,16.8,-,-,78,7.8
Fukushima,23769,312.75,2299,51.09,608,13.51,4162,92.49,6461,143.58,813,18.07,4044,89.87,336,7.47,1138,25.29,10,0.22,742,16.49,767,17.04,2,0.17,433,36.08,7,1,16,2.29,92,13.14,6,0.86,218,31.14
Ibaraki,31031,258.59,1438,19.17,1241,16.55,6913,92.17,12595,167.93,920,12.27,6162,82.16,170,2.27,870,11.6,22,0.29,1253,16.71,595,7.93,6,0.35,728,42.82,2,0.15,-,-,105,8.08,-,-,122,9.38
Tochigi,17747,233.51,1085,22.6,697,14.52,2359,49.15,4637,96.6,635,13.23,3869,80.6,83,1.73,903,18.81,2,0.04,507,10.56,505,10.52,-,-,424,35.33,5,0.71,8,1.14,101,14.43,2,0.29,89,12.71
Gunma,23728,252.43,1401,24.58,920,16.14,5940,104.21,12289,215.6,552,9.68,3986,69.93,347,6.09,1060,18.6,4,0.07,1638,28.74,1557,27.32,2,0.15,451,34.69,2,0.25,5,0.63,220,27.5,-,-,316,39.5
Saitama,85112,339.09,4550,28.62,3863,24.3,17073,107.38,36802,231.46,2600,16.35,17390,109.37,617,3.88,3293,20.71,38,0.24,3858,24.26,2569,16.16,52,1.3,1444,36.1,12,1.2,29,2.9,103,10.3,10,1,111,11.1
Chiba,68841,323.2,2560,19.1,2640,19.7,15221,113.59,24946,186.16,1819,13.57,10625,79.29,326,2.43,2345,17.5,45,0.34,4837,36.1,1369,10.22,26,0.76,1125,33.09,21,2.33,28,3.11,154,17.11,1,0.11,103,11.44
Tokyo,108043,262.88,7278,28.1,5376,20.76,21167,81.73,59569,230,3376,13.03,28061,108.34,1007,3.89,5410,20.89,76,0.29,5934,22.91,2430,9.38,10,0.26,874,23,30,1.2,34,1.36,171,6.84,34,1.36,232,9.28
Kanagawa,98076,287.61,5151,24.07,3079,14.39,18208,85.08,43136,201.57,3324,15.53,22705,106.1,710,3.32,4249,19.86,34,0.16,5292,24.73,3504,16.37,33,0.66,2869,57.38,7,0.7,26,2.6,100,10,-,-,213,21.3
