"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41st week, 2017",,,,,,"Data collected as of October 18, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,862,0.17,4603,,1232,0.39,4542,1.44,9022,2.86,753,0.24,5889,1.86,189,0.06,1291,0.41,25,0.01,1132,0.36,945,0.3,4,0.01,553,0.79,8,0.02,13,0.03,166,0.35,2,0,1,0
Hokkaido,27,0.12,133,,293,2.12,335,2.43,197,1.43,46,0.33,155,1.12,1,0.01,40,0.29,2,0.01,15,0.11,6,0.04,-,-,9,0.31,-,-,-,-,6,0.26,-,-,-,-
Aomori,-,-,47,,3,0.07,25,0.6,78,1.86,10,0.24,89,2.12,8,0.19,14,0.33,-,-,26,0.62,23,0.55,-,-,1,0.09,1,0.17,-,-,5,0.83,-,-,-,-
Iwate,10,0.15,40,,5,0.13,89,2.23,94,2.35,7,0.18,115,2.88,8,0.2,15,0.38,-,-,22,0.55,45,1.13,-,-,12,0.86,1,0.05,-,-,8,0.42,-,-,-,-
Miyagi,15,0.16,57,,18,0.31,82,1.41,185,3.19,6,0.1,150,2.59,3,0.05,27,0.47,-,-,19,0.33,11,0.19,-,-,3,0.25,-,-,-,-,9,0.75,-,-,-,-
Akita,-,-,50,,11,0.31,20,0.57,60,1.71,3,0.09,34,0.97,1,0.03,6,0.17,-,-,9,0.26,6,0.17,-,-,4,0.57,-,-,-,-,25,3.13,-,-,-,-
Yamagata,1,0.02,63,,27,0.9,95,3.17,49,1.63,7,0.23,74,2.47,20,0.67,12,0.4,-,-,12,0.4,5,0.17,-,-,6,0.75,1,0.1,-,-,7,0.7,-,-,-,-
Fukushima,2,0.03,70,,6,0.13,38,0.83,79,1.72,7,0.15,153,3.33,5,0.11,28,0.61,-,-,22,0.48,26,0.57,-,-,7,0.58,-,-,-,-,4,0.57,-,-,-,-
Ibaraki,10,0.08,67,,10,0.13,71,0.95,198,2.64,11,0.15,249,3.32,5,0.07,28,0.37,1,0.01,37,0.49,10,0.13,-,-,11,0.65,-,-,-,-,5,0.38,-,-,-,-
Tochigi,2,0.03,96,,12,0.25,27,0.56,49,1.02,7,0.15,175,3.65,5,0.1,16,0.33,-,-,5,0.1,8,0.17,-,-,11,0.92,-,-,-,-,3,0.43,-,-,-,-
Gunma,8,0.08,63,,35,0.6,84,1.45,133,2.29,12,0.21,69,1.19,9,0.16,22,0.38,-,-,30,0.52,30,0.52,-,-,36,2.57,-,-,-,-,8,1,-,-,-,-
Saitama,19,0.07,149,,59,0.36,285,1.75,563,3.45,23,0.14,484,2.97,7,0.04,75,0.46,1,0.01,110,0.67,25,0.15,-,-,40,0.98,-,-,-,-,2,0.2,-,-,-,-
Chiba,25,0.12,128,,27,0.2,273,2.02,318,2.36,31,0.23,321,2.38,5,0.04,52,0.39,2,0.01,57,0.42,24,0.18,-,-,26,0.74,-,-,1,0.11,5,0.56,-,-,-,-
Tokyo,68,0.16,197,,100,0.38,393,1.5,755,2.88,69,0.26,656,2.5,21,0.08,127,0.48,3,0.01,105,0.4,37,0.14,-,-,18,0.46,-,-,1,0.04,9,0.36,-,-,-,-
