"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41st week, 2017",,,,,,"Data collected as of October 18, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1372361,277.86,109145,34.59,69112,21.91,280618,88.94,667937,211.71,43136,13.67,316683,100.37,9913,3.14,58999,18.7,1249,0.4,78827,24.98,67486,21.39,344,0.5,20565,29.63,413,0.87,782,1.64,6254,13.11,208,0.44,4869,10.21
Hokkaido,49392,220.5,5006,35.76,6741,48.15,19062,136.16,14456,103.26,2235,15.96,13101,93.58,228,1.63,1676,11.97,73,0.52,2769,19.78,1710,12.21,11,0.39,469,16.75,8,0.35,50,2.17,212,9.22,-,-,205,8.91
Aomori,15407,240.73,870,21.22,495,12.07,2611,63.68,6857,167.24,385,9.39,3147,76.76,204,4.98,761,18.56,6,0.15,786,19.17,814,19.85,4,0.36,109,9.91,12,2,6,1,165,27.5,-,-,74,12.33
Iwate,14602,228.16,1219,31.26,1023,26.23,4193,107.51,7445,190.9,341,8.74,2741,70.28,274,7.03,724,18.56,8,0.21,770,19.74,1584,40.62,5,0.36,196,14,9,0.47,9,0.47,270,14.21,6,0.32,108,5.68
Miyagi,27345,290.9,2122,36.59,1427,24.6,5974,103,11549,199.12,827,14.26,6623,114.19,179,3.09,1335,23.02,10,0.17,971,16.74,549,9.47,-,-,124,10.33,3,0.25,1,0.08,229,19.08,-,-,51,4.25
Akita,13146,243.44,780,22.29,440,12.57,1764,50.4,4164,118.97,429,12.26,1973,56.37,47,1.34,357,10.2,15,0.43,686,19.6,149,4.26,9,1.29,60,8.57,1,0.13,-,-,370,46.25,3,0.38,56,7
Yamagata,11419,242.96,1546,53.31,800,27.59,5636,194.34,5802,200.07,484,16.69,3196,110.21,592,20.41,764,26.34,24,0.83,1211,41.76,544,18.76,-,-,142,17.75,4,0.4,8,0.8,179,17.9,-,-,78,7.8
Fukushima,23772,312.79,2463,54.73,616,13.69,4265,94.78,6638,147.51,829,18.42,4384,97.42,345,7.67,1190,26.44,10,0.22,789,17.53,811,18.02,2,0.17,456,38,7,1,16,2.29,98,14,6,0.86,218,31.14
Ibaraki,31051,258.76,1604,21.39,1273,16.97,7083,94.44,13035,173.8,958,12.77,6747,89.96,179,2.39,908,12.11,23,0.31,1337,17.83,610,8.13,6,0.35,754,44.35,2,0.15,-,-,112,8.62,-,-,122,9.38
Tochigi,17755,233.62,1263,26.31,722,15.04,2423,50.48,4764,99.25,647,13.48,4189,87.27,89,1.85,948,19.75,2,0.04,517,10.77,526,10.96,1,0.08,455,37.92,5,0.71,8,1.14,109,15.57,2,0.29,89,12.71
Gunma,23739,252.54,1556,27.3,969,17,6147,107.84,12564,220.42,572,10.04,4126,72.39,367,6.44,1098,19.26,4,0.07,1708,29.96,1622,28.46,2,0.15,509,39.15,2,0.25,5,0.63,235,29.38,-,-,316,39.5
Saitama,85173,339.33,4874,30.65,4003,25.18,17718,111.43,38001,239,2672,16.81,18527,116.52,630,3.96,3448,21.69,42,0.26,4092,25.74,2628,16.53,52,1.3,1535,38.38,12,1.2,32,3.2,107,10.7,10,1,111,11.1
Chiba,68903,323.49,2900,21.64,2710,20.22,15771,117.69,25620,191.19,1878,14.01,11383,84.95,334,2.49,2436,18.18,50,0.37,5021,37.47,1420,10.6,26,0.76,1172,34.47,21,2.33,31,3.44,164,18.22,1,0.11,103,11.44
Tokyo,108167,263.18,7754,29.94,5563,21.48,22023,85.03,61219,236.37,3491,13.48,29589,114.24,1039,4.01,5663,21.86,80,0.31,6237,24.08,2508,9.68,10,0.26,911,23.97,32,1.28,35,1.4,181,7.24,36,1.44,232,9.28
Kanagawa,98144,290.37,5249,24.76,3178,14.99,18829,88.82,44049,207.78,3402,16.05,23549,111.08,744,3.51,4371,20.62,35,0.17,5385,25.4,3619,17.07,33,0.66,2949,58.98,7,0.7,26,2.6,108,10.8,-,-,213,21.3
Niigata,26147,290.52,3360,58.95,1577,27.67,5236,91.86,12543,220.05,756,13.26,7758,136.11,261,4.58,992,17.4,49,0.86,1381,24.23,3826,67.12,13,1.3,349,34.9,11,0.85,15,1.15,194,14.92,28,2.15,80,6.15
Toyama,10689,222.69,1293,44.59,617,21.28,1864,64.28,7139,246.17,284,9.79,2848,98.21,26,0.9,426,14.69,2,0.07,539,18.59,1086,37.45,6,0.86,258,36.86,2,0.4,4,0.8,60,12,6,1.2,58,11.6
Ishikawa,16041,334.19,1319,45.48,750,25.86,2718,93.72,8183,282.17,426,14.69,3506,120.9,112,3.86,512,17.66,7,0.24,531,18.31,179,6.17,-,-,181,25.86,1,0.2,8,1.6,140,28,-,-,87,17.4
Fukui,11713,366.03,1058,48.09,394,17.91,2143,97.41,6745,306.59,310,14.09,3294,149.73,20,0.91,316,14.36,25,1.14,431,19.59,298,13.55,1,0.33,12,4,17,2.83,6,1,56,9.33,7,1.17,70,11.67
Yamanashi,10656,259.9,428,17.83,880,36.67,2241,93.38,4660,194.17,204,8.5,2134,88.92,51,2.13,280,11.67,7,0.29,298,12.42,611,25.46,1,0.11,311,34.56,5,0.5,10,1,125,12.5,4,0.4,56,5.6
Nagano,27829,323.59,958,18.08,360,6.79,4590,86.6,12729,240.17,691,13.04,6335,119.53,153,2.89,710,13.4,28,0.53,1149,21.68,3850,72.64,11,1.1,152,15.2,2,0.18,2,0.18,170,15.45,-,-,142,12.91
Gifu,22571,262.45,1351,25.98,775,14.9,2047,39.37,6871,132.13,431,8.29,4050,77.88,67,1.29,593,11.4,15,0.29,595,11.44,1396,26.85,-,-,199,18.09,1,0.2,12,2.4,155,31,-,-,90,18
Shizuoka,38897,279.83,2734,30.72,1659,18.64,8804,98.92,19226,216.02,857,9.63,8675,97.47,268,3.01,1278,14.36,19,0.21,1162,13.06,1435,16.12,10,0.48,548,26.1,10,1,35,3.5,165,16.5,44,4.4,75,7.5
Aichi,66145,339.21,4581,25.17,2804,15.41,11698,64.27,30574,167.99,2150,11.81,17152,94.24,338,1.86,2545,13.98,40,0.22,2468,13.56,2123,11.66,6,0.17,669,19.11,12,0.8,26,1.73,279,18.6,6,0.4,198,13.2
Mie,19321,268.35,1896,42.13,1335,29.67,2637,58.6,9083,201.84,523,11.62,5163,114.73,106,2.36,910,20.22,19,0.42,1262,28.04,630,14,8,0.67,49,4.08,19,2.11,27,3,98,10.89,11,1.22,19,2.11
Shiga,12107,232.83,551,17.77,506,16.32,1391,44.87,6409,206.74,574,18.52,3598,116.06,22,0.71,507,16.35,6,0.19,890,28.71,689,22.23,1,0.13,62,7.75,5,0.71,15,2.14,42,6,1,0.14,16,2.29
Kyoto,27943,225.35,1516,20.21,1413,18.84,4474,59.65,14642,195.23,593,7.91,5504,73.39,73,0.97,1048,13.97,23,0.31,1150,15.33,1098,14.64,6,0.35,268,15.76,3,0.43,5,0.71,58,8.29,-,-,67,9.57
Osaka,67672,220.43,8646,43.45,4309,21.65,16785,84.35,41899,210.55,2892,14.53,21077,105.91,332,1.67,3767,18.93,86,0.43,4426,22.24,4472,22.47,34,0.65,859,16.52,14,0.88,38,2.38,249,15.56,3,0.19,231,14.44
Hyogo,45212,228.34,4069,31.79,3142,24.55,7292,56.97,32750,255.86,1639,12.8,14436,112.78,520,4.06,2056,16.06,40,0.31,3124,24.41,3070,23.98,15,0.43,671,19.17,23,1.77,40,3.08,150,11.54,10,0.77,161,12.38
Nara,10288,190.52,1374,40.41,987,29.03,2757,81.09,5876,172.82,487,14.32,2798,82.29,87,2.56,675,19.85,9,0.26,578,17,775,22.79,2,0.2,232,23.2,17,2.83,26,4.33,108,18,1,0.17,52,8.67
Wakayama,8436,172.16,909,30.3,458,15.27,877,29.23,4840,161.33,361,12.03,2322,77.4,31,1.03,518,17.27,10,0.33,537,17.9,1771,59.03,13,3.25,104,26,4,0.4,19,1.9,84,8.4,6,0.6,68,6.8
Tottori,6031,207.97,718,37.79,496,26.11,4219,222.05,3797,199.84,365,19.21,1861,97.95,31,1.63,309,16.26,22,1.16,581,30.58,823,43.32,2,0.4,195,39,9,1.8,25,5,58,11.6,-,-,74,14.8
Shimane,7449,201.32,888,40.36,336,15.27,2342,106.45,4742,215.55,219,9.95,1656,75.27,217,9.86,568,25.82,12,0.55,418,19,1214,55.18,-,-,6,2,2,0.25,16,2,61,7.63,-,-,47,5.88
Okayama,22112,263.24,1105,20.46,861,15.94,2278,42.19,12862,238.19,553,10.24,4781,88.54,92,1.7,890,16.48,19,0.35,1058,19.59,729,13.5,10,0.83,355,29.58,2,0.4,4,0.8,50,10,1,0.2,36,7.2
Hiroshima,27285,239.34,2521,35.51,1643,23.14,6397,90.1,14190,199.86,876,12.34,7018,98.85,223,3.14,1122,15.8,42,0.59,1026,14.45,953,13.42,9,0.47,636,33.47,6,0.3,8,0.4,134,6.7,1,0.05,109,5.45
