"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42nd week, 2017",,,,,,"Data collected as of October 25, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1373629,277.95,113285,35.88,70525,22.34,286421,90.73,678861,215.03,44197,14,322901,102.28,10076,3.19,60347,19.12,1287,0.41,80261,25.42,68587,21.73,351,0.51,21171,30.51,427,0.9,803,1.68,6432,13.48,214,0.45,4873,10.22
Hokkaido,49461,220.81,5104,36.46,7080,50.57,19489,139.21,14655,104.68,2313,16.52,13249,94.64,233,1.66,1706,12.19,73,0.52,2781,19.86,1723,12.31,11,0.39,483,17.25,8,0.35,50,2.17,216,9.39,-,-,205,8.91
Aomori,15423,240.98,917,22.37,506,12.34,2646,64.54,6937,169.2,394,9.61,3243,79.1,206,5.02,777,18.95,6,0.15,810,19.76,850,20.73,4,0.36,112,10.18,12,2,6,1,172,28.67,-,-,74,12.33
Iwate,14619,228.42,1263,32.38,1029,26.38,4306,110.41,7528,193.03,359,9.21,2820,72.31,288,7.38,734,18.82,8,0.21,796,20.41,1649,42.28,5,0.36,200,14.29,9,0.47,9,0.47,289,15.21,7,0.37,108,5.68
Miyagi,27361,291.07,2180,37.59,1441,24.84,6060,104.48,11775,203.02,835,14.4,6778,116.86,189,3.26,1362,23.48,10,0.17,984,16.97,560,9.66,-,-,126,10.5,3,0.25,1,0.08,239,19.92,-,-,51,4.25
Akita,13146,243.44,822,23.49,451,12.89,1795,51.29,4223,120.66,436,12.46,2026,57.89,48,1.37,366,10.46,15,0.43,693,19.8,151,4.31,9,1.29,61,8.71,3,0.38,-,-,399,49.88,3,0.38,56,7
Yamagata,11419,242.96,1590,54.83,859,29.62,5767,198.86,5859,202.03,502,17.31,3276,112.97,612,21.1,783,27,24,0.83,1220,42.07,547,18.86,-,-,149,18.63,4,0.4,8,0.8,183,18.3,-,-,78,7.8
Fukushima,23774,312.82,2518,55.96,629,13.98,4326,96.13,6741,149.8,841,18.69,4521,100.47,355,7.89,1216,27.02,10,0.22,820,18.22,841,18.69,2,0.17,469,39.08,7,1,16,2.29,101,14.43,6,0.86,218,31.14
Ibaraki,31067,258.89,1654,22.05,1291,17.21,7193,95.91,13273,176.97,982,13.09,6996,93.28,181,2.41,932,12.43,23,0.31,1370,18.27,619,8.25,6,0.35,773,45.47,2,0.15,1,0.08,117,9,-,-,122,9.38
