"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43rd week, 2017",,,,,,"Data collected as of November 1, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1772,0.36,4083,,1687,0.53,6204,1.97,11455,3.63,924,0.29,6522,2.07,219,0.07,1373,0.44,49,0.02,1258,0.4,982,0.31,6,0.01,517,0.74,7,0.01,17,0.04,153,0.32,7,0.01,5,0.01
Hokkaido,120,0.54,123,,366,2.65,522,3.78,189,1.37,64,0.46,144,1.04,1,0.01,40,0.29,4,0.03,11,0.08,16,0.12,-,-,11,0.38,-,-,-,-,8,0.35,-,-,1,0.04
Aomori,10,0.15,48,,4,0.1,38,0.9,71,1.69,25,0.6,110,2.62,2,0.05,11,0.26,-,-,20,0.48,37,0.88,-,-,4,0.36,-,-,-,-,4,0.67,-,-,-,-
Iwate,2,0.03,40,,6,0.15,80,2,84,2.1,14,0.35,111,2.78,15,0.38,17,0.43,-,-,12,0.3,38,0.95,-,-,7,0.5,-,-,-,-,9,0.47,-,-,-,-
Miyagi,52,0.55,53,,14,0.24,91,1.54,241,4.08,11,0.19,167,2.83,5,0.08,26,0.44,-,-,8,0.14,7,0.12,1,0.08,3,0.25,-,-,-,-,11,0.92,-,-,-,-
Akita,-,-,39,,23,0.66,35,1,79,2.26,7,0.2,18,0.51,1,0.03,9,0.26,-,-,11,0.31,1,0.03,-,-,1,0.14,1,0.13,-,-,25,3.13,1,0.13,-,-
Yamagata,-,-,35,,78,2.6,117,3.9,87,2.9,14,0.47,98,3.27,13,0.43,22,0.73,-,-,12,0.4,10,0.33,-,-,6,0.75,-,-,-,-,6,0.6,-,-,3,0.3
Fukushima,16,0.21,54,,5,0.11,53,1.15,145,3.15,14,0.3,142,3.09,9,0.2,28,0.61,1,0.02,38,0.83,24,0.52,-,-,8,0.67,-,-,-,-,3,0.43,-,-,-,-
Ibaraki,28,0.23,71,,25,0.33,129,1.72,268,3.57,14,0.19,279,3.72,1,0.01,16,0.21,-,-,28,0.37,9,0.12,-,-,18,1.06,-,-,-,-,4,0.31,-,-,-,-
