"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43rd week, 2017",,,,,,"Data collected as of November 1, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1375399,278.36,117324,37.17,72186,22.87,292558,92.7,690305,218.73,45121,14.3,329375,104.36,10275,3.26,61712,19.55,1336,0.42,81507,25.83,69566,22.04,361,0.52,21682,31.24,432,0.91,820,1.72,6579,13.79,221,0.46,4878,10.23
Hokkaido,49581,222.34,5227,37.34,7446,53.19,20011,142.94,14844,106.03,2377,16.98,13393,95.66,234,1.67,1746,12.47,77,0.55,2792,19.94,1739,12.42,11,0.39,494,17.64,8,0.35,50,2.17,224,9.74,-,-,206,8.96
Aomori,15433,241.14,965,23.54,510,12.44,2684,65.46,7008,170.93,419,10.22,3354,81.8,208,5.07,788,19.22,6,0.15,830,20.24,887,21.63,4,0.36,116,10.55,12,2,6,1,176,29.33,-,-,74,12.33
Iwate,14621,228.45,1303,33.41,1035,26.54,4386,112.46,7612,195.18,373,9.56,2931,75.15,303,7.77,751,19.26,8,0.21,808,20.72,1687,43.26,5,0.36,207,14.79,9,0.47,9,0.47,298,15.68,7,0.37,108,5.68
Miyagi,27413,291.63,2233,38.5,1455,25.09,6151,106.05,12016,207.17,846,14.59,6945,119.74,194,3.34,1388,23.93,10,0.17,992,17.1,567,9.78,1,0.08,129,10.75,3,0.25,1,0.08,250,20.83,-,-,51,4.25
Akita,13146,243.44,861,24.6,474,13.54,1830,52.29,4302,122.91,443,12.66,2044,58.4,49,1.4,375,10.71,15,0.43,704,20.11,152,4.34,9,1.29,62,8.86,4,0.5,-,-,424,53,4,0.5,56,7
Yamagata,11418,248.22,1562,53.86,910,31.38,5789,199.62,5897,203.34,509,17.55,3300,113.79,605,20.86,793,27.34,24,0.83,1220,42.07,552,19.03,-,-,149,21.29,3,0.33,8,0.89,182,20.22,-,-,81,9
Fukushima,23790,313.03,2572,57.16,634,14.09,4379,97.31,6886,153.02,855,19,4663,103.62,364,8.09,1244,27.64,11,0.24,858,19.07,865,19.22,2,0.17,477,39.75,7,1,16,2.29,104,14.86,6,0.86,218,31.14
Ibaraki,31095,259.13,1732,23.09,1316,17.55,7339,97.85,13559,180.79,996,13.28,7279,97.05,182,2.43,949,12.65,23,0.31,1398,18.64,629,8.39,6,0.35,791,46.53,2,0.15,1,0.08,121,9.31,-,-,122,9.38
