"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"47th week, 2017",,,,,,"Data collected as of November 29, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1391506,281.51,127913,40.52,80138,25.38,321166,101.73,747702,236.84,51253,16.23,346981,109.91,11146,3.53,67040,21.24,1497,0.47,84546,26.78,73481,23.28,389,0.56,23842,34.31,483,1.01,892,1.87,7449,15.62,239,0.5,4901,10.27
Hokkaido,50260,225.38,5694,40.67,9110,65.07,22071,157.65,15928,113.77,2706,19.33,13768,98.34,245,1.75,1899,13.56,91,0.65,2841,20.29,1783,12.74,12,0.43,559,19.96,9,0.39,52,2.26,273,11.87,-,-,209,9.09
Aomori,15543,242.86,1100,26.83,562,13.71,2892,70.54,7404,180.59,496,12.1,3796,92.59,213,5.2,843,20.56,8,0.2,887,21.63,1004,24.49,4,0.36,136,12.36,12,2,7,1.17,207,34.5,-,-,74,12.33
Iwate,14730,230.16,1406,36.05,1078,27.64,4888,125.33,7984,204.72,413,10.59,3224,82.67,347,8.9,816,20.92,8,0.21,864,22.15,1888,48.41,5,0.36,242,17.29,10,0.53,9,0.47,380,20,8,0.42,108,5.68
Miyagi,28001,297.88,2389,41.19,1553,26.78,6645,114.57,13338,229.97,991,17.09,7520,129.66,223,3.84,1490,25.69,10,0.17,1032,17.79,586,10.1,1,0.08,143,11.92,3,0.25,1,0.08,286,23.83,-,-,51,4.25
Akita,13171,243.91,959,27.4,545,15.57,1990,56.86,4533,129.51,499,14.26,2131,60.89,57,1.63,408,11.66,15,0.43,723,20.66,167,4.77,9,1.29,74,10.57,4,0.5,-,-,533,66.63,4,0.5,56,7
Yamagata,11476,244.17,1725,59.48,1142,39.38,6424,221.52,6497,224.03,642,22.14,3663,126.31,667,23,872,30.07,25,0.86,1268,43.72,594,20.48,-,-,183,22.88,5,0.5,8,0.8,233,23.3,-,-,83,8.3
Fukushima,23935,314.93,2758,61.29,676,15.02,4699,104.42,7439,165.31,919,20.42,5097,113.27,391,8.69,1354,30.09,13,0.29,964,21.42,974,21.64,2,0.17,497,41.42,9,1.29,19,2.71,115,16.43,7,1,219,31.29
Ibaraki,31245,260.38,1865,24.87,1430,19.07,7946,105.95,15050,200.67,1149,15.32,8098,107.97,195,2.6,1043,13.91,23,0.31,1476,19.68,673,8.97,6,0.35,853,50.18,2,0.15,1,0.08,142,10.92,-,-,122,9.38
