"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48th week, 2017",,,,,,"Data collected as of December 6, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1404310,284.1,130224,41.24,82742,26.2,330302,104.59,769719,243.74,53197,16.85,349960,110.82,11420,3.62,68405,21.66,1532,0.49,84995,26.91,74463,23.58,399,0.57,24430,35.15,493,1.03,901,1.89,7636,16.01,246,0.52,4906,10.29
Hokkaido,50841,227.99,5790,41.36,9507,67.91,22827,163.05,16305,116.46,2799,19.99,13829,98.78,247,1.76,1937,13.84,96,0.69,2846,20.33,1798,12.84,12,0.43,572,20.43,11,0.48,53,2.3,287,12.48,1,0.04,209,9.09
Aomori,15618,244.03,1113,27.15,585,14.27,2982,72.73,7514,183.27,514,12.54,3858,94.1,216,5.27,858,20.93,8,0.2,894,21.8,1045,25.49,4,0.36,137,12.45,12,2,7,1.17,215,35.83,-,-,74,12.33
Iwate,14809,231.39,1424,36.51,1085,27.82,5018,128.67,8093,207.51,430,11.03,3276,84,362,9.28,828,21.23,8,0.21,868,22.26,1939,49.72,5,0.36,249,17.79,10,0.53,9,0.47,386,20.32,9,0.47,108,5.68
Miyagi,28363,301.73,2428,41.86,1601,27.6,6818,117.55,13793,237.81,1053,18.16,7601,131.05,226,3.9,1513,26.09,10,0.17,1037,17.88,587,10.12,1,0.08,147,12.25,3,0.25,2,0.17,294,24.5,-,-,51,4.25
Akita,13217,244.76,974,27.83,562,16.06,2034,58.11,4582,130.91,525,15,2143,61.23,58,1.66,423,12.09,15,0.43,723,20.66,171,4.89,9,1.29,76,10.86,4,0.5,-,-,554,69.25,5,0.63,56,7
Yamagata,11558,245.91,1746,60.21,1191,41.07,6582,226.97,6717,231.62,688,23.72,3720,128.28,681,23.48,891,30.72,25,0.86,1271,43.83,598,20.62,-,-,201,25.13,5,0.5,8,0.8,238,23.8,-,-,84,8.4
Fukushima,24039,316.3,2788,61.96,704,15.64,4814,106.98,7658,170.18,953,21.18,5151,114.47,396,8.8,1378,30.62,13,0.29,969,21.53,997,22.16,2,0.17,514,42.83,9,1.29,20,2.86,120,17.14,7,1,219,31.29
Ibaraki,31398,261.65,1903,25.37,1465,19.53,8165,108.87,15581,207.75,1188,15.84,8197,109.29,198,2.64,1064,14.19,23,0.31,1484,19.79,679,9.05,6,0.35,870,51.18,2,0.15,1,0.08,144,11.08,-,-,122,9.38
Tochigi,18444,242.68,1585,33.02,796,16.58,2882,60.04,5699,118.73,833,17.35,5020,104.58,177,3.69,1096,22.83,2,0.04,543,11.31,582,12.13,1,0.08,509,42.42,5,0.71,8,1.14,132,18.86,2,0.29,89,12.71
Gunma,24130,256.7,1775,31.14,1332,23.37,7251,127.21,13902,243.89,776,13.61,4637,81.35,400,7.02,1287,22.58,6,0.11,1851,32.47,1824,32,2,0.15,650,50,2,0.25,5,0.63,285,35.63,-,-,316,39.5
Saitama,87183,345.96,5407,33.79,4884,30.53,21120,132,45072,281.7,3327,20.79,20705,129.41,703,4.39,3964,24.78,57,0.36,4620,28.88,2840,17.75,63,1.58,1853,46.33,14,1.4,43,4.3,133,13.3,11,1.1,111,11.1
Chiba,70600,331.46,3361,25.08,3176,23.7,18310,136.64,29652,221.28,2291,17.1,13129,97.98,371,2.77,2796,20.87,57,0.43,5285,39.44,1594,11.9,30,0.88,1331,39.15,27,3,39,4.33,194,21.56,1,0.11,103,11.44
Tokyo,111325,270.21,8446,32.61,6614,25.54,27046,104.42,72471,279.81,4485,17.32,32563,125.73,1207,4.66,6589,25.44,101,0.39,6776,26.16,2797,10.8,11,0.29,1108,29.16,38,1.52,38,1.52,223,8.92,43,1.72,234,9.36
Kanagawa,100436,294.53,5896,27.55,3875,18.11,22357,104.47,51844,242.26,4329,20.23,27349,127.8,1079,5.04,5187,24.24,44,0.21,5829,27.24,4023,18.8,46,0.92,3575,71.5,7,0.7,36,3.6,132,13.2,-,-,213,21.3
Niigata,27085,300.94,3879,68.05,2019,35.42,5990,105.09,13747,241.18,1084,19.02,8338,146.28,300,5.26,1177,20.65,54,0.95,1855,32.54,4102,71.96,19,1.9,437,43.7,13,1,17,1.31,226,17.38,32,2.46,80,6.15
Toyama,10750,223.96,1414,48.76,885,30.52,2137,73.69,8500,293.1,354,12.21,3161,109,28,0.97,500,17.24,2,0.07,632,21.79,1111,38.31,7,1,273,39,2,0.4,6,1.2,68,13.6,6,1.2,58,11.6
Ishikawa,16476,343.25,1481,51.07,918,31.66,3252,112.14,9001,310.38,521,17.97,3787,130.59,122,4.21,624,21.52,9,0.31,592,20.41,200,6.9,-,-,216,30.86,1,0.2,9,1.8,175,35,-,-,87,17.4
Fukui,12133,379.16,1259,57.23,519,23.59,2597,118.05,7300,331.82,364,16.55,3730,169.55,22,1,370,16.82,28,1.27,539,24.5,331,15.05,1,0.33,15,5,23,3.83,7,1.17,64,10.67,11,1.83,70,11.67
Yamanashi,10756,262.34,573,23.88,952,39.67,2660,110.83,5266,219.42,236,9.83,2403,100.13,54,2.25,326,13.58,92,3.83,303,12.63,657,27.38,1,0.11,345,38.33,10,1,10,1,146,14.6,4,0.4,56,5.6
