"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51st week, 2017",,,,,,"Data collected as of December 27, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1524989,308.45,137307,43.48,90273,28.59,359557,113.86,848503,268.68,58567,18.55,357443,113.19,12215,3.87,72250,22.88,1629,0.52,85913,27.2,77171,24.44,432,0.62,26198,37.69,513,1.08,945,1.98,8177,17.14,260,0.55,4945,10.37
Hokkaido,55788,250.17,6183,44.16,10333,73.81,25225,180.18,17866,127.61,3106,22.19,13955,99.68,255,1.82,2030,14.5,104,0.74,2868,20.49,1833,13.09,13,0.46,626,22.36,14,0.61,55,2.39,311,13.52,1,0.04,211,9.17
Aomori,16208,253.25,1211,29.54,660,16.1,3234,78.88,7974,194.49,603,14.71,4053,98.85,221,5.39,909,22.17,8,0.2,925,22.56,1143,27.88,5,0.45,147,13.36,12,2,7,1.17,239,39.83,-,-,74,12.33
Iwate,15543,242.86,1497,38.38,1146,29.38,5532,141.85,8597,220.44,469,12.03,3377,86.59,391,10.03,871,22.33,8,0.21,878,22.51,2082,53.38,5,0.36,285,20.36,10,0.53,11,0.58,417,21.95,12,0.63,109,5.74
Miyagi,30550,325,2589,44.64,1726,29.76,7401,127.6,15161,261.4,1187,20.47,7793,134.36,232,4,1608,27.72,10,0.17,1045,18.02,601,10.36,1,0.08,160,13.33,3,0.25,4,0.33,314,26.17,-,-,51,4.25
Akita,13907,257.54,1032,29.49,613,17.51,2180,62.29,4786,136.74,563,16.09,2177,62.2,62,1.77,453,12.94,15,0.43,735,21,197,5.63,10,1.43,85,12.14,4,0.5,-,-,645,80.63,5,0.63,58,7.25
Yamagata,11906,253.32,1837,63.34,1374,47.38,7178,247.52,7493,258.38,767,26.45,3839,132.38,697,24.03,932,32.14,25,0.86,1279,44.1,611,21.07,-,-,223,27.88,5,0.5,9,0.9,273,27.3,-,-,86,8.6
Fukushima,24793,326.22,2898,64.4,757,16.82,5225,116.11,8343,185.4,1051,23.36,5294,117.64,422,9.38,1462,32.49,14,0.31,989,21.98,1091,24.24,2,0.17,566,47.17,10,1.43,22,3.14,129,18.43,7,1,219,31.29
Ibaraki,33222,276.85,2036,27.15,1567,20.89,8844,117.92,17053,227.37,1278,17.04,8425,112.33,206,2.75,1118,14.91,26,0.35,1494,19.92,707,9.43,6,0.35,935,55,2,0.15,1,0.08,153,11.77,-,-,123,9.46
Tochigi,20212,265.95,1687,35.15,837,17.44,3121,65.02,6433,134.02,900,18.75,5172,107.75,238,4.96,1165,24.27,2,0.04,550,11.46,587,12.23,1,0.08,535,44.58,5,0.71,8,1.14,145,20.71,2,0.29,89,12.71
Gunma,25877,275.29,1867,32.75,1657,29.07,7868,138.04,15219,267,910,15.96,4793,84.09,425,7.46,1362,23.89,6,0.11,1863,32.68,1937,33.98,2,0.15,720,55.38,2,0.25,5,0.63,303,37.88,-,-,316,39.5
Saitama,96574,383.23,5591,34.94,5405,33.78,23033,143.96,51340,320.88,3639,22.74,21109,131.93,762,4.76,4173,26.08,61,0.38,4701,29.38,2886,18.04,70,1.75,1970,49.25,14,1.4,44,4.4,142,14.2,12,1.2,112,11.2
Chiba,75965,356.64,3513,26.22,3473,25.92,19814,147.87,33103,247.04,2555,19.07,13529,100.96,388,2.9,2930,21.87,59,0.44,5302,39.57,1670,12.46,32,0.94,1403,41.26,28,3.11,42,4.67,208,23.11,1,0.11,104,11.56
Tokyo,123037,298.63,8742,33.62,7181,27.62,30058,115.61,82452,317.12,5010,19.27,32993,126.9,1293,4.97,6961,26.77,109,0.42,6810,26.19,2875,11.06,12,0.32,1196,31.47,39,1.56,38,1.52,231,9.24,44,1.76,235,9.4
Kanagawa,108461,317.14,6073,28.38,4346,20.31,24447,114.24,58891,275.19,4824,22.54,27774,129.79,1303,6.09,5472,25.57,48,0.22,5876,27.46,4132,19.31,53,1.06,3856,77.12,8,0.8,36,3.6,149,14.9,-,-,215,21.5
Niigata,29092,323.24,4031,70.72,2320,40.7,6516,114.32,15232,267.23,1243,21.81,8527,149.6,321,5.63,1274,22.35,66,1.16,1941,34.05,4256,74.67,20,2,483,48.3,13,1,17,1.31,243,18.69,32,2.46,81,6.23
Toyama,10970,228.54,1467,50.59,1094,37.72,2295,79.14,9441,325.55,397,13.69,3343,115.28,28,0.97,540,18.62,2,0.07,642,22.14,1121,38.66,7,1,277,39.57,2,0.4,6,1.2,74,14.8,7,1.4,58,11.6
Ishikawa,17254,359.46,1506,51.93,1005,34.66,3628,125.1,9904,341.52,570,19.66,3843,132.52,125,4.31,660,22.76,9,0.31,601,20.72,211,7.28,-,-,228,32.57,2,0.4,10,2,185,37,-,-,87,17.4
Fukui,12796,399.88,1321,60.05,613,27.86,2836,128.91,7711,350.5,388,17.64,3807,173.05,27,1.23,394,17.91,30,1.36,564,25.64,349,15.86,1,0.33,17,5.67,23,3.83,7,1.17,69,11.5,13,2.17,70,11.67
Yamanashi,11491,280.27,626,26.08,987,41.13,2850,118.75,5853,243.88,251,10.46,2481,103.38,56,2.33,340,14.17,108,4.5,305,12.71,669,27.88,3,0.33,359,39.89,10,1,11,1.1,156,15.6,5,0.5,56,5.6
Nagano,31383,364.92,1722,32.49,597,11.26,5891,111.15,15308,288.83,914,17.25,7194,135.74,169,3.19,866,16.34,30,0.57,1247,23.53,4216,79.55,13,1.3,178,17.8,3,0.27,3,0.27,211,19.18,-,-,147,13.36
Gifu,23809,276.85,1724,33.15,1022,19.65,2575,49.52,8711,167.52,570,10.96,4615,88.75,72,1.38,751,14.44,21,0.4,676,13,1520,29.23,-,-,228,20.73,1,0.2,17,3.4,191,38.2,-,-,90,18
Shizuoka,43257,311.2,3408,38.29,2166,24.34,10977,123.34,23849,267.97,1080,12.13,9346,105.01,298,3.35,1552,17.44,22,0.25,1233,13.85,1796,20.18,10,0.48,775,36.9,14,1.4,36,3.6,206,20.6,50,5,75,7.5
Aichi,70450,361.28,6126,33.66,3718,20.43,14913,81.94,38410,211.04,2714,14.91,18766,103.11,421,2.31,3124,17.16,55,0.3,2573,14.14,2466,13.55,6,0.17,845,24.14,12,0.8,30,2,361,24.07,7,0.47,200,13.33
