"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"52nd week, 2017",,,,,,"Data collected as of January 5, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1611207,326.02,139446,44.18,92195,29.21,367059,116.31,870879,275.94,60084,19.04,358764,113.68,12419,3.94,73256,23.21,1658,0.53,86048,27.26,77868,24.67,441,0.64,26705,38.48,522,1.09,956,2,8349,17.5,265,0.56,4970,10.42
Hokkaido,58512,262.39,6344,45.31,10467,74.76,25900,185,18275,130.54,3233,23.09,13968,99.77,257,1.84,2050,14.64,104,0.74,2868,20.49,1843,13.16,14,0.5,636,22.71,14,0.61,55,2.39,318,13.83,1,0.04,211,9.17
Aomori,16702,260.97,1238,30.2,681,16.61,3324,81.07,8145,198.66,631,15.39,4102,100.05,223,5.44,918,22.39,8,0.2,927,22.61,1186,28.93,5,0.45,150,13.64,12,2,7,1.17,247,41.17,-,-,75,12.5
Iwate,16191,252.98,1527,39.15,1163,29.82,5688,145.85,8750,224.36,483,12.38,3404,87.28,399,10.23,892,22.87,8,0.21,879,22.54,2119,54.33,5,0.36,294,21,10,0.53,11,0.58,426,22.42,12,0.63,109,5.74
Miyagi,31901,339.37,2638,45.48,1754,30.24,7578,130.66,15464,266.62,1218,21,7844,135.24,234,4.03,1630,28.1,10,0.17,1048,18.07,605,10.43,1,0.08,164,13.67,3,0.25,4,0.33,320,26.67,-,-,51,4.25
Akita,14429,267.2,1046,29.89,622,17.77,2224,63.54,4849,138.54,580,16.57,2190,62.57,63,1.8,467,13.34,15,0.43,736,21.03,206,5.89,10,1.43,89,12.71,4,0.5,-,-,673,84.13,5,0.63,58,7.25
Yamagata,12187,259.3,1859,64.1,1416,48.83,7368,254.07,7632,263.17,777,26.79,3861,133.14,703,24.24,949,32.72,25,0.86,1280,44.14,615,21.21,-,-,224,28,5,0.5,10,1,273,27.3,-,-,86,8.6
Fukushima,25636,337.32,2946,65.47,781,17.36,5346,118.8,8554,190.09,1075,23.89,5343,118.73,425,9.44,1500,33.33,14,0.31,993,22.07,1116,24.8,2,0.17,588,49,10,1.43,22,3.14,130,18.57,7,1,219,31.29
Ibaraki,35301,294.18,2085,27.8,1606,21.41,9092,121.23,17487,233.16,1306,17.41,8452,112.69,208,2.77,1133,15.11,26,0.35,1497,19.96,709,9.45,6,0.35,955,56.18,2,0.15,1,0.08,157,12.08,-,-,123,9.46
Tochigi,21248,279.58,1722,35.88,858,17.88,3183,66.31,6650,138.54,924,19.25,5193,108.19,253,5.27,1182,24.63,3,0.06,550,11.46,589,12.27,1,0.08,546,45.5,6,0.86,8,1.14,151,21.57,2,0.29,89,12.71
Gunma,27165,288.99,1896,33.26,1723,30.23,8047,141.18,15701,275.46,950,16.67,4827,84.68,434,7.61,1378,24.18,6,0.11,1867,32.75,1963,34.44,2,0.15,754,58,2,0.25,5,0.63,304,38,-,-,318,39.75
Saitama,102425,406.45,5672,35.45,5503,34.39,23467,146.67,52825,330.16,3731,23.32,21161,132.26,779,4.87,4223,26.39,61,0.38,4706,29.41,2908,18.18,71,1.78,1991,49.78,14,1.4,45,4.5,144,14.4,12,1.2,112,11.2
Chiba,79131,371.51,3550,26.49,3514,26.22,20060,149.7,33803,252.26,2595,19.37,13573,101.29,394,2.94,2953,22.04,61,0.46,5304,39.58,1682,12.55,33,0.97,1418,41.71,28,3.11,43,4.78,211,23.44,2,0.22,104,11.56
Tokyo,129417,314.88,8831,34.1,7317,28.25,30636,118.29,84753,327.23,5129,19.8,33051,127.61,1304,5.03,7047,27.21,112,0.43,6812,26.3,2902,11.2,12,0.32,1216,32,41,1.71,39,1.63,237,9.88,46,1.92,235,9.79
Kanagawa,113291,332.23,6123,28.61,4516,21.1,24962,116.64,60603,283.19,4922,23,27809,129.95,1351,6.31,5539,25.88,49,0.23,5879,27.47,4149,19.39,53,1.06,3931,78.62,8,0.8,36,3.6,152,15.2,-,-,215,21.5
Niigata,30546,339.4,4084,71.65,2431,42.65,6722,117.93,15659,274.72,1286,22.56,8554,150.07,332,5.82,1298,22.77,69,1.21,1954,34.28,4298,75.4,21,2.1,505,50.5,13,1,17,1.31,253,19.46,32,2.46,81,6.23
Toyama,11170,232.71,1480,51.03,1164,40.14,2333,80.45,9699,334.45,401,13.83,3365,116.03,28,0.97,548,18.9,2,0.07,644,22.21,1121,38.66,7,1,279,39.86,3,0.6,6,1.2,77,15.4,7,1.4,58,11.6
Ishikawa,17599,366.65,1512,52.14,1045,36.03,3728,128.55,10164,350.48,600,20.69,3854,132.9,129,4.45,670,23.1,9,0.31,601,20.72,216,7.45,-,-,229,32.71,2,0.4,10,2,190,38,-,-,87,17.4
Fukui,13323,416.34,1329,60.41,635,28.86,2921,132.77,7875,357.95,391,17.77,3824,173.82,28,1.27,399,18.14,32,1.45,569,25.86,355,16.14,1,0.33,19,6.33,25,4.17,7,1.17,69,11.5,13,2.17,70,11.67
Yamanashi,12287,299.68,641,26.71,1000,41.67,2897,120.71,6088,253.67,255,10.63,2503,104.29,57,2.38,347,14.46,110,4.58,305,12.71,670,27.92,3,0.33,363,40.33,10,1,11,1.1,158,15.8,5,0.5,56,5.6
Nagano,33590,390.58,1793,33.83,611,11.53,5972,112.68,15564,293.66,941,17.75,7214,136.11,169,3.19,881,16.62,30,0.57,1248,23.55,4244,80.08,13,1.3,186,18.6,3,0.27,4,0.36,217,19.73,-,-,147,13.36
Gifu,24854,289,1746,33.58,1062,20.42,2625,50.48,9006,173.19,584,11.23,4635,89.13,72,1.38,759,14.6,24,0.46,677,13.02,1525,29.33,-,-,234,21.27,1,0.2,17,3.4,193,38.6,-,-,90,18
Shizuoka,46375,333.63,3446,38.72,2204,24.76,11129,125.04,24510,275.39,1097,12.33,9362,105.19,300,3.37,1569,17.63,24,0.27,1235,13.88,1836,20.63,10,0.48,795,37.86,14,1.4,37,3.7,208,20.8,51,5.1,75,7.5
Aichi,73792,378.42,6204,34.09,3792,20.84,15207,83.55,39734,218.32,2791,15.34,18823,103.42,429,2.36,3159,17.36,58,0.32,2576,14.15,2489,13.68,8,0.23,864,24.69,12,0.8,30,2,363,24.2,7,0.47,201,13.4
Mie,22690,315.14,2525,56.11,1694,37.64,3723,82.73,11587,257.49,799,17.76,5456,121.24,111,2.47,1101,24.47,23,0.51,1276,28.36,739,16.42,8,0.67,66,5.5,22,2.44,30,3.33,117,13,13,1.44,22,2.44
Shiga,14449,277.87,822,26.52,569,18.35,1808,58.32,8803,283.97,715,23.06,3846,124.06,26,0.84,606,19.55,6,0.19,1005,32.42,836,26.97,1,0.13,80,10,8,1.14,22,3.14,44,6.29,2,0.29,16,2.29
Kyoto,32186,259.56,2056,27.05,1627,21.41,5897,77.59,19160,252.11,954,12.55,6169,81.17,96,1.26,1318,17.34,24,0.32,1465,19.28,1242,16.34,7,0.41,324,19.06,3,0.43,6,0.86,71,10.14,-,-,69,9.86
Osaka,77443,253.08,11630,58.44,5186,26.06,21504,108.06,53329,267.98,4011,20.16,22315,112.14,520,2.61,4578,23.01,110,0.55,4967,24.96,4969,24.97,41,0.79,1106,21.27,18,1.13,44,2.75,295,18.44,3,0.19,237,14.81
Hyogo,51771,261.47,6482,50.64,3737,29.2,9584,74.88,41122,321.27,2255,17.62,15180,118.59,556,4.34,2541,19.85,45,0.35,3338,26.08,3395,26.52,17,0.49,858,24.51,32,2.46,50,3.85,170,13.08,11,0.85,164,12.62
