"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1st week, 2018",,,,,,"Data collected as of January 11, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,79930,16.31,1357,,935,0.3,3382,1.09,10385,3.36,1402,0.45,541,0.18,144,0.05,630,0.2,52,0.02,554,0.18,5,0.01,424,0.61,10,0.02,8,0.02,96,0.2,2,0,19,0.04
Hokkaido,2176,9.94,89,,90,0.66,244,1.79,169,1.24,73,0.54,2,0.01,3,0.02,17,0.13,1,0.01,2,0.01,-,-,16,0.55,1,0.04,1,0.04,5,0.22,-,-,-,-
Aomori,613,9.43,14,,7,0.17,38,0.9,75,1.79,21,0.5,24,0.57,1,0.02,9,0.21,4,0.1,28,0.67,-,-,6,0.55,-,-,-,-,4,0.67,-,-,-,-
Iwate,920,14.15,26,,6,0.15,85,2.13,88,2.2,18,0.45,13,0.33,12,0.3,15,0.38,1,0.03,30,0.75,-,-,7,0.5,1,0.05,-,-,7,0.37,-,-,-,-
Miyagi,991,10.43,35,,15,0.25,72,1.22,168,2.85,39,0.66,24,0.41,3,0.05,20,0.34,2,0.03,2,0.03,-,-,2,0.17,-,-,-,-,4,0.33,-,-,-,-
Akita,817,15.42,13,,5,0.15,23,0.68,44,1.29,13,0.38,9,0.26,1,0.03,5,0.15,4,0.12,11,0.32,-,-,2,0.29,-,-,-,-,14,1.75,-,-,-,-
Yamagata,237,5.15,19,,13,0.46,49,1.75,56,2,19,0.68,8,0.29,-,-,11,0.39,-,-,5,0.18,-,-,1,0.13,-,-,1,0.1,5,0.5,-,-,-,-
Fukushima,1219,15.83,38,,13,0.28,63,1.37,83,1.8,26,0.57,14,0.3,3,0.07,9,0.2,1,0.02,13,0.28,-,-,24,2,-,-,-,-,3,0.43,-,-,-,-
Ibaraki,2843,23.69,37,,20,0.27,102,1.36,232,3.09,33,0.44,15,0.2,5,0.07,12,0.16,2,0.03,4,0.05,-,-,19,1.12,-,-,-,-,2,0.15,-,-,-,-
Tochigi,845,11.12,20,,3,0.06,24,0.5,94,1.96,18,0.38,8,0.17,8,0.17,7,0.15,-,-,1,0.02,-,-,14,1.17,-,-,-,-,1,0.14,-,-,-,-
Gunma,1012,11.5,9,,29,0.54,86,1.59,197,3.65,21,0.39,11,0.2,3,0.06,9,0.17,-,-,14,0.26,-,-,7,0.47,-,-,-,-,1,0.11,-,-,-,-
Saitama,4317,17.48,50,,52,0.33,176,1.13,567,3.63,94,0.6,9,0.06,11,0.07,35,0.22,1,0.01,9,0.06,1,0.03,20,0.51,-,-,-,-,1,0.1,-,-,-,-
Chiba,3068,14.54,26,,28,0.21,190,1.44,423,3.2,60,0.45,17,0.13,3,0.02,18,0.14,2,0.02,14,0.11,-,-,19,0.54,-,-,1,0.11,4,0.44,-,-,-,-
Tokyo,4335,10.84,54,,46,0.18,227,0.9,760,3.03,108,0.43,10,0.04,19,0.08,52,0.21,-,-,16,0.06,-,-,16,0.42,2,0.08,-,-,1,0.04,1,0.04,1,0.04
Kanagawa,3449,10.2,21,,48,0.23,175,0.84,615,2.96,133,0.64,21,0.1,31,0.15,35,0.17,-,-,25,0.12,-,-,75,1.53,-,-,-,-,1,0.1,-,-,2,0.2
Niigata,1037,11.52,24,,55,0.96,68,1.19,151,2.65,41,0.72,15,0.26,6,0.11,16,0.28,4,0.07,31,0.54,-,-,14,1.4,-,-,-,-,-,-,-,-,-,-
Toyama,283,5.9,14,,39,1.34,40,1.38,159,5.48,13,0.45,11,0.38,-,-,8,0.28,-,-,2,0.07,-,-,1,0.14,-,-,-,-,1,0.2,-,-,-,-
Ishikawa,375,7.81,7,,22,0.76,45,1.55,104,3.59,43,1.48,4,0.14,3,0.1,6,0.21,-,-,1,0.03,-,-,-,-,-,-,-,-,5,1,-,-,-,-
Fukui,676,21.13,6,,5,0.23,48,2.18,120,5.45,5,0.23,7,0.32,-,-,9,0.41,-,-,2,0.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yamanashi,603,14.71,9,,3,0.13,23,0.96,92,3.83,8,0.33,9,0.38,-,-,2,0.08,-,-,5,0.21,-,-,3,0.33,-,-,-,-,1,0.1,-,-,-,-
Nagano,1884,22.16,40,,5,0.1,58,1.12,165,3.17,22,0.42,8,0.15,1,0.02,6,0.12,-,-,18,0.35,1,0.09,10,0.91,-,-,-,-,1,0.09,-,-,-,-
Gifu,2174,25.28,21,,9,0.17,32,0.62,154,2.96,8,0.15,6,0.12,-,-,7,0.13,-,-,11,0.21,-,-,2,0.18,1,0.2,-,-,2,0.4,-,-,-,-
Shizuoka,3138,22.58,36,,15,0.17,68,0.76,355,3.99,18,0.2,1,0.01,1,0.01,14,0.16,-,-,19,0.21,-,-,25,1.14,-,-,-,-,1,0.1,-,-,-,-
Aichi,3744,19.2,52,,34,0.19,162,0.89,569,3.13,69,0.38,23,0.13,6,0.03,18,0.1,2,0.01,23,0.13,-,-,10,0.29,1,0.07,-,-,4,0.27,1,0.07,-,-
Mie,1052,14.61,20,,19,0.42,47,1.04,157,3.49,16,0.36,1,0.02,-,-,10,0.22,-,-,6,0.13,-,-,1,0.08,-,-,-,-,-,-,-,-,-,-
Shiga,1320,25.38,15,,2,0.06,17,0.55,75,2.42,11,0.35,4,0.13,1,0.03,3,0.1,2,0.06,15,0.48,-,-,3,0.38,-,-,-,-,-,-,-,-,-,-
Kyoto,1741,13.82,31,,14,0.18,47,0.61,167,2.17,16,0.21,9,0.12,2,0.03,10,0.13,1,0.01,1,0.01,-,-,2,0.11,-,-,-,-,2,0.29,-,-,-,-
Osaka,3873,12.74,185,,34,0.17,157,0.79,579,2.92,86,0.43,14,0.07,11,0.06,28,0.14,4,0.02,22,0.11,-,-,11,0.21,-,-,-,-,1,0.06,-,-,2,0.12
Hyogo,2177,10.94,79,,41,0.32,64,0.5,394,3.05,45,0.35,10,0.08,3,0.02,29,0.22,-,-,9,0.07,-,-,4,0.11,-,-,-,-,2,0.14,-,-,1,0.07
Nara,679,12.57,50,,4,0.12,34,1,123,3.62,15,0.44,2,0.06,-,-,7,0.21,1,0.03,3,0.09,-,-,1,0.1,-,-,1,0.17,1,0.17,-,-,1,0.17
Wakayama,407,8.31,19,,16,0.53,21,0.7,69,2.3,7,0.23,1,0.03,-,-,5,0.17,1,0.03,13,0.43,-,-,1,0.25,-,-,1,0.09,4,0.36,-,-,5,0.45
Tottori,676,23.31,3,,7,0.37,80,4.21,55,2.89,5,0.26,4,0.21,-,-,2,0.11,1,0.05,-,-,-,-,1,0.2,1,0.2,1,0.2,-,-,-,-,1,0.2
Shimane,521,13.71,12,,3,0.13,36,1.57,103,4.48,7,0.3,9,0.39,1,0.04,6,0.26,-,-,9,0.39,-,-,-,-,-,-,-,-,1,0.13,-,-,1,0.13
Okayama,1896,22.57,14,,10,0.19,47,0.87,309,5.72,20,0.37,7,0.13,2,0.04,19,0.35,-,-,6,0.11,2,0.17,7,0.58,-,-,-,-,-,-,-,-,-,-
Hiroshima,2273,19.94,24,,34,0.48,70,0.99,315,4.44,20,0.28,6,0.08,1,0.01,10,0.14,2,0.03,8,0.11,-,-,7,0.37,-,-,-,-,1,0.05,-,-,2,0.1
Yamaguchi,980,14.41,55,,12,0.25,98,2.04,155,3.23,15,0.31,6,0.13,-,-,6,0.13,-,-,20,0.42,-,-,7,0.78,-,-,-,-,1,0.11,-,-,-,-
Tokushima,638,17.24,15,,17,0.74,34,1.48,120,5.22,11,0.48,9,0.39,-,-,19,0.83,2,0.09,13,0.57,-,-,1,0.25,-,-,-,-,-,-,-,-,-,-
Kagawa,1093,23.26,16,,6,0.21,32,1.14,153,5.46,17,0.61,13,0.46,-,-,8,0.29,3,0.11,2,0.07,-,-,2,0.4,-,-,-,-,1,0.2,-,-,-,-
Ehime,1119,18.34,8,,4,0.11,47,1.27,193,5.22,11,0.3,5,0.14,-,-,10,0.27,-,-,11,0.3,-,-,9,1.13,-,-,-,-,4,0.67,-,-,1,0.17
Kochi,902,18.79,16,,4,0.13,29,0.97,49,1.63,9,0.3,7,0.23,-,-,8,0.27,-,-,-,-,-,-,1,0.33,-,-,-,-,1,0.13,-,-,-,-
Fukuoka,5571,28.14,23,,16,0.18,148,1.63,463,5.09,62,0.68,45,0.49,1,0.01,28,0.31,3,0.03,18,0.2,-,-,20,0.77,-,-,-,-,1,0.07,-,-,-,-
Saga,863,22.13,15,,14,0.61,30,1.3,72,3.13,6,0.26,16,0.7,-,-,10,0.43,-,-,1,0.04,-,-,-,-,1,0.17,-,-,1,0.17,-,-,-,-
Nagasaki,1823,26.04,6,,10,0.23,72,1.64,120,2.73,7,0.16,34,0.77,1,0.02,11,0.25,1,0.02,-,-,-,-,3,0.38,-,-,-,-,3,0.25,-,-,-,-
Kumamoto,1970,24.63,9,,26,0.52,31,0.62,228,4.56,21,0.42,21,0.42,1,0.02,14,0.28,2,0.04,4,0.08,-,-,10,1.11,1,0.07,-,-,-,-,-,-,-,-
Oita,1678,28.93,22,,6,0.17,44,1.22,400,11.11,16,0.44,6,0.17,-,-,12,0.33,-,-,18,0.5,-,-,8,1.6,-,-,-,-,2,0.18,-,-,1,0.09
Miyazaki,2016,34.17,21,,19,0.53,27,0.75,223,6.19,20,0.56,7,0.19,-,-,15,0.42,1,0.03,23,0.64,-,-,13,2.17,-,-,-,-,1,0.14,-,-,1,0.14
Kagoshima,2064,22.19,32,,50,0.91,41,0.75,326,5.93,31,0.56,23,0.42,-,-,15,0.27,2,0.04,66,1.2,-,-,5,0.71,-,-,-,-,-,-,-,-,-,-
Okinawa,1842,31.76,7,,5,0.15,31,0.91,97,2.85,25,0.74,13,0.38,-,-,5,0.15,2,0.06,-,-,1,0.11,14,1.56,1,0.14,2,0.29,1,0.14,-,-,-,-
