"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2nd week, 2018",,,,,,"Data collected as of January 17, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,130682,26.44,1413,,1039,0.33,5938,1.88,16688,5.29,1204,0.38,520,0.16,267,0.08,1149,0.36,53,0.02,686,0.22,9,0.01,568,0.82,9,0.02,16,0.03,114,0.24,4,0.01,23,0.05
Hokkaido,2262,10.19,90,,78,0.56,330,2.37,234,1.68,67,0.48,5,0.04,1,0.01,29,0.21,-,-,10,0.07,-,-,12,0.41,-,-,-,-,3,0.13,-,-,3,0.13
Aomori,1236,19.02,13,,10,0.24,63,1.5,133,3.17,17,0.4,18,0.43,-,-,16,0.38,1,0.02,27,0.64,-,-,3,0.27,1,0.17,1,0.17,1,0.17,-,-,2,0.33
Iwate,1402,21.57,30,,9,0.23,132,3.3,141,3.53,13,0.33,11,0.28,9,0.23,17,0.43,-,-,42,1.05,-,-,13,0.93,-,-,-,-,8,0.42,1,0.05,-,-
Miyagi,1680,17.68,42,,18,0.31,132,2.24,298,5.05,31,0.53,23,0.39,1,0.02,25,0.42,-,-,3,0.05,-,-,3,0.25,-,-,-,-,8,0.67,-,-,-,-
Akita,891,16.5,8,,10,0.29,26,0.74,73,2.09,7,0.2,7,0.2,1,0.03,7,0.2,1,0.03,11,0.31,-,-,2,0.29,-,-,-,-,18,2.25,-,-,-,-
Yamagata,582,12.13,17,,19,0.63,111,3.7,109,3.63,17,0.57,24,0.8,8,0.27,14,0.47,2,0.07,9,0.3,-,-,1,0.13,1,0.1,-,-,3,0.3,-,-,-,-
Fukushima,1683,21.86,26,,12,0.26,112,2.43,147,3.2,11,0.24,9,0.2,4,0.09,32,0.7,2,0.04,20,0.43,-,-,25,2.08,-,-,-,-,2,0.29,-,-,-,-
Ibaraki,3618,30.15,35,,22,0.29,198,2.64,296,3.95,25,0.33,7,0.09,3,0.04,14,0.19,-,-,16,0.21,-,-,30,1.76,-,-,2,0.15,6,0.46,-,-,-,-
Tochigi,1690,22.24,18,,14,0.29,48,1,155,3.23,20,0.42,4,0.08,25,0.52,20,0.42,1,0.02,4,0.08,-,-,7,0.58,-,-,-,-,2,0.29,-,-,-,-
Gunma,2310,26.25,20,,40,0.74,122,2.26,302,5.59,26,0.48,14,0.26,4,0.07,20,0.37,1,0.02,18,0.33,-,-,23,1.53,-,-,-,-,2,0.22,-,-,2,0.22
