"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2nd week, 2018",,,,,,"Data collected as of January 17, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,210851,42.81,2791,0.89,1988,0.63,9399,2.99,27213,8.67,2640,0.84,1066,0.34,412,0.13,1791,0.57,105,0.03,1243,0.4,14,0.02,994,1.43,19,0.04,24,0.05,213,0.45,6,0.01,42,0.09
Hokkaido,4438,20.17,179,1.31,168,1.23,574,4.19,403,2.94,140,1.02,7,0.05,4,0.03,46,0.34,1,0.01,12,0.09,-,-,28,0.97,1,0.04,1,0.04,8,0.35,-,-,3,0.13
Aomori,1849,28.45,27,0.64,17,0.4,101,2.4,208,4.95,38,0.9,42,1,1,0.02,25,0.6,5,0.12,55,1.31,-,-,9,0.82,1,0.17,1,0.17,5,0.83,-,-,2,0.33
Iwate,2322,35.72,56,1.4,15,0.38,217,5.43,229,5.73,31,0.78,24,0.6,21,0.53,32,0.8,1,0.03,72,1.8,-,-,20,1.43,1,0.05,-,-,15,0.79,1,0.05,-,-
Miyagi,2671,28.12,77,1.31,33,0.56,204,3.46,466,7.9,70,1.19,47,0.8,4,0.07,45,0.76,2,0.03,5,0.08,-,-,5,0.42,-,-,-,-,12,1,-,-,-,-
Akita,1708,32.23,21,0.62,15,0.44,49,1.44,117,3.44,20,0.59,16,0.47,2,0.06,12,0.35,5,0.15,22,0.65,-,-,4,0.57,-,-,-,-,32,4,-,-,-,-
Yamagata,819,17.43,36,1.24,32,1.1,160,5.52,165,5.69,36,1.24,32,1.1,8,0.28,25,0.86,2,0.07,14,0.48,-,-,2,0.25,1,0.1,1,0.1,8,0.8,-,-,-,-
Fukushima,2902,37.69,64,1.39,25,0.54,175,3.8,230,5,37,0.8,23,0.5,7,0.15,41,0.89,3,0.07,33,0.72,-,-,49,4.08,-,-,-,-,5,0.71,-,-,-,-
Ibaraki,6461,53.84,72,0.96,42,0.56,300,4,528,7.04,58,0.77,22,0.29,8,0.11,26,0.35,2,0.03,20,0.27,-,-,49,2.88,-,-,2,0.15,8,0.62,-,-,-,-
Tochigi,2535,33.36,38,0.79,17,0.35,72,1.5,249,5.19,38,0.79,12,0.25,33,0.69,27,0.56,1,0.02,5,0.1,-,-,21,1.75,-,-,-,-,3,0.43,-,-,-,-
Gunma,3322,37.75,29,0.54,69,1.28,208,3.85,499,9.24,47,0.87,25,0.46,7,0.13,29,0.54,1,0.02,32,0.59,-,-,30,2,-,-,-,-,3,0.33,-,-,2,0.22
Saitama,11887,47.17,104,0.65,106,0.67,563,3.54,1632,10.26,158,0.99,20,0.13,40,0.25,101,0.64,2,0.01,28,0.18,3,0.08,53,1.33,-,-,-,-,5,0.5,1,0.1,-,-
Chiba,9360,44.15,69,0.52,62,0.47,528,3.97,1170,8.8,96,0.72,30,0.23,9,0.07,59,0.44,4,0.03,34,0.26,-,-,42,1.2,-,-,2,0.22,4,0.44,-,-,-,-
Tokyo,13813,33.77,105,0.41,118,0.46,713,2.77,2439,9.49,218,0.85,36,0.14,52,0.2,171,0.67,3,0.01,34,0.13,-,-,42,1.11,3,0.12,-,-,1,0.04,3,0.12,4,0.16
Kanagawa,11686,34.17,60,0.28,91,0.43,504,2.39,1851,8.77,231,1.09,42,0.2,117,0.55,111,0.53,3,0.01,67,0.32,1,0.02,177,3.61,-,-,1,0.1,2,0.2,-,-,2,0.2
Niigata,2662,29.58,48,0.84,105,1.84,234,4.11,433,7.6,82,1.44,30,0.53,12,0.21,42,0.74,6,0.11,61,1.07,1,0.1,27,2.7,-,-,-,-,6,0.46,-,-,-,-
