"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3rd week, 2018",,,,,,"Data collected as of January 24, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,256833,51.93,1489,,959,0.3,8383,2.65,19508,6.18,887,0.28,741,0.23,310,0.1,1102,0.35,79,0.03,520,0.16,5,0.01,508,0.73,7,0.01,13,0.03,121,0.25,5,0.01,22,0.05
Hokkaido,3646,16.42,149,,65,0.47,586,4.22,306,2.2,47,0.34,10,0.07,2,0.01,24,0.17,3,0.02,7,0.05,-,-,15,0.52,-,-,1,0.04,5,0.22,-,-,1,0.04
Aomori,2192,33.72,11,,3,0.07,89,2.12,122,2.9,13,0.31,40,0.95,-,-,10,0.24,7,0.17,19,0.45,-,-,1,0.09,-,-,-,-,6,1,-,-,2,0.33
Iwate,2301,35.4,36,,8,0.2,193,4.83,186,4.65,6,0.15,22,0.55,4,0.1,10,0.25,-,-,29,0.73,-,-,5,0.36,1,0.05,-,-,10,0.53,-,-,-,-
Miyagi,3629,38.2,44,,23,0.39,199,3.37,333,5.64,24,0.41,13,0.22,3,0.05,28,0.47,3,0.05,5,0.08,-,-,7,0.58,-,-,-,-,3,0.25,-,-,-,-
Akita,1413,26.17,14,,10,0.29,48,1.37,123,3.51,4,0.11,-,-,-,-,7,0.2,1,0.03,13,0.37,-,-,2,0.29,-,-,-,-,18,2.25,-,-,-,-
Yamagata,1672,34.83,17,,12,0.4,192,6.4,183,6.1,11,0.37,35,1.17,7,0.23,7,0.23,5,0.17,3,0.1,-,-,1,0.13,-,-,-,-,8,0.8,-,-,-,-
Fukushima,3745,48.64,45,,16,0.35,151,3.28,118,2.57,21,0.46,15,0.33,5,0.11,26,0.57,1,0.02,10,0.22,-,-,17,1.42,1,0.14,-,-,-,-,-,-,1,0.14
Ibaraki,6075,50.63,39,,16,0.21,204,2.72,401,5.35,17,0.23,5,0.07,4,0.05,8,0.11,2,0.03,8,0.11,1,0.06,22,1.29,1,0.08,-,-,2,0.15,-,-,-,-
Tochigi,3139,41.3,12,,9,0.19,63,1.31,154,3.21,13,0.27,10,0.21,16,0.33,19,0.4,-,-,2,0.04,-,-,11,0.92,-,-,-,-,5,0.71,-,-,-,-
