"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3rd week, 2018",,,,,,"Data collected as of January 24, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,468112,94.87,4284,1.36,2948,0.94,17795,5.65,46733,14.85,3528,1.12,1808,0.57,723,0.23,2896,0.92,184,0.06,1753,0.56,19,0.03,1503,2.16,25,0.05,37,0.08,338,0.7,11,0.02,64,0.13
Hokkaido,8101,36.66,328,2.38,233,1.69,1160,8.41,709,5.14,187,1.36,17,0.12,6,0.04,70,0.51,4,0.03,19,0.14,-,-,43,1.48,1,0.04,2,0.09,13,0.57,-,-,4,0.17
Aomori,4041,62.17,38,0.9,20,0.48,190,4.52,330,7.86,51,1.21,82,1.95,1,0.02,35,0.83,12,0.29,74,1.76,-,-,10,0.91,1,0.17,1,0.17,11,1.83,-,-,4,0.67
Iwate,4623,71.12,92,2.3,23,0.58,410,10.25,415,10.38,37,0.93,46,1.15,25,0.63,42,1.05,1,0.03,101,2.53,-,-,25,1.79,2,0.11,-,-,25,1.32,1,0.05,-,-
Miyagi,6300,66.32,121,2.05,56,0.95,403,6.83,799,13.54,94,1.59,60,1.02,7,0.12,73,1.24,5,0.08,10,0.17,-,-,12,1,-,-,-,-,15,1.25,-,-,-,-
Akita,3121,58.89,35,1.03,25,0.74,97,2.85,240,7.06,24,0.71,16,0.47,2,0.06,19,0.56,6,0.18,35,1.03,-,-,6,0.86,-,-,-,-,50,6.25,-,-,-,-
Yamagata,2491,53,53,1.83,44,1.52,352,12.14,348,12,47,1.62,67,2.31,15,0.52,32,1.1,7,0.24,17,0.59,-,-,3,0.38,1,0.1,1,0.1,16,1.6,-,-,-,-
Fukushima,6647,86.32,109,2.37,41,0.89,326,7.09,348,7.57,58,1.26,38,0.83,12,0.26,67,1.46,4,0.09,43,0.93,-,-,66,5.5,1,0.14,-,-,5,0.71,-,-,1,0.14
Ibaraki,12537,104.48,112,1.49,58,0.77,505,6.73,931,12.41,75,1,27,0.36,12,0.16,34,0.45,4,0.05,16,0.21,1,0.06,71,4.18,1,0.08,2,0.15,10,0.77,-,-,-,-
Tochigi,5674,74.66,50,1.04,26,0.54,135,2.81,403,8.4,51,1.06,22,0.46,49,1.02,46,0.96,1,0.02,7,0.15,-,-,32,2.67,-,-,-,-,8,1.14,-,-,-,-
Gunma,7576,86.09,44,0.81,96,1.78,374,6.93,892,16.52,59,1.09,31,0.57,12,0.22,50,0.93,5,0.09,54,1,-,-,57,3.8,-,-,-,-,8,0.89,-,-,2,0.22
Saitama,27727,109.59,174,1.09,139,0.87,1118,6.99,2887,18.04,207,1.29,29,0.18,73,0.46,167,1.04,7,0.04,43,0.27,3,0.08,72,1.8,-,-,2,0.2,9,0.9,1,0.1,-,-
Chiba,22437,105.34,98,0.73,91,0.68,938,7,2022,15.09,135,1.01,47,0.35,16,0.12,111,0.83,4,0.03,53,0.4,-,-,72,2.06,-,-,3,0.33,4,0.44,1,0.11,-,-
Tokyo,34425,83.76,175,0.68,185,0.72,1425,5.52,4283,16.6,299,1.16,58,0.22,102,0.4,295,1.14,5,0.02,48,0.19,-,-,56,1.47,1,0.04,2,0.08,3,0.12,3,0.12,5,0.2
Kanagawa,30578,88.89,94,0.44,134,0.63,1044,4.9,3253,15.27,290,1.36,70,0.33,228,1.07,185,0.87,5,0.02,100,0.47,2,0.04,262,5.24,-,-,1,0.08,4,0.33,-,-,3,0.25
Niigata,6015,66.83,91,1.6,159,2.79,430,7.54,726,12.74,107,1.88,41,0.72,23,0.4,70,1.23,8,0.14,82,1.44,1,0.1,46,4.6,-,-,-,-,8,0.62,-,-,1,0.08
Toyama,2534,52.79,46,1.59,121,4.17,147,5.07,522,18,35,1.21,43,1.48,-,-,24,0.83,1,0.03,9,0.31,-,-,10,1.43,-,-,-,-,9,1.8,-,-,1,0.2
Ishikawa,2395,49.9,24,0.83,63,2.17,226,7.79,456,15.72,83,2.86,15,0.52,10,0.34,31,1.07,-,-,9,0.31,-,-,6,0.86,-,-,1,0.2,11,2.2,-,-,1,0.2
Fukui,3252,101.63,19,0.86,20,0.91,237,10.77,526,23.91,15,0.68,27,1.23,-,-,26,1.18,2,0.09,2,0.09,-,-,-,-,1,0.17,-,-,-,-,-,-,-,-
Yamanashi,4266,104.05,26,1.08,13,0.54,119,4.96,391,16.29,20,0.83,16,0.67,1,0.04,8,0.33,-,-,13,0.54,-,-,12,1.33,-,-,-,-,5,0.5,-,-,1,0.1
Nagano,8450,98.26,94,1.77,16,0.3,294,5.55,751,14.17,64,1.21,25,0.47,3,0.06,31,0.58,3,0.06,48,0.91,1,0.09,17,1.55,-,-,-,-,6,0.55,-,-,1,0.09
Gifu,8293,96.43,48,0.92,58,1.12,115,2.21,656,12.62,28,0.54,22,0.42,2,0.04,37,0.71,-,-,35,0.67,-,-,9,0.82,1,0.2,-,-,7,1.4,-,-,1,0.2
Shizuoka,18106,130.26,86,0.97,56,0.63,395,4.44,1452,16.31,57,0.64,9,0.1,9,0.1,63,0.71,2,0.02,82,0.92,-,-,71,3.23,-,-,1,0.1,3,0.3,-,-,-,-
Aichi,22177,113.73,177,0.97,114,0.63,745,4.09,2816,15.47,185,1.02,67,0.37,16,0.09,138,0.76,7,0.04,83,0.46,-,-,60,1.71,1,0.07,-,-,12,0.8,1,0.07,1,0.07
Mie,7489,104.01,85,1.89,67,1.49,225,5,781,17.36,29,0.64,12,0.27,1,0.02,47,1.04,-,-,8,0.18,-,-,2,0.17,1,0.11,2,0.22,-,-,1,0.11,-,-
Shiga,4897,94.17,36,1.16,16,0.52,88,2.84,306,9.87,28,0.9,16,0.52,2,0.06,19,0.61,5,0.16,30,0.97,-,-,11,1.38,-,-,1,0.14,-,-,-,-,1,0.14
Kyoto,10073,79.94,68,0.88,41,0.53,216,2.81,923,11.99,46,0.6,28,0.36,5,0.06,42,0.55,3,0.04,17,0.22,1,0.06,10,0.56,-,-,-,-,6,0.86,-,-,-,-
Osaka,23963,78.83,486,2.45,124,0.63,886,4.47,2683,13.55,209,1.06,43,0.22,36,0.18,157,0.79,16,0.08,79,0.4,1,0.02,46,0.88,-,-,2,0.12,7,0.41,-,-,4,0.24
Hyogo,17007,85.46,286,2.22,113,0.88,446,3.46,1961,15.2,136,1.05,34,0.26,12,0.09,96,0.74,5,0.04,38,0.29,1,0.03,43,1.23,6,0.43,1,0.07,9,0.64,-,-,1,0.07
Nara,4139,76.65,89,2.62,22,0.65,133,3.91,473,13.91,40,1.18,7,0.21,1,0.03,31,0.91,6,0.18,10,0.29,-,-,8,0.8,-,-,1,0.17,3,0.5,-,-,4,0.67
Wakayama,3577,73,60,2,44,1.47,77,2.57,316,10.53,15,0.5,3,0.1,1,0.03,25,0.83,6,0.2,22,0.73,-,-,5,1.25,-,-,2,0.18,6,0.55,-,-,8,0.73
Tottori,3164,109.1,16,0.84,18,0.95,343,18.05,208,10.95,18,0.95,14,0.74,1,0.05,15,0.79,1,0.05,1,0.05,-,-,3,0.6,1,0.2,1,0.2,2,0.4,-,-,1,0.2
Shimane,2554,67.21,21,0.91,14,0.61,164,7.13,310,13.48,12,0.52,14,0.61,1,0.04,29,1.26,1,0.04,31,1.35,-,-,1,0.33,-,-,1,0.13,2,0.25,-,-,2,0.25
Okayama,7631,90.85,43,0.8,37,0.69,208,3.85,954,17.67,32,0.59,26,0.48,3,0.06,48,0.89,2,0.04,9,0.17,4,0.33,14,1.17,-,-,-,-,1,0.2,-,-,-,-
Hiroshima,9717,85.24,82,1.15,79,1.11,392,5.52,1286,18.11,62,0.87,25,0.35,7,0.1,56,0.79,3,0.04,21,0.3,2,0.11,35,1.84,-,-,-,-,9,0.43,-,-,5,0.24
Yamaguchi,6536,96.12,192,4,34,0.71,339,7.06,672,14,36,0.75,17,0.35,1,0.02,46,0.96,-,-,43,0.9,-,-,15,1.67,-,-,1,0.11,2,0.22,-,-,-,-
Tokushima,3164,85.51,46,2,31,1.35,110,4.78,313,13.61,17,0.74,19,0.83,3,0.13,44,1.91,4,0.17,33,1.43,-,-,5,1.25,-,-,-,-,-,-,-,-,-,-
