"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4th week, 2018",,,,,,"Data collected as of January 31, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,259063,52.35,1564,,976,0.31,7976,2.52,16200,5.12,921,0.29,724,0.23,251,0.08,1013,0.32,57,0.02,459,0.15,5,0.01,398,0.57,6,0.01,7,0.01,96,0.2,4,0.01,31,0.06
Hokkaido,5961,26.85,179,,90,0.65,730,5.25,331,2.38,50,0.36,14,0.1,8,0.06,29,0.21,1,0.01,9,0.06,-,-,11,0.38,-,-,-,-,4,0.17,-,-,-,-
Aomori,2869,44.14,8,,11,0.26,70,1.67,148,3.52,11,0.26,26,0.62,3,0.07,15,0.36,2,0.05,16,0.38,-,-,4,0.36,-,-,-,-,2,0.33,-,-,1,0.17
Iwate,2944,45.29,16,,16,0.4,185,4.63,189,4.73,24,0.6,25,0.63,11,0.28,15,0.38,-,-,20,0.5,-,-,4,0.29,1,0.05,-,-,3,0.16,1,0.05,-,-
Miyagi,4540,47.79,36,,13,0.22,224,3.8,251,4.25,25,0.42,15,0.25,3,0.05,20,0.34,-,-,4,0.07,-,-,-,-,-,-,-,-,3,0.25,-,-,1,0.08
Akita,2237,41.43,19,,8,0.23,48,1.37,116,3.31,6,0.17,-,-,1,0.03,7,0.2,-,-,6,0.17,-,-,1,0.14,-,-,-,-,9,1.13,-,-,1,0.13
Yamagata,2332,48.58,28,,21,0.7,166,5.53,145,4.83,23,0.77,28,0.93,3,0.1,13,0.43,2,0.07,2,0.07,-,-,3,0.38,-,-,-,-,7,0.7,-,-,-,-
Fukushima,4068,52.83,26,,34,0.74,109,2.37,115,2.5,10,0.22,23,0.5,10,0.22,22,0.48,-,-,4,0.09,-,-,16,1.33,-,-,-,-,-,-,-,-,-,-
Ibaraki,6017,50.14,27,,21,0.28,229,3.05,273,3.64,28,0.37,5,0.07,3,0.04,14,0.19,2,0.03,5,0.07,-,-,14,0.82,-,-,-,-,6,0.46,-,-,-,-
Tochigi,3252,42.79,21,,8,0.17,57,1.19,119,2.48,15,0.31,4,0.08,7,0.15,17,0.35,-,-,2,0.04,-,-,16,1.33,-,-,-,-,5,0.71,-,-,-,-
Gunma,4637,52.69,10,,27,0.5,137,2.54,288,5.33,16,0.3,3,0.06,7,0.13,18,0.33,1,0.02,13,0.24,1,0.07,17,1.13,-,-,-,-,4,0.44,-,-,-,-
Saitama,16745,65.41,53,,33,0.2,480,2.96,852,5.26,66,0.41,12,0.07,27,0.17,50,0.31,1,0.01,9,0.06,1,0.02,24,0.59,-,-,-,-,-,-,-,-,-,-
Chiba,13533,63.24,34,,24,0.18,337,2.5,645,4.78,41,0.3,11,0.08,10,0.07,23,0.17,2,0.01,6,0.04,-,-,18,0.51,2,0.22,2,0.22,-,-,-,-,-,-
Tokyo,22504,54.1,87,,44,0.17,720,2.74,1426,5.42,53,0.2,23,0.09,32,0.12,109,0.41,1,0,25,0.1,-,-,9,0.24,-,-,-,-,3,0.12,1,0.04,-,-
Kanagawa,22113,63.36,42,,45,0.21,481,2.21,990,4.54,77,0.35,15,0.07,65,0.3,79,0.36,4,0.02,22,0.1,-,-,67,1.31,-,-,-,-,-,-,-,-,2,0.2
Niigata,4711,52.34,37,,46,0.81,213,3.74,207,3.63,37,0.65,16,0.28,10,0.18,15,0.26,1,0.02,20,0.35,1,0.1,4,0.4,-,-,-,-,4,0.31,-,-,-,-
Toyama,1770,36.88,11,,29,1,43,1.48,195,6.72,19,0.66,14,0.48,1,0.03,15,0.52,1,0.03,1,0.03,-,-,-,-,1,0.2,-,-,1,0.2,-,-,-,-
Ishikawa,1823,37.98,29,,20,0.69,154,5.31,125,4.31,15,0.52,3,0.1,4,0.14,10,0.34,-,-,4,0.14,-,-,3,0.43,1,0.2,-,-,4,0.8,-,-,-,-
Fukui,1707,53.34,6,,6,0.27,87,3.95,189,8.59,2,0.09,15,0.68,1,0.05,5,0.23,2,0.09,2,0.09,-,-,1,0.33,-,-,-,-,1,0.17,-,-,-,-
Yamanashi,2117,51.63,9,,1,0.04,49,2.04,93,3.88,4,0.17,4,0.17,2,0.08,-,-,1,0.04,2,0.08,-,-,5,0.56,-,-,-,-,-,-,1,0.1,-,-
Nagano,4118,47.88,26,,7,0.13,125,2.36,240,4.53,21,0.4,16,0.3,4,0.08,10,0.19,1,0.02,4,0.08,-,-,5,0.45,-,-,-,-,2,0.18,-,-,-,-
Gifu,3319,38.15,17,,17,0.32,54,1.02,179,3.38,8,0.15,13,0.25,-,-,8,0.15,-,-,8,0.15,-,-,3,0.27,-,-,-,-,-,-,-,-,-,-
Shizuoka,7281,52.38,24,,13,0.15,175,1.97,440,4.94,8,0.09,7,0.08,2,0.02,14,0.16,-,-,18,0.2,-,-,14,0.64,-,-,1,0.1,1,0.1,1,0.1,1,0.1
Aichi,12121,62.16,68,,34,0.19,343,1.88,919,5.05,39,0.21,14,0.08,3,0.02,44,0.24,2,0.01,18,0.1,1,0.03,6,0.17,-,-,-,-,-,-,-,-,-,-
Mie,4347,60.38,44,,16,0.36,86,1.91,293,6.51,9,0.2,3,0.07,-,-,16,0.36,3,0.07,7,0.16,-,-,2,0.17,-,-,-,-,3,0.33,-,-,-,-
